tool		symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	VeriFuzz 1.2.11	VeriFuzz 1.2.11	VeriFuzz 1.2.11	VeriFuzz 1.2.11
run set		symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other
https://sv-comp.sosy-lab.org/2023/results/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
array-examples/standard_sentinel-2.yml	true	TIMEOUT (verification)				ERROR			
array-examples/standard_vararg_ground.yml	true	TIMEOUT (verification)				ERROR			
array-industry-pattern/array_mul_init.yml	true	OUT OF MEMORY (KILLED (signal 9, verification))				ERROR			
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT (verification)				true	1.922160771	1.1090918080881238	
bitvector/jain_1-1.yml	false	false(termination)	0.795148415	0.7837680979864672		ERROR			
bitvector/jain_2-1.yml	false	false(termination)	1.120532361	1.1096176019636914		ERROR			
bitvector/jain_4-2.yml	false	false(termination)	1.506205473	1.4934760889736935		ERROR			
bitvector/jain_6-1.yml	false	false(termination)	1.483234047	1.471536751021631		ERROR			
bitvector/jain_7-2.yml	false	false(termination)	1.564068684	1.5533415749669075		ERROR			
bitvector/s3_srvr_2a.BV.c.cil.yml	false	false(termination)	12.467628021	12.461875810986385		true			
bitvector/s3_srvr_2a_alt.BV.c.cil.yml	false	false(termination)	12.654382831	12.643197117955424		true			
bitvector/soft_float_1-2a.c.cil.yml	true	TIMEOUT (verification)				true	2.897268561	1.8604164640419185	
bitvector/soft_float_1-3a.c.cil.yml	true	TIMEOUT (verification)				true	2.74199284	1.7342293590772897	
bitvector/soft_float_3a.c.cil.yml	true	TIMEOUT (verification)				true	2.597538907	1.5628377611283213	
bitvector/soft_float_4-2a.c.cil.yml	true	TIMEOUT (verification)				true	2.698647703	1.6419806680642068	
bitvector/soft_float_4-3a.c.cil.yml	true	TIMEOUT (verification)				true	2.726121503	1.7722665208857507	
bitvector-regression/recHanoi03-1.yml	true	TIMEOUT (verification)				true	1.799329827	0.9283704829867929	
openssl-simplified/s3_srvr_1b.cil.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_10.yml	false	TIMEOUT (verification)				false(termination)	251.264707443	251.12616068217903	
locks/test_locks_11.yml	false	TIMEOUT (verification)				false(termination)	253.530386273	253.181051683845	
locks/test_locks_12.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_13.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_14-1.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_14-2.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_15-1.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_15-2.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_5.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_6.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_7.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_8.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_9.yml	false	TIMEOUT (verification)				false(termination)	249.201085692	248.8068524270784	
eca-rers2012/Problem04_label11.yml	false	false(termination)	46.155452197	46.1453894819133		ERROR			
eca-rers2012/Problem04_label12.yml	false	false(termination)	46.383642175	46.393061027047224		ERROR			
eca-rers2012/Problem04_label14.yml	false	false(termination)	45.188738342	45.19318272406235		ERROR			
eca-rers2012/Problem04_label17.yml	false	false(termination)	45.809705745	45.798605147050694		ERROR			
eca-rers2012/Problem04_label20.yml	false	false(termination)	48.734370317	48.74351480905898		ERROR			
eca-rers2012/Problem04_label23.yml	false	false(termination)	46.286195677	46.28454208909534		ERROR			
eca-rers2012/Problem04_label24.yml	false	false(termination)	45.110980126	45.101679085055366		ERROR			
eca-rers2012/Problem04_label27.yml	false	false(termination)	44.977432562	44.96936927398201		ERROR			
eca-rers2012/Problem04_label29.yml	false	false(termination)	46.240372869	46.23661635501776		ERROR			
eca-rers2012/Problem04_label36.yml	false	false(termination)	48.157459445	48.49799560196698		ERROR			
eca-rers2012/Problem04_label37.yml	false	false(termination)	47.255088245	47.26187552907504		ERROR			
eca-rers2012/Problem04_label40.yml	false	false(termination)	44.973248373	44.97024885599967		ERROR			
eca-rers2012/Problem04_label42.yml	false	false(termination)	45.601695787	45.61283119302243		ERROR			
eca-rers2012/Problem04_label43.yml	false	false(termination)	43.921192923	43.91159629402682		ERROR			
eca-rers2012/Problem04_label44.yml	false	false(termination)	46.169644719	46.15779120998923		ERROR			
eca-rers2012/Problem04_label46.yml	false	false(termination)	45.915236801	45.9094996569911		ERROR			
eca-rers2012/Problem04_label49.yml	false	false(termination)	45.591802386	45.58175971696619		ERROR			
eca-rers2012/Problem04_label57.yml	false	false(termination)	45.472313668	45.463144639041275		ERROR			
eca-rers2012/Problem04_label58.yml	false	false(termination)	46.46887888	46.4610993770184		ERROR			
eca-rers2012/Problem14_label00.yml	false	false(termination)	5.541435396	5.53267427009996		ERROR			
eca-rers2012/Problem14_label01.yml	false	false(termination)	5.343686654	5.332064640009776		ERROR			
eca-rers2012/Problem14_label02.yml	false	false(termination)	5.234568579	5.2225417860317975		ERROR			
eca-rers2012/Problem14_label03.yml	false	false(termination)	5.248004528	5.238025535014458		ERROR			
eca-rers2012/Problem14_label04.yml	false	false(termination)	5.361434748	5.349240096053109		ERROR			
eca-rers2012/Problem14_label05.yml	false	false(termination)	5.307771079	5.297690581995994		ERROR			
eca-rers2012/Problem14_label06.yml	false	false(termination)	5.265611882	5.255256342003122		ERROR			
eca-rers2012/Problem14_label07.yml	false	false(termination)	5.440779708	5.432959087891504		ERROR			
eca-rers2012/Problem14_label08.yml	false	false(termination)	5.311405186	5.299127195030451		ERROR			
eca-rers2012/Problem14_label09.yml	false	false(termination)	5.267298209	5.256023147027008		ERROR			
eca-rers2012/Problem14_label10.yml	false	false(termination)	5.266781534	5.257017371011898		ERROR			
eca-rers2012/Problem14_label11.yml	false	false(termination)	5.214540941	5.20476349897217		ERROR			
eca-rers2012/Problem14_label12.yml	false	false(termination)	5.306581917	5.347416541073471		ERROR			
eca-rers2012/Problem14_label13.yml	false	false(termination)	5.272933644	5.262953195953742		ERROR			
eca-rers2012/Problem14_label14.yml	false	false(termination)	5.273173251	5.263796070939861		ERROR			
eca-rers2012/Problem14_label15.yml	false	false(termination)	5.279639397	5.267929207999259		ERROR			
eca-rers2012/Problem14_label16.yml	false	false(termination)	5.28212413	5.270430034026504		ERROR			
eca-rers2012/Problem14_label17.yml	false	false(termination)	5.325776238	5.315229543950409		ERROR			
eca-rers2012/Problem14_label18.yml	false	false(termination)	5.523104929	5.511188284959644		ERROR			
eca-rers2012/Problem14_label19.yml	false	false(termination)	5.283982966	5.272472743061371		ERROR			
eca-rers2012/Problem14_label20.yml	false	false(termination)	5.812297398	5.802055567968637		ERROR			
eca-rers2012/Problem14_label21.yml	false	false(termination)	5.271046232	5.260036870953627		ERROR			
eca-rers2012/Problem14_label22.yml	false	false(termination)	5.315315687	5.304100656998344		ERROR			
eca-rers2012/Problem14_label23.yml	false	false(termination)	5.330524105	5.3193360370351		ERROR			
eca-rers2012/Problem14_label24.yml	false	false(termination)	5.273175824	5.265365200932138		ERROR			
eca-rers2012/Problem14_label25.yml	false	false(termination)	7.419945372	7.410229242988862		ERROR			
eca-rers2012/Problem14_label26.yml	false	false(termination)	5.341057488	5.330819698981941		ERROR			
eca-rers2012/Problem14_label27.yml	false	false(termination)	5.482124421	5.4736011789646		ERROR			
eca-rers2012/Problem14_label28.yml	false	false(termination)	5.294615208	5.282576001016423		ERROR			
eca-rers2012/Problem14_label29.yml	false	false(termination)	5.32922487	5.318342149024829		ERROR			
eca-rers2012/Problem14_label30.yml	false	false(termination)	5.261575703	5.251196610974148		ERROR			
eca-rers2012/Problem14_label31.yml	false	false(termination)	5.300533827	5.2886691089952365		ERROR			
eca-rers2012/Problem14_label32.yml	false	false(termination)	5.241503119	5.230903021991253		ERROR			
eca-rers2012/Problem14_label33.yml	false	false(termination)	5.293868555	5.283274197019637		ERROR			
eca-rers2012/Problem14_label34.yml	false	false(termination)	5.476847144	6.020408671931364		ERROR			
