tool		symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	symbiotic 9.0.0-dev-b34dd3a1	VeriFuzz 1.2.11	VeriFuzz 1.2.11	VeriFuzz 1.2.11	VeriFuzz 1.2.11
run set		symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	symbiotic.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other	verifuzz.SV-COMP23_termination.Termination-Other
https://sv-comp.sosy-lab.org/2023/results/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
array-examples/standard_sentinel-2.yml	true	TIMEOUT (verification)				ERROR			
array-examples/standard_vararg_ground.yml	true	TIMEOUT (verification)				ERROR			
array-industry-pattern/array_mul_init.yml	true	OUT OF MEMORY (KILLED (signal 9, verification))				ERROR			
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT (verification)				true	1.922160771	1.1090918080881238	
bitvector/byte_add-1.yml	true	true	5.509595817	5.499531549983658		true	1.935228138	1.027608860982582	
bitvector/byte_add_1-1.yml	true	true	1.021941042	1.0131756770424545		true	1.963463533	1.0554289610590786	
bitvector/byte_add_2-2.yml	true	true	1.029586259	1.0208891540532932		true	1.965224226	1.0355464478489012	
bitvector/gcd_4.yml	true	true	0.40029085	0.4225746509619057		true	1.640871609	0.8335974370129406	
bitvector/jain_1-1.yml	false	false(termination)	0.795148415	0.7837680979864672		ERROR			
bitvector/jain_2-1.yml	false	false(termination)	1.120532361	1.1096176019636914		ERROR			
bitvector/jain_4-2.yml	false	false(termination)	1.506205473	1.4934760889736935		ERROR			
bitvector/jain_6-1.yml	false	false(termination)	1.483234047	1.471536751021631		ERROR			
bitvector/jain_7-2.yml	false	false(termination)	1.564068684	1.5533415749669075		ERROR			
bitvector/s3_srvr_2a.BV.c.cil.yml	false	false(termination)	12.467628021	12.461875810986385		true			
bitvector/s3_srvr_2a_alt.BV.c.cil.yml	false	false(termination)	12.654382831	12.643197117955424		true			
bitvector/soft_float_1-2a.c.cil.yml	true	TIMEOUT (verification)				true	2.897268561	1.8604164640419185	
bitvector/soft_float_1-3a.c.cil.yml	true	TIMEOUT (verification)				true	2.74199284	1.7342293590772897	
bitvector/soft_float_2a.c.cil.yml	true	true	688.514787827	688.5445970209548		true	2.528332963	1.4657060431782156	
bitvector/soft_float_3a.c.cil.yml	true	TIMEOUT (verification)				true	2.597538907	1.5628377611283213	
bitvector/soft_float_4-2a.c.cil.yml	true	TIMEOUT (verification)				true	2.698647703	1.6419806680642068	
bitvector/soft_float_4-3a.c.cil.yml	true	TIMEOUT (verification)				true	2.726121503	1.7722665208857507	
bitvector/soft_float_5a.c.cil.yml	true	true	667.521312408	667.5358951500384		true	2.670274141	1.636252717114985	
bitvector-regression/implicitfloatconversion.yml	true	true	0.329656773	0.3218979079974815		true	1.539751083	0.7337507479824126	
bitvector-regression/implicitunsignedconversion-1.yml	true	true	0.334132328	0.3260404380271211		true	1.531205825	0.8140511440578848	
bitvector-regression/implicitunsignedconversion-2.yml	true	true	0.326675698	0.3193911589914933		true	1.624027255	0.7759615059476346	
bitvector-regression/integerpromotion-2.yml	true	true	0.317098056	0.3096728529781103		true	1.620203267	0.7761316730175167	
bitvector-regression/integerpromotion-3.yml	true	true	0.330847918	0.3228409889852628		true	1.60685871	0.7972580241039395	
bitvector-regression/recHanoi03-1.yml	true	TIMEOUT (verification)				true	1.799329827	0.9283704829867929	
bitvector-regression/signextension-1.yml	true	true	0.332761132	0.32479228009469807		true	1.45781182	0.7556492330040783	
bitvector-regression/signextension-2.yml	true	true	0.334898102	0.3270687999902293		true	1.453011054	0.7615575620438904	
bitvector-regression/signextension2-1.yml	true	true	0.343634181	0.3362449549604207		true	1.448497656	0.75446867197752	
bitvector-regression/signextension2-2.yml	true	true	0.328953508	0.321276907925494		true	1.634485465	0.7823689049109817	
bitvector-loops/verisec_sendmail_tTflag_arr_one_loop.yml	true	true	0.918172824	0.9104784749215469		true	1.821514838	1.0019160620868206	
openssl-simplified/s3_srvr_1b.cil.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_10.yml	false	TIMEOUT (verification)				false(termination)	251.264707443	251.12616068217903	
locks/test_locks_11.yml	false	TIMEOUT (verification)				false(termination)	253.530386273	253.181051683845	
locks/test_locks_12.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_13.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_14-1.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_14-2.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_15-1.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_15-2.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_5.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_6.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_7.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_8.yml	false	TIMEOUT (verification)				ERROR			
locks/test_locks_9.yml	false	TIMEOUT (verification)				false(termination)	249.201085692	248.8068524270784	
eca-rers2012/Problem01_label00.yml	false	false(termination)	2.973025654	2.959932297002524		false(termination)	294.196242879	293.3419073380064	
eca-rers2012/Problem01_label01.yml	false	false(termination)	2.947263898	2.9344102459726855		false(termination)	293.747203325	293.0347687799949	
eca-rers2012/Problem01_label02.yml	false	false(termination)	3.094308102	3.081462863017805		false(termination)	295.129271273	294.08922395296395	
eca-rers2012/Problem01_label03.yml	false	false(termination)	2.947590118	2.935838919947855		false(termination)	294.56937702	293.72929533198476	
eca-rers2012/Problem01_label04.yml	false	false(termination)	2.948044756	2.935353738022968		false(termination)	295.294969583	294.4058349658735	
eca-rers2012/Problem01_label05.yml	false	false(termination)	2.910112335	2.8962586390553042		false(termination)	297.098607827	296.23281170101836	
eca-rers2012/Problem01_label06.yml	false	false(termination)	2.954073425	2.942367024021223		false(termination)	295.075357116	294.25311836902983	
eca-rers2012/Problem01_label07.yml	false	false(termination)	2.942286584	2.9289374300278723		false(termination)	295.683324631	294.94859752990305	
eca-rers2012/Problem01_label08.yml	false	false(termination)	2.909835591	2.896624060929753		false(termination)	295.52931274	294.813184594037	
eca-rers2012/Problem01_label09.yml	false	false(termination)	2.969544385	2.9970259609399363		false(termination)	270.28919286	269.6707867071964	
eca-rers2012/Problem01_label10.yml	false	false(termination)	2.985082478	3.427284889970906		false(termination)	293.752127859	293.0919516568538	
eca-rers2012/Problem01_label11.yml	false	false(termination)	2.983062288	2.9696021339623258		false(termination)	295.380896128	294.6434426391497	
eca-rers2012/Problem01_label12.yml	false	false(termination)	3.214316393	3.201736942050047		false(termination)	296.200201112	295.19816300901584	
eca-rers2012/Problem01_label13.yml	false	false(termination)	3.03424195	3.0209613050101325		false(termination)	295.076434022	294.25810168497264	
eca-rers2012/Problem01_label14.yml	false	false(termination)	2.926373877	2.913152946974151		false(termination)	296.671449293	296.0778750258032	
eca-rers2012/Problem01_label15.yml	false	false(termination)	2.920721077	2.907950193970464		false(termination)	293.870996657	293.0424624758307	
eca-rers2012/Problem01_label16.yml	false	false(termination)	2.95817538	2.9472055450314656		false(termination)	295.810656462	294.7900793978479	
eca-rers2012/Problem01_label17.yml	false	false(termination)	2.942248812	2.9288320390041918		false(termination)	296.194453917	295.15002351393923	
eca-rers2012/Problem01_label18.yml	false	false(termination)	2.943151115	2.929556080023758		false(termination)	295.532183578	294.5071882021148	
eca-rers2012/Problem01_label19.yml	false	false(termination)	3.027819452	3.0146844158880413		false(termination)	294.588209428	293.61533522303216	
eca-rers2012/Problem01_label20.yml	false	false(termination)	2.990651878	2.9774886990198866		false(termination)	294.495260167	293.72346630110405	
eca-rers2012/Problem01_label21.yml	false	false(termination)	2.922601833	2.9104865819681436		false(termination)	297.403059353	296.66034477506764	
eca-rers2012/Problem01_label22.yml	false	false(termination)	2.919721243	2.937142019974999		false(termination)	270.196217684	269.2421735539101	
eca-rers2012/Problem01_label23.yml	false	false(termination)	3.011720817	3.0313059360487387		false(termination)	294.88134601	294.19490370200947	
eca-rers2012/Problem01_label24.yml	false	false(termination)	2.971387782	2.958428123034537		false(termination)	295.007110472	294.10676941880956	
eca-rers2012/Problem01_label25.yml	false	false(termination)	2.902669524	2.8901348300278187		false(termination)	269.81457786	268.83849160699174	
