tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
../../benchmarks/files/benchmark-q2-cost/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
benchmark-q2-cost-sat_dpm.yml	sat	true	true	10.516413	10.794882434420288		true	3.563342	3.803047563880682	
benchmark-q2-cost-sat_grid-10-sl-4fsc.yml	sat	true	true	1.201235	1.4978055143728852		true	0.58834	0.8348333677276969	
benchmark-q2-cost-sat_grid-meet-sl-2fsc.yml	sat	true	true	19.436899	19.71984387282282		true	33.019501	33.2594991736114	
benchmark-q2-cost-sat_maze.yml	sat	true	true	0.532483	0.8024492142722011		true	135.228023	135.4674406144768	
benchmark-q2-cost-unsat_dpm.yml	unsat	false	false	8.447648	8.742835086770356		false	5.476359	5.723073767498136	
benchmark-q2-cost-unsat_grid-10-sl-4fsc.yml	unsat	false	false	1.518852	1.8096012044698		false	0.762415	1.0031103575602174	
benchmark-q2-cost-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	83.962465	84.2705835616216		false	48.002748	48.25274015497416	
benchmark-q2-cost-unsat_maze.yml	unsat	false	false	1.525541	1.7940138829872012		TIMEOUT	30000	30000	
