tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
benchmarks/files/benchmark-q2-cost/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-cost-sat_dpm.yml	sat	true	true	10.429637	10.751083079725504	247.382016	989	true	3.503094	3.738533742725849	225.501184	49	TIMEOUT	1800.680939	1800.9633448962122	1451.798528	
benchmark-q2-cost-sat_grid-10-sl-4fsc.yml	sat	true	true	1.147898	1.432371030561626	165.986304	185	true	0.582608	0.8282749895006418	155.496448	64	TIMEOUT	1800.633939	1800.993958829902	955.875328	
benchmark-q2-cost-sat_grid-meet-sl-2fsc.yml	sat	true	true	19.203415	19.475856327451766	1021.214720	609	true	32.924709	33.16061676852405	643.350528	2568	TIMEOUT	1800.830339	1801.0145894950256	11155.812352	
benchmark-q2-cost-sat_maze.yml	sat	true	true	0.496983	0.8029485354200006	162.119680	49	true	133.638566	133.89144774060696	180.391936	18896	TIMEOUT	1800.618596	1800.9546686792746	185.356288	
benchmark-q2-cost-unsat_dpm.yml	unsat	false	false	8.374578	8.705718292854726	245.256192	967	false	5.475452	5.712803991511464	225.193984	20	TIMEOUT	1800.677228	1800.9365783352405	1450.115072	
benchmark-q2-cost-unsat_grid-10-sl-4fsc.yml	unsat	false	false	1.451486	1.7335018562152982	165.986304	234	false	0.745845	0.9870927454903722	155.820032	97	TIMEOUT	1800.672954	1800.974132861942	969.490432	
benchmark-q2-cost-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	84.793917	85.08573945425451	1027.366912	2720	false	47.378038	47.61981508973986	644.567040	1283	TIMEOUT	1800.877834	1800.944738655351	11140.227072	
benchmark-q2-cost-unsat_maze.yml	unsat	false	false	1.539974	1.8200482446700335	161.792000	829	TIMEOUT	1800.613966	1800.932298370637	178.442240		TIMEOUT	1800.615576	1800.9215246578678	185.270272	
