   BENCHMARK INFORMATION
benchmark definition:    comparison_robust.xml
name:                    comparison_robust
run sets:                SMPMC, PAYNT-1-by-1, PAYNT-AR-MDP-Eval, SMT(LRA)
date:                    Fri, 2025-07-18 10:16:02 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           24
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   True
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 4 with options '-m molehill --ce none --constraint existsforall' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1801.16     1803.20        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1801.16     1802.39        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1801.02     1803.10        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 TIMEOUT                       1801.69     1802.99        None
mdp-families-sat_mem_1_catch-5_1.yml                                   TIMEOUT                       1800.94     1802.97        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             TIMEOUT                       1801.19     1802.96        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 TIMEOUT                       1800.85     1802.58        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        TIMEOUT                       1801.45     1803.12        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            TIMEOUT                       1801.01     1802.51        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       true                            51.74       52.80        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  true                            13.21       14.30        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            TIMEOUT                       1801.11     1802.98        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  TIMEOUT                       1801.29     1802.74        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             7.48        8.56        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1801.13     1802.43        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 TIMEOUT                       1801.11     1802.42        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                            11.55       12.55        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  true                             9.44       10.56        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             4.31        5.38        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     true                            94.27       95.31        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                            12.48       13.49        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1801.64     1803.14        None
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml                 TIMEOUT                       1801.36     1802.86        None
mdp-families-sat_mem_1_uav-roz-big-family_1.yml                        TIMEOUT                       1802.82     1804.50        None
mdp-families-sat_mem_1_uav-roz_1.yml                                   TIMEOUT                       1801.43     1802.74        None
other-sat_box-pushing.yml                                              true                           494.66      495.85        None
other-sat_dpm.yml                                                      true                           295.58      296.79        None
other-sat_maze.yml                                                     true                            25.16       26.12        None
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml                          true                             4.82        5.70        None
pomdp-families-sat_mem_1_dpm_1.yml                                     true                             6.05        6.95        None
pomdp-families-sat_mem_1_refuel-04_1.yml                               true                             4.35        5.81        None
pomdp-families-sat_mem_1_rover-100_1.yml                               true                             6.35        7.27        None
pomdp-families-sat_mem_1_rover_1.yml                                   true                             5.57        6.66        None
pomdp-families-sat_mem_2_dpm-switch-q10_2.yml                          TIMEOUT                       1800.97     1802.71        None
pomdp-families-sat_mem_2_dpm_2.yml                                     true                           119.10      119.97        None
pomdp-families-sat_mem_2_obstacles-8-3_2.yml                           TIMEOUT                       1801.01     1803.14        None
pomdp-families-sat_mem_2_obstacles-8-6_2.yml                           TIMEOUT                       1801.23     1803.03        None
pomdp-families-sat_mem_2_refuel-04_2.yml                               true                             4.54        5.44        None
pomdp-families-sat_mem_2_rover-100_2.yml                               true                            13.91       14.85        None
