tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-1-by-1	PAYNT-1-by-1	PAYNT-1-by-1	PAYNT-1-by-1
../../benchmarks/files/robust-q3/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
mdp-families-sat_mem_1_catch-5_1.yml	sat	true	TIMEOUT	1800.937891	1802.9709675004706		true	2.979071	3.5932801393792033	
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml	sat	true	TIMEOUT	1800.851342	1802.579970636405		true	906.946229	907.6421157894656	
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml	sat	true	TIMEOUT	1801.447666	1803.1173604326323		true	126.888081	127.4858367824927	
mdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	TIMEOUT	1801.005026	1802.509246358648		true	38.116868	38.69372905511409	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	sat	true	true	51.744639	52.797786831855774		TIMEOUT	1801.515191	1802.4046897711232	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml	sat	true	true	13.212588	14.303108464926481		TIMEOUT	1800.829266	1801.6460468983278	
mdp-families-sat_mem_1_obstacles-demo_1.yml	sat	true	TIMEOUT	1801.105294	1802.975236496888		true	0.337932	0.9025030164048076	
mdp-families-sat_mem_1_pacman-6_1.yml	sat	true	TIMEOUT	1801.290793	1802.7394413379952		true	1.028314	1.585395802743733	
mdp-families-sat_mem_1_rocks-6-4_1.yml	sat	true	TIMEOUT	1801.114432	1802.4218052327633		true	1.200396	1.7420763829723	
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml	sat	true	true	9.439123	10.562067253515124		OUT OF MEMORY	83.157818	90.56397980824113	
mdp-families-sat_mem_1_rover-1000-big-family_1.yml	sat	true	true	94.273712	95.30590878520161		TIMEOUT	1801.729714	1802.5946744587272	
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml	sat	true	TIMEOUT	1801.363385	1802.856593342498		true	9.567781	10.041086496785283	
mdp-families-sat_mem_1_uav-roz-big-family_1.yml	sat	true	TIMEOUT	1802.817625	1804.4975560195744		true	123.432794	123.90159546025097	
mdp-families-sat_mem_1_uav-roz_1.yml	sat	true	TIMEOUT	1801.428723	1802.7430678168312		true	7.018683	7.147981869056821	
other-sat_box-pushing.yml	sat	true	true	494.662067	495.84915560949594		TIMEOUT	1800.938967	1801.4568591369316	
other-sat_dpm.yml	sat	true	true	295.583291	296.7909561386332		TIMEOUT	1800.97297	1801.4689862979576	
pomdp-families-sat_mem_2_dpm_2.yml	sat	true	true	119.103221	119.97412670683116		TIMEOUT	1800.784301	1801.1735162772238	
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml	unsat	false	TIMEOUT	1801.195839	1802.11269035656		false	1.648242	1.7627004142850637	
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml	unsat	false	TIMEOUT	1801.12208	1802.010421918705		false	1704.864347	1706.0740014864132	
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml	unsat	false	false	4.232458	4.733870767988265		TIMEOUT	1800.688432	1801.5300529729575	
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	false	179.279953	179.87266548722982		TIMEOUT	1800.634483	1801.3254306968302	
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	unsat	false	false	159.36321	160.0942155411467		TIMEOUT	1800.90146	1801.6864891173318	
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml	unsat	false	false	7.886786	8.439509101212025		OUT OF MEMORY	640.069327	645.5614289399236	
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml	unsat	false	TIMEOUT	1801.401242	1802.623560759239		false	142.172199	142.79489421658218	
mdp-families-unsat_mem_1_uav-operator-roz-workload_1.yml	unsat	false	TIMEOUT	1801.075923	1802.1246487190947		false	11.096081	11.687396198511124	
mdp-families-unsat_mem_1_uav-roz-big-family_1.yml	unsat	false	TIMEOUT	1801.779463	1802.7387244822457		false	30.690201	31.436647393740714	
mdp-families-unsat_mem_1_uav-roz_1.yml	unsat	false	TIMEOUT	1801.051921	1802.107533235103		false	12.391426	13.066277258098125	
other-unsat_box-pushing.yml	unsat	false	false	1401.429648	1402.3697053454816		TIMEOUT	1800.648899	1801.3727441141382	
other-unsat_dpm.yml	unsat	false	false	703.120419	703.9557473408058		TIMEOUT	1800.688837	1801.4119692798704	
