   BENCHMARK INFORMATION
benchmark definition:    comparison_robust.xml
name:                    comparison_robust
run sets:                SMPMC, PAYNT-AR-1-by-1, PAYNT-AR-MDP-Eval, SMT(LRA)
date:                    Mon, 2025-07-21 21:03:58 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 4 with options '-m molehill --ce none --constraint existsforall' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1801.18     1802.48        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1800.89     1802.06        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1801.18     1802.71        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 TIMEOUT                       1801.14     1803.06        None
mdp-families-sat_mem_1_catch-5_1.yml                                   TIMEOUT                       1801.67     1802.81        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             TIMEOUT                       1801.46     1802.67        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 true                           835.69      836.58        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        TIMEOUT                       1801.46     1802.59        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            TIMEOUT                       1801.49     1802.64        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       true                            26.03       26.81        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  true                            11.68       12.44        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            TIMEOUT                       1801.09     1802.62        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  TIMEOUT                       1801.86     1802.85        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             3.51        4.16        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1801.76     1802.82        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 TIMEOUT                       1801.53     1802.44        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                             8.78        9.43        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  true                             1.00        1.63        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             0.57        1.23        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     true                             4.85        5.49        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                             1.33        2.00        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1801.73     1802.64        None
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml                 TIMEOUT                       1801.56     1802.65        None
mdp-families-sat_mem_1_uav-roz-big-family_1.yml                        OUT OF MEMORY                  742.87      743.58        None
mdp-families-sat_mem_1_uav-roz_1.yml                                   TIMEOUT                       1801.80     1802.72        None
mdp-families-sat_mem_1_virus-big-family_1.yml                          true                             3.17        3.85        None
other-sat_box-pushing.yml                                              true                            54.14       54.33        None
other-sat_dpm.yml                                                      true                            18.32       18.55        None
other-sat_maze.yml                                                     true                             5.00        5.19        None
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml                          true                             0.94        1.12        None
pomdp-families-sat_mem_1_dpm_1.yml                                     true                             1.99        2.19        None
pomdp-families-sat_mem_1_refuel-04_1.yml                               true                             0.96        1.15        None
pomdp-families-sat_mem_1_rover-100_1.yml                               true                             0.92        1.12        None
pomdp-families-sat_mem_1_rover_1.yml                                   true                             0.87        1.08        None
pomdp-families-sat_mem_2_dpm-switch-q10_2.yml                          TIMEOUT                       1800.83     1801.32        None
pomdp-families-sat_mem_2_dpm_2.yml                                     true                            37.32       37.51        None
pomdp-families-sat_mem_2_obstacles-8-3_2.yml                           TIMEOUT                       1800.91     1801.40        None
pomdp-families-sat_mem_2_obstacles-8-6_2.yml                           TIMEOUT                       1800.99     1801.44        None
pomdp-families-sat_mem_2_refuel-04_2.yml                               true                             1.96        2.16        None
pomdp-families-sat_mem_2_rover-100_2.yml                               true                             1.44        1.64        None
pomdp-families-sat_mem_3_obstacles-8-3_3.yml                           TIMEOUT                       1800.82     1801.29        None
pomdp-families-sat_mem_3_obstacles-8-6_3.yml                           TIMEOUT                       1800.77     1801.28        None
mdp-families-unsat_mem_1_avoid-8-2-big-family_1.yml                    TIMEOUT                       1800.96     1801.39        None
mdp-families-unsat_mem_1_avoid-8-2-easy-big-family_1.yml               TIMEOUT                       1800.86     1801.37        None
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml                          TIMEOUT                       1801.14     1801.56        None
mdp-families-unsat_mem_1_avoid-8-2_1.yml                               TIMEOUT                       1800.98     1801.43        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml           TIMEOUT                       1800.80     1801.17        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml               false                            0.81        0.99        None
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml                      TIMEOUT                       1800.98     1801.42        None
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml                          false                           28.38       28.70        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml     false                           27.52       27.86        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy_1.yml                TIMEOUT                       1801.08     1801.52        None
mdp-families-unsat_mem_1_obstacles-demo_1.yml                          false                            0.76        1.09        None
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml                false                            0.96        1.30        None
mdp-families-unsat_mem_1_rover-100-big_1.yml                           false                            0.68        1.00        None
mdp-families-unsat_mem_1_rover-1000-big-family_1.yml                   false                            5.83        6.17        None
mdp-families-unsat_mem_1_rover-1000_1.yml                              false                            1.49        1.75        None
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml    TIMEOUT                       1801.55     1801.96        None
mdp-families-unsat_mem_1_uav-operator-roz-workload_1.yml               TIMEOUT                       1801.11     1801.47        None
mdp-families-unsat_mem_1_uav-roz-big-family_1.yml                      OUT OF MEMORY                  950.29      950.58        None
mdp-families-unsat_mem_1_uav-roz_1.yml                                 TIMEOUT                       1801.51     1801.88        None
mdp-families-unsat_mem_1_virus-big-family_1.yml                        false                           47.22       47.48        None
other-unsat_box-pushing.yml                                            false                          184.27      184.52        None
other-unsat_dpm.yml                                                    false                           79.11       79.29        None
other-unsat_maze.yml                                                   false                            6.97        7.15        None
pomdp-families-unsat_mem_1_avoid_1.yml                                 false                            2.60        2.80        None
pomdp-families-unsat_mem_1_dpm-switch-q10_1.yml                        false                            1.12        1.31        None
pomdp-families-unsat_mem_1_dpm_1.yml                                   false                            2.40        2.67        None
pomdp-families-unsat_mem_1_obstacles-8-3_1.yml                         false                            0.77        0.97        None
pomdp-families-unsat_mem_1_obstacles-8-6_1.yml                         false                            0.65        0.83        None
pomdp-families-unsat_mem_1_obstacles-maze-4-2_1.yml                    false                            0.62        0.84        None
pomdp-families-unsat_mem_1_obstacles-maze-4_1.yml                      false                            0.60        0.78        None
pomdp-families-unsat_mem_2_avoid_2.yml                                 TIMEOUT                       1800.67     1800.91        None
pomdp-families-unsat_mem_2_dpm-switch-q10_2.yml                        false                         1331.16     1331.40        None
pomdp-families-unsat_mem_2_dpm_2.yml                                   TIMEOUT                       1800.68     1800.96        None
pomdp-families-unsat_mem_2_obstacles-8-3_2.yml                         TIMEOUT                       1800.85     1801.10        None
pomdp-families-unsat_mem_2_obstacles-8-6_2.yml                         TIMEOUT                       1800.80     1801.09        None
pomdp-families-unsat_mem_2_obstacles-maze-4-2_2.yml                    false                           14.16       14.36        None
pomdp-families-unsat_mem_2_obstacles-maze-4_2.yml                      false                           12.91       13.12        None
pomdp-families-unsat_mem_3_obstacles-8-3_3.yml                         TIMEOUT                       1800.74     1801.00        None
pomdp-families-unsat_mem_3_obstacles-maze-4-2_3.yml                    TIMEOUT                       1800.75     1801.03        None
pomdp-families-unsat_mem_3_obstacles-maze-4_3.yml                      TIMEOUT                       1800.72     1801.00        None
------------------------------------------------------------------------------------------------------------------------------------
Run set 1                                                              done                         71109.31     3617.38           -


PAYNT-AR-1-by-1
Run set 2 of 4 with options 'robust_policy_baseline.py --synthesizer ar-1by1 --timeout 1000000000' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1800.61     1801.47        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1800.62     1801.53        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1800.68     1801.68        None
