   BENCHMARK INFORMATION
benchmark definition:    comparison_robust.xml
name:                    comparison_robust
run sets:                SMPMC, PAYNT-AR-1-by-1, PAYNT-AR-MDP-Eval, SMT(LRA)
date:                    Tue, 2025-07-22 18:59:51 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 4 with options '-m molehill --ce none --constraint existsforall' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      SEGMENTATION FAULT             145.51      150.62        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 SEGMENTATION FAULT             271.60      275.56        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            SEGMENTATION FAULT             132.52      137.06        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 SEGMENTATION FAULT             133.11      137.69        None
mdp-families-sat_mem_1_catch-5_1.yml                                   TIMEOUT                       1803.46     1804.93        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             TIMEOUT                       1802.62     1803.80        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 true                           878.77      880.64        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        TIMEOUT                       1802.61     1803.77        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            TIMEOUT                       1802.43     1804.91        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       true                            25.83       26.63        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  true                            12.63       13.40        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            TIMEOUT                       1801.04     1803.49        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  TIMEOUT                       1803.59     1805.49        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             3.56        4.31        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1802.93     1804.99        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 TIMEOUT                       1802.87     1804.67        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                             6.37        7.05        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  true                             0.81        1.48        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             0.64        1.34        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     true                             4.77        5.43        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                             1.98        2.56        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1803.99     1805.22        None
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml                 TIMEOUT                       1803.09     1803.98        None
mdp-families-sat_mem_1_uav-roz-big-family_1.yml                        OUT OF MEMORY                  747.32      748.03        None
mdp-families-sat_mem_1_uav-roz_1.yml                                   TIMEOUT                       1803.69     1804.51        None
mdp-families-sat_mem_1_virus-big-family_1.yml                          true                             2.91        3.49        None
other-sat_box-pushing.yml                                              true                            54.85       55.02        None
other-sat_dpm.yml                                                      true                            19.41       19.58        None
other-sat_maze.yml                                                     true                             5.33        5.52        None
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml                          true                             0.75        0.98        None
pomdp-families-sat_mem_1_dpm_1.yml                                     true                             1.16        1.32        None
pomdp-families-sat_mem_1_refuel-04_1.yml                               true                             0.80        0.98        None
pomdp-families-sat_mem_1_rover-100_1.yml                               true                             0.56        0.75        None
pomdp-families-sat_mem_1_rover_1.yml                                   true                             0.78        0.97        None
pomdp-families-sat_mem_2_dpm-switch-q10_2.yml                          TIMEOUT                       1801.01     1801.40        None
pomdp-families-sat_mem_2_dpm_2.yml                                     true                            39.66       39.83        None
pomdp-families-sat_mem_2_obstacles-8-3_2.yml                           TIMEOUT                       1801.29     1801.74        None
pomdp-families-sat_mem_2_obstacles-8-6_2.yml                           TIMEOUT                       1801.40     1801.91        None
pomdp-families-sat_mem_2_refuel-04_2.yml                               true                             1.15        1.34        None
pomdp-families-sat_mem_2_rover-100_2.yml                               true                             0.96        1.17        None
pomdp-families-sat_mem_3_obstacles-8-3_3.yml                           TIMEOUT                       1800.94     1801.41        None
pomdp-families-sat_mem_3_obstacles-8-6_3.yml                           TIMEOUT                       1801.05     1801.44        None
mdp-families-unsat_mem_1_avoid-8-2-big-family_1.yml                    SEGMENTATION FAULT             148.26      152.66        None
mdp-families-unsat_mem_1_avoid-8-2-easy-big-family_1.yml               SEGMENTATION FAULT             686.51      690.20        None
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml                          SEGMENTATION FAULT             164.69      168.98        None
mdp-families-unsat_mem_1_avoid-8-2_1.yml                               SEGMENTATION FAULT             146.51      150.63        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml           TIMEOUT                       1800.88     1801.38        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml               false                            0.72        0.94        None
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml                      TIMEOUT                       1801.00     1801.52        None
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml                          false                           35.07       35.36        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml     false                           35.26       35.52        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy_1.yml                TIMEOUT                       1801.00     1801.56        None
mdp-families-unsat_mem_1_obstacles-demo_1.yml                          false                            0.59        0.77        None
