tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1
../../benchmarks/files/robust-q3/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml	sat	true	SEGMENTATION FAULT	145.51479	150.61728074774146		TIMEOUT	1801.018057	1801.8717076778412	
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml	sat	true	SEGMENTATION FAULT	271.597318	275.5600519971922		TIMEOUT	1800.722042	1801.5561500899494	
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml	sat	true	SEGMENTATION FAULT	132.519103	137.06327296514064		TIMEOUT	1800.815417	1801.8961927304044	
mdp-families-sat_mem_1_avoid-8-2_1.yml	sat	true	SEGMENTATION FAULT	133.114393	137.68793171923608		TIMEOUT	1800.74149	1801.6285232715309	
mdp-families-sat_mem_1_catch-5_1.yml	sat	true	TIMEOUT	1803.461872	1804.9278311403468		true	3.442192	4.172841132618487	
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml	sat	true	TIMEOUT	1802.624591	1803.7955029159784		true	1188.33032	1189.0980364354327	
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml	sat	true	TIMEOUT	1802.609951	1803.7724188258871		true	134.014613	134.71941529773176	
mdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	TIMEOUT	1802.429239	1804.9050704799592		true	42.654379	43.347126762382686	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	sat	true	true	25.833328	26.63408287614584		TIMEOUT	1801.420665	1802.2323506902903	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml	sat	true	true	12.628981	13.402462780475616		TIMEOUT	1800.770477	1801.5382312843576	
