   BENCHMARK INFORMATION
benchmark definition:    comparison_robust.xml
name:                    comparison_robust
run sets:                SMPMC, PAYNT-AR-1-by-1, PAYNT-AR-MDP-Eval, SMT(LRA)
date:                    Fri, 2025-07-25 19:28:37 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 4 with options '-m molehill --ce none --constraint existsforall' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1802.30     1803.59        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1801.39     1802.91        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1802.28     1803.46        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 TIMEOUT                       1802.27     1803.94        None
mdp-families-sat_mem_1_catch-5_1.yml                                   TIMEOUT                       1803.16     1804.15        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             TIMEOUT                       1802.20     1803.58        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 true                           863.80      865.58        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        TIMEOUT                       1802.22     1803.35        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            TIMEOUT                       1802.47     1803.60        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       true                            26.07       26.87        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  true                            11.30       12.10        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            TIMEOUT                       1801.68     1803.58        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  TIMEOUT                       1803.01     1804.65        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             3.52        4.34        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1802.60     1804.49        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 TIMEOUT                       1802.33     1804.19        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                             6.34        7.02        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  true                             0.98        1.70        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             0.55        1.24        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     true                             4.86        5.54        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                             1.26        1.94        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1802.96     1803.91        None
