tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
mdp-families-sat_mem_1_catch-5_1.yml	sat	true	OUT OF MEMORY	224.94522	226.23733614757657	16000.000000		TIMEOUT	1800.604282	1801.6169079262763	159.952896		true	3.403641	4.148293251171708	136.122368	3546	TIMEOUT	1803.163048	1804.152731162496	5260.550144	
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml	sat	true	TIMEOUT	1800.668512	1801.555968850851	1107.599360		true	355.161175	355.9110140297562	351.899648	2	true	1169.521285	1170.307306356728	458.973184	131220	TIMEOUT	1802.199845	1803.578339082189	4043.063296	
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml	sat	true	OUT OF MEMORY	1108.469259	1109.5642759306356	15997.952000		TIMEOUT	1800.610973	1801.5379143925384	152.223744		true	1019.510219	1020.3355629593134	148.094976	803450	true	863.797645	865.5815571742132	1288.994816	40197
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml	sat	true	TIMEOUT	1800.666831	1801.5467038908973	985.796608		true	3.928914	4.658414113335311	209.113088	198	true	139.096745	139.85160223115236	192.479232	23718	TIMEOUT	1802.221459	1803.3489686362445	4120.002560	
mdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	OUT OF MEMORY	425.18676	428.62726540118456	16000.000000		TIMEOUT	1800.608931	1801.5017659915611	138.584064		true	43.05204	43.79006122518331	136.122368	36829	TIMEOUT	1802.465704	1803.6033424008638	4290.220032	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	sat	true	TIMEOUT	1800.689397	1801.5031552705914	1186.848768		TIMEOUT	1800.619018	1801.4571116939187	136.327168		TIMEOUT	1800.90445	1801.6833490049466	3458.260992		true	26.073203	26.868692280724645	284.065792	17531
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml	sat	true	TIMEOUT	1800.725983	1801.5953670926392	1058.598912		TIMEOUT	1800.599749	1801.513204285875	136.343552		TIMEOUT	1800.60429	1801.3760412102565	136.253440		true	11.296499	12.098741870373487	207.544320	6853
mdp-families-sat_mem_1_obstacles-demo_1.yml	sat	true	TIMEOUT	1800.603054	1801.38919530157	188.633088		true	0.406461	1.0937501015141606	136.253440	9	true	0.414838	1.1178812142461538	136.216576	12	TIMEOUT	1801.68184	1803.5828035455197	1963.159552	
mdp-families-sat_mem_1_pacman-6_1.yml	sat	true	OUT OF MEMORY	706.064753	709.4929669601843	16000.000000		true	10.020325	10.713651009835303	148.631552	5131	true	1.270943	1.9701273161917925	136.073216	429	TIMEOUT	1803.014522	1804.6472302014008	5935.194112	
mdp-families-sat_mem_1_rocks-4-2_1.yml	sat	true	TIMEOUT	1800.613536	1801.4530419949442	298.631168		true	3.835348	4.518677422776818	135.974912	6949	true	0.484865	1.1622228538617492	135.970816	101	true	3.523927	4.337338696233928	171.610112	4590
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml	sat	true	OUT OF MEMORY	235.35692	237.53616212774068	16000.000000		TIMEOUT	1800.608063	1801.4898315118626	253.042688		TIMEOUT	1800.60544	1801.3388691330329	146.120704		TIMEOUT	1802.60396	1804.4903981210664	4284.588032	
mdp-families-sat_mem_1_rocks-6-4_1.yml	sat	true	OUT OF MEMORY	201.272084	203.70064144395292	16000.000000		true	21.752539	22.418657277710736	244.633600	3976	true	1.49908	2.1486619459465146	136.179712	256	TIMEOUT	1802.334656	1804.1851299926639	4002.750464	
mdp-families-sat_mem_1_rocks-8-1_1.yml	sat	true	TIMEOUT	1800.629497	1801.4436334054917	314.531840		true	0.760272	1.4125838931649923	136.101888	720	true	0.50765	1.173144944012165	136.155136	130	true	6.335256	7.021667311899364	176.599040	7131
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml	sat	true	OUT OF MEMORY	431.258092	437.73880583886057	16000.000000		TIMEOUT	1800.611708	1801.397038495168	156.835840		OUT OF MEMORY	80.888877	86.00684130098671	16000.000000		true	0.982999	1.7047523716464639	214.986752	18
mdp-families-sat_mem_1_rover-100-big_1.yml	sat	true	TIMEOUT	1800.804273	1801.5979907047004	2524.393472		true	0.538403	1.1753890737891197	136.257536	2	true	0.617024	1.2497832188382745	136.081408	216	true	0.546178	1.237870511598885	176.885760	5
mdp-families-sat_mem_1_rover-1000-big-family_1.yml	sat	true	TIMEOUT	1800.696833	1801.523766878061	1201.041408		TIMEOUT	1800.647101	1801.336824494414	650.211328		TIMEOUT	1800.991722	1801.6938825221732	4934.062080		true	4.855141	5.540911502204835	871.886848	19
mdp-families-sat_mem_1_rover-1000_1.yml	sat	true	TIMEOUT	1800.697312	1801.4566340176389	867.651584		true	1.756535	2.347422909922898	184.684544	2	true	3.299415	3.932083146646619	173.899776	648	true	1.264917	1.9418604215607047	283.373568	8
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml	sat	true	TIMEOUT	1800.742111	1801.4565486377105	1380.667392		true	4.637467	5.228763546794653	384.454656	76	true	10.361662	10.919437191449106	246.267904	540	TIMEOUT	1802.589209	1803.52387648914	6093.479936	
mdp-families-sat_mem_1_uav-roz-big-family_1.yml	sat	true	TIMEOUT	1801.049877	1801.7804330959916	5693.612032		true	39.232374	39.82827190030366	713.265152	5	true	140.208714	140.77857765182853	600.997888	4500	OUT OF MEMORY	748.155185	748.9332699598745	16000.000000	
mdp-families-sat_mem_1_uav-roz_1.yml	sat	true	TIMEOUT	1800.735231	1801.476349257864	1380.507648		true	3.775888	4.359635730274022	329.375744	36	true	8.288753	8.867864624597132	246.865920	432	TIMEOUT	1802.822664	1803.6638119164854	6973.165568	
mdp-families-sat_mem_1_virus-big-family_1.yml	sat	true	TIMEOUT	1800.633113	1801.3606155598536	398.917632		unknown	2.349113	2.9384980630129576	318.025728		unknown	252.187032	252.75770765729249	309.755904		true	2.724016	3.4023206466808915	406.945792	17
other-sat_box-pushing.yml	sat	true	TIMEOUT	1800.648255	1800.8907207595184	1673.416704		TIMEOUT	1800.635625	1800.8922218205407	306.642944		TIMEOUT	1800.628029	1800.8501696493477	290.177024		true	54.823461	55.00260108616203	356.605952	3909
other-sat_dpm.yml	sat	true	TIMEOUT	1800.685715	1800.9177895858884	3555.938304		true	54.590397	54.74596915859729	2151.202816	171	TIMEOUT	1800.684513	1800.9077100940049	1359.790080		true	17.716288	17.927873951382935	1339.678720	242
other-sat_maze.yml	sat	true	TIMEOUT	1800.626156	1800.848045189865	286.892032		true	0.615204	0.7612226037308574	136.318976	29	true	0.404924	0.5453643212094903	136.552448	27	true	5.226427	5.467036686837673	171.040768	4423
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	TIMEOUT	1800.634053	1800.8713213922456	480.641024		true	3.03795	3.163168800994754	136.028160	806	true	37.439142	37.59655179642141	136.593408	66985	true	0.785839	1.0070661399513483	176.234496	205
pomdp-families-sat_mem_1_dpm_1.yml	sat	true	TIMEOUT	1800.636719	1800.9146227734163	831.438848		true	121.714725	121.87854362092912	144.089088	4334	true	322.761265	322.9226117907092	268.234752	252373	true	1.25254	1.4446950517594814	180.838400	249
pomdp-families-sat_mem_1_refuel-04_1.yml	sat	true	TIMEOUT	1800.620694	1800.8352928627282	292.540416		true	0.379844	0.5005244640633464	136.511488	30	true	0.399449	0.5224711624905467	136.450048	25	true	1.134083	1.3402096452191472	171.261952	551
pomdp-families-sat_mem_1_rover-100_1.yml	sat	true	false	553.924882	554.1223453003913	921.534464		true	1.03969	1.1912201037630439	136.343552	4	true	2.094555	2.246033487841487	136.249344	1730	true	0.70444	0.9024750050157309	182.972416	7
pomdp-families-sat_mem_1_rover_1.yml	sat	true	false	41.064921	41.255586865358055	344.014848		true	146.820712	146.96373115945607	136.417280	2	true	313.383162	313.5072078742087	737.361920	524880	true	0.836538	1.0423518968746066	181.866496	13
pomdp-families-sat_mem_2_dpm_2.yml	sat	true	TIMEOUT	1800.661986	1801.2110639726743	1427.374080		true	324.994055	325.1888642767444	192.917504	12019	TIMEOUT	1800.628678	1800.837792025879	305.045504		true	42.047478	42.253478773869574	273.801216	8097
pomdp-families-sat_mem_2_obstacles-8-3_2.yml	sat	true	OUT OF MEMORY	101.181878	113.80076942592859	16000.000000		TIMEOUT	1800.580008	1801.4690180504695	136.351744		TIMEOUT	1800.611934	1800.8966015493497	138.117120		TIMEOUT	1801.621186	1802.1491407016292	1545.355264	
pomdp-families-sat_mem_2_obstacles-8-6_2.yml	sat	true	OUT OF MEMORY	61.251735	63.990015086717904	16000.000000		TIMEOUT	1800.606635	1801.1974240988493	136.384512		TIMEOUT	1800.626412	1800.8044609343633	186.978304		TIMEOUT	1801.770579	1802.2715771244839	2153.291776	
pomdp-families-sat_mem_2_refuel-04_2.yml	sat	true	TIMEOUT	1800.679653	1801.288299124688	1340.899328		true	0.409061	0.5422253552824259	136.351744	54	true	0.605153	0.7345961201936007	136.347648	42	true	1.741836	1.95247033983469	172.376064	708
pomdp-families-sat_mem_2_rover-100_2.yml	sat	true	TIMEOUT	1800.737978	1801.29248744715	2844.082176		true	3.522243	3.636340333148837	180.801536	7	true	10.512635	10.666748745366931	167.276544	1733	true	1.388649	1.5863851886242628	256.278528	7
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml	unsat	false	TIMEOUT	1800.841078	1801.4145553046837	2477.465600		TIMEOUT	1800.657349	1800.9539028666914	609.599488		false	2.553054	2.696639249101281	238.297088	10	TIMEOUT	1802.454506	1802.8402416501194	7560.544256	
