   BENCHMARK INFORMATION
benchmark definition:    comparison_robust.xml
name:                    comparison_robust
run sets:                SMPMC, PAYNT-AR-1-by-1, PAYNT-AR-MDP-Eval, SMT(LRA)
date:                    Sat, 2025-07-26 11:50:12 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 4 with options '-m molehill --ce none --constraint existsforall' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1801.54     1802.60        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1801.42     1802.55        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1802.17     1803.33        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 TIMEOUT                       1801.77     1803.27        None
mdp-families-sat_mem_1_catch-5_1.yml                                   TIMEOUT                       1803.00     1804.09        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             TIMEOUT                       1801.88     1803.04        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 true                           867.63      868.53        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        TIMEOUT                       1801.85     1803.03        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            TIMEOUT                       1802.03     1804.56        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       true                            26.29       27.11        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  true                            11.14       11.99        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            TIMEOUT                       1801.54     1803.35        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  TIMEOUT                       1803.16     1804.18        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             3.58        4.40        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1802.54     1804.43        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 TIMEOUT                       1802.36     1804.37        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                             6.96        7.68        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  true                             1.14        1.78        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             0.55        1.22        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     true                             4.72        5.38        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                             1.29        1.93        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1803.11     1804.01        None
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml                 TIMEOUT                       1802.17     1803.20        None
mdp-families-sat_mem_1_uav-roz-big-family_1.yml                        OUT OF MEMORY                  687.08      687.90        None
mdp-families-sat_mem_1_uav-roz_1.yml                                   TIMEOUT                       1802.87     1803.92        None
mdp-families-sat_mem_1_virus-big-family_1.yml                          true                             2.90        3.55        None
other-sat_box-pushing.yml                                              true                            56.47       56.67        None
other-sat_dpm.yml                                                      true                            19.46       19.67        None
other-sat_maze.yml                                                     true                             4.40        4.63        None
pomdp-families-sat_mem_1_dpm-switch-q10_1.yml                          true                             0.77        0.96        None
pomdp-families-sat_mem_1_dpm_1.yml                                     true                             1.18        1.36        None
pomdp-families-sat_mem_1_refuel-04_1.yml                               true                             0.77        0.96        None
pomdp-families-sat_mem_1_rover-100_1.yml                               true                             0.87        1.07        None
pomdp-families-sat_mem_1_rover_1.yml                                   true                             0.57        0.74        None
pomdp-families-sat_mem_2_dpm-switch-q10_2.yml                          TIMEOUT                       1801.12     1801.59        None
pomdp-families-sat_mem_2_dpm_2.yml                                     true                            42.13       42.37        None
pomdp-families-sat_mem_2_obstacles-8-3_2.yml                           TIMEOUT                       1800.84     1801.33        None
pomdp-families-sat_mem_2_obstacles-8-6_2.yml                           TIMEOUT                       1802.18     1802.73        None
pomdp-families-sat_mem_2_refuel-04_2.yml                               true                             1.82        2.02        None
pomdp-families-sat_mem_2_rover-100_2.yml                               true                             1.30        1.51        None
pomdp-families-sat_mem_3_obstacles-8-3_3.yml                           TIMEOUT                       1801.21     1801.62        None
pomdp-families-sat_mem_3_obstacles-8-6_3.yml                           TIMEOUT                       1801.26     1801.69        None
mdp-families-unsat_mem_1_avoid-8-2-big-family_1.yml                    TIMEOUT                       1801.41     1801.88        None
mdp-families-unsat_mem_1_avoid-8-2-easy-big-family_1.yml               TIMEOUT                       1801.40     1801.89        None
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml                          TIMEOUT                       1801.94     1802.42        None
mdp-families-unsat_mem_1_avoid-8-2_1.yml                               TIMEOUT                       1800.93     1801.36        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml           TIMEOUT                       1800.21     1804.43        None
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml               false                            1.25        1.47        None
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml                      TIMEOUT                       1800.82     1801.23        None
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml                          false                          109.23      109.94        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml     false                          100.70      101.51        None
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy_1.yml                TIMEOUT                       1800.96     1802.27        None
mdp-families-unsat_mem_1_obstacles-demo_1.yml                          false                            3.18        3.92        None
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml                false                           10.52       11.44        None
mdp-families-unsat_mem_1_rover-100-big_1.yml                           false                            3.36        4.15        None
mdp-families-unsat_mem_1_rover-1000-big-family_1.yml                   false                           77.80       78.54        None
mdp-families-unsat_mem_1_rover-1000_1.yml                              false                           14.12       15.04        None
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml    TIMEOUT                       1801.65     1802.73        None
mdp-families-unsat_mem_1_uav-operator-roz-workload_1.yml               TIMEOUT                       1801.11     1802.12        None
mdp-families-unsat_mem_1_uav-roz-big-family_1.yml                      OUT OF MEMORY                  989.07      990.10        None
mdp-families-unsat_mem_1_uav-roz_1.yml                                 TIMEOUT                       1800.94     1802.72        None
mdp-families-unsat_mem_1_virus-big-family_1.yml                        false                          128.32      129.10        None
other-unsat_box-pushing.yml                                            false                          265.45      266.71        None
other-unsat_dpm.yml                                                    false                          159.66      160.90        None
other-unsat_maze.yml                                                   false                           12.54       13.38        None
pomdp-families-unsat_mem_1_avoid_1.yml                                 false                           22.94       23.92        None
pomdp-families-unsat_mem_1_dpm-switch-q10_1.yml                        false                            6.21        7.86        None
pomdp-families-unsat_mem_1_dpm_1.yml                                   false                            6.58        7.81        None
pomdp-families-unsat_mem_1_obstacles-8-3_1.yml                         false                            3.25        4.17        None
pomdp-families-unsat_mem_1_obstacles-8-6_1.yml                         false                            4.20        5.42        None
pomdp-families-unsat_mem_1_obstacles-maze-4-2_1.yml                    false                            4.23        5.77        None
pomdp-families-unsat_mem_1_obstacles-maze-4_1.yml                      false                            4.99        6.66        None
pomdp-families-unsat_mem_2_avoid_2.yml                                 TIMEOUT                       1800.64     1801.83        None
pomdp-families-unsat_mem_2_dpm-switch-q10_2.yml                        false                         1330.09     1331.72        None
pomdp-families-unsat_mem_2_dpm_2.yml                                   TIMEOUT                       1800.65     1801.72        None
pomdp-families-unsat_mem_2_obstacles-8-3_2.yml                         TIMEOUT                       1800.86     1802.13        None
pomdp-families-unsat_mem_2_obstacles-8-6_2.yml                         TIMEOUT                       1800.81     1801.81        None
pomdp-families-unsat_mem_2_obstacles-maze-4-2_2.yml                    false                           28.21       29.40        None
pomdp-families-unsat_mem_2_obstacles-maze-4_2.yml                      false                           20.02       21.41        None
pomdp-families-unsat_mem_3_obstacles-8-3_3.yml                         TIMEOUT                       1800.72     1801.63        None
pomdp-families-unsat_mem_3_obstacles-maze-4-2_3.yml                    TIMEOUT                       1800.71     1802.07        None
pomdp-families-unsat_mem_3_obstacles-maze-4_3.yml                      TIMEOUT                       1800.69     1801.76        None
------------------------------------------------------------------------------------------------------------------------------------
Run set 1                                                              done                         71713.65     3632.56           -


PAYNT-AR-1-by-1
Run set 2 of 4 with options 'robust_policy_baseline.py --synthesizer ar-1by1 --timeout 1000000000' and propertyfile 'None'

inputfile                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml                      TIMEOUT                       1800.70     1801.55        None
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml                 TIMEOUT                       1800.60     1801.41        None
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml                            TIMEOUT                       1800.68     1801.54        None
mdp-families-sat_mem_1_avoid-8-2_1.yml                                 TIMEOUT                       1800.60     1801.43        None
mdp-families-sat_mem_1_catch-5_1.yml                                   true                             3.37        4.13        None
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml             true                          1092.43     1093.21        None
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml                 true                          1075.89     1076.67        None
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml                        true                           143.03      143.76        None
mdp-families-sat_mem_1_dpm-switch-q10_1.yml                            true                            43.79       44.53        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml       TIMEOUT                       1800.85     1801.62        None
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml                  TIMEOUT                       1800.60     1801.36        None
mdp-families-sat_mem_1_obstacles-demo_1.yml                            true                             0.42        1.11        None
mdp-families-sat_mem_1_pacman-6_1.yml                                  true                             1.34        2.03        None
mdp-families-sat_mem_1_rocks-4-2_1.yml                                 true                             0.58        1.27        None
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml                      TIMEOUT                       1800.60     1801.36        None
mdp-families-sat_mem_1_rocks-6-4_1.yml                                 true                             1.69        2.28        None
mdp-families-sat_mem_1_rocks-8-1_1.yml                                 true                             0.45        1.04        None
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml                  OUT OF MEMORY                   88.99       96.94        None
mdp-families-sat_mem_1_rover-100-big_1.yml                             true                             0.69        1.32        None
mdp-families-sat_mem_1_rover-1000-big-family_1.yml                     TIMEOUT                       1801.01     1801.65        None
mdp-families-sat_mem_1_rover-1000_1.yml                                true                             3.53        4.15        None
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml      TIMEOUT                       1800.73     1801.39        None
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml                 true                            10.23       10.83        None
mdp-families-sat_mem_1_uav-roz-big-family_1.yml                        true                           135.61      136.20        None
mdp-families-sat_mem_1_uav-roz_1.yml                                   true                             8.17        8.75        None
