tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
mdp-families-sat_mem_1_avoid-8-2-big-family_1.yml	sat	true	TIMEOUT	1800.624668	1801.5542305177078	401.780736		TIMEOUT	1801.542304	1802.5997268371284	3091.533824		TIMEOUT	1800.767606	1801.7035116981715	2484.264960		TIMEOUT	1800.695265	1801.554233492352	1879.044096	
mdp-families-sat_mem_1_avoid-8-2-easy-big-family_1.yml	sat	true	TIMEOUT	1800.649218	1801.6768442057073	2202.193920		TIMEOUT	1801.422666	1802.5492808446288	2143.547392		TIMEOUT	1800.764388	1801.6642479114234	2530.209792		TIMEOUT	1800.59974	1801.4149655811489	307.376128	
mdp-families-sat_mem_1_avoid-8-2-easy_1.yml	sat	true	TIMEOUT	1800.637718	1801.5056155184284	605.327360		TIMEOUT	1802.172764	1803.3258955990896	4203.556864		TIMEOUT	1800.764445	1801.6746219359338	2414.067712		TIMEOUT	1800.682961	1801.5372541667894	1413.234688	
mdp-families-sat_mem_1_avoid-8-2_1.yml	sat	true	TIMEOUT	1800.659102	1801.5343283610418	1199.280128		TIMEOUT	1801.774083	1803.2700815927237	4980.318208		TIMEOUT	1800.76503	1801.6347455866635	2475.532288		TIMEOUT	1800.600599	1801.42980246339	1006.518272	
mdp-families-sat_mem_1_catch-5_1.yml	sat	true	TIMEOUT	1800.591333	1801.6761391470209	160.247808		TIMEOUT	1802.999566	1804.0875855665654	5310.803968		OUT OF MEMORY	321.701469	327.117475762032	16000.000000		true	3.366914	4.127629687078297	136.114176	3546
mdp-families-sat_mem_1_dpm-switch-q10-big-big-family_1.yml	sat	true	true	311.632038	312.3960471544415	351.711232	2	TIMEOUT	1801.875676	1803.0394048569724	4053.471232		TIMEOUT	1800.669314	1801.5738991415128	1108.934656		true	1092.431757	1093.2064382359385	458.878976	131220
mdp-families-sat_mem_1_dpm-switch-q10-big-family_1.yml	sat	true	TIMEOUT	1800.607138	1801.484853912145	151.986176		true	867.625731	868.531285578385	1289.060352	40197	OUT OF MEMORY	945.002879	947.1262854579836	16000.000000		true	1075.886001	1076.6663152324036	148.193280	803450
mdp-families-sat_mem_1_dpm-switch-q10-big_1.yml	sat	true	true	4.799774	5.53940396476537	209.170432	198	TIMEOUT	1801.848287	1803.0323300240561	4128.382976		TIMEOUT	1800.662585	1801.5153000345454	985.698304		true	143.031722	143.76467425376177	192.368640	23718
mdp-families-sat_mem_1_dpm-switch-q10_1.yml	sat	true	TIMEOUT	1800.598071	1801.5493013421074	138.829824		TIMEOUT	1802.027704	1804.555359533988	4290.015232		OUT OF MEMORY	354.398383	357.7697382690385	16000.000000		true	43.789255	44.52798414230347	136.052736	36829
mdp-families-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	sat	true	TIMEOUT	1800.602564	1801.5087872771546	136.540160		true	26.289483	27.109112811274827	283.783168	17531	TIMEOUT	1800.675808	1801.5116804009303	1187.024896		TIMEOUT	1800.848303	1801.621071134694	3458.592768	
mdp-families-sat_mem_1_obstacles-10-6-skip-easy_1.yml	sat	true	TIMEOUT	1800.596801	1801.58918562904	136.339456		true	11.142042	11.988550558686256	207.802368	6853	TIMEOUT	1800.659149	1801.5564500950277	1057.976320		TIMEOUT	1800.60305	1801.3603803403676	136.368128	
mdp-families-sat_mem_1_obstacles-demo_1.yml	sat	true	true	0.44481	1.1616098741069436	136.249344	9	TIMEOUT	1801.535643	1803.354115370661	1952.989184		TIMEOUT	1800.605448	1801.407937431708	188.891136		true	0.416974	1.1125031625851989	136.245248	12
mdp-families-sat_mem_1_pacman-6_1.yml	sat	true	true	8.695022	9.395052474923432	148.426752	5131	TIMEOUT	1803.156099	1804.1788158155978	5935.173632		OUT OF MEMORY	670.289435	672.701636692509	16000.000000		true	1.336755	2.026472051627934	136.286208	429
mdp-families-sat_mem_1_rocks-4-2_1.yml	sat	true	true	3.853847	4.547165949828923	136.118272	6949	true	3.580065	4.397410321049392	171.204608	4590	TIMEOUT	1800.609674	1801.3955279802904	298.610688		true	0.582151	1.2683012308552861	136.114176	101
mdp-families-sat_mem_1_rocks-6-4-big-family_1.yml	sat	true	TIMEOUT	1800.614268	1801.4391240775585	252.833792		TIMEOUT	1802.535599	1804.4289052607492	4285.493248		OUT OF MEMORY	329.018367	333.458910738118	16000.000000		TIMEOUT	1800.60191	1801.3588525354862	146.124800	
mdp-families-sat_mem_1_rocks-6-4_1.yml	sat	true	true	21.148973	21.828691739588976	244.514816	3976	TIMEOUT	1802.355353	1804.3710140120238	4220.493824		OUT OF MEMORY	195.182697	196.02753358893096	16000.000000		true	1.687381	2.28151167742908	136.065024	256
mdp-families-sat_mem_1_rocks-8-1_1.yml	sat	true	true	0.786516	1.404606644064188	135.987200	720	true	6.956099	7.676704638637602	177.201152	7131	TIMEOUT	1800.610659	1801.460756022483	309.428224		true	0.452636	1.0427079061046243	136.171520	130
mdp-families-sat_mem_1_rover-100-big-big-family_1.yml	sat	true	TIMEOUT	1800.61515	1801.2900689970702	156.786688		true	1.138879	1.7790895402431488	214.958080	18	OUT OF MEMORY	422.996929	428.75601686351	16000.000000		OUT OF MEMORY	88.991788	96.93536601867527	16000.000000	
mdp-families-sat_mem_1_rover-100-big_1.yml	sat	true	true	0.663755	1.2713293749839067	136.286208	2	true	0.551772	1.2188341915607452	176.771072	5	TIMEOUT	1800.781356	1801.5858794851229	2527.232000		true	0.687426	1.3203328913077712	136.142848	216
mdp-families-sat_mem_1_rover-1000-big-family_1.yml	sat	true	TIMEOUT	1800.645277	1801.2771820556372	652.091392		true	4.722544	5.377465197816491	871.895040	19	TIMEOUT	1800.694616	1801.4860365493223	1200.984064		TIMEOUT	1801.007684	1801.6496515246108	4933.230592	
mdp-families-sat_mem_1_rover-1000_1.yml	sat	true	true	1.579387	2.155060825869441	184.774656	2	true	1.294099	1.9343287898227572	283.459584	8	TIMEOUT	1800.663887	1801.4322702027857	867.778560		true	3.532251	4.150801043957472	173.522944	648
mdp-families-sat_mem_1_uav-operator-roz-workload-big-family_1.yml	sat	true	TIMEOUT	1800.635787	1801.3098560217768	503.226368		TIMEOUT	1803.107249	1804.008681322448	7948.337152		TIMEOUT	1800.740581	1801.4570032954216	1749.245952		TIMEOUT	1800.726314	1801.3947769915685	1835.593728	
mdp-families-sat_mem_1_uav-operator-roz-workload_1.yml	sat	true	true	4.602553	5.198044483549893	384.606208	76	TIMEOUT	1802.174677	1803.2017477201298	6077.792256		TIMEOUT	1800.721212	1801.460461662151	1397.706752		true	10.229728	10.832007319666445	246.267904	540
