   BENCHMARK INFORMATION
benchmark definition:    comparison_robust_trees.xml
name:                    comparison_robust_trees
run sets:                SMPMC.Benchmarks, SMT(LRA).Benchmarks
date:                    Mon, 2025-07-28 16:04:40 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC.Benchmarks
Run set 1 of 2 with options '-m molehill --ce none --constraint existsforalltree' and propertyfile 'None'

inputfile                                                                  status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml                     false                            9.85       10.68        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml                    TIMEOUT                       1802.03     1803.38        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml                    TIMEOUT                       1802.78     1803.87        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml                    TIMEOUT                       1802.51     1803.59        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml                     true                          1191.84     1192.84        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml                     TIMEOUT                       1801.96     1803.24        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml                     TIMEOUT                       1802.56     1803.71        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml                     TIMEOUT                       1802.30     1803.38        None
benchmark-general-sat_mem_1_avoid-8-2_1.yml                                false                            9.48       10.27        None
benchmark-general-sat_mem_1_avoid-8-2_11.yml                               TIMEOUT                       1802.65     1803.82        None
benchmark-general-sat_mem_1_avoid-8-2_13.yml                               TIMEOUT                       1802.11     1803.18        None
benchmark-general-sat_mem_1_avoid-8-2_15.yml                               TIMEOUT                       1801.99     1803.07        None
benchmark-general-sat_mem_1_avoid-8-2_3.yml                                TIMEOUT                       1802.09     1803.88        None
benchmark-general-sat_mem_1_avoid-8-2_5.yml                                TIMEOUT                       1802.25     1803.47        None
benchmark-general-sat_mem_1_avoid-8-2_7.yml                                TIMEOUT                       1802.67     1803.63        None
benchmark-general-sat_mem_1_avoid-8-2_9.yml                                TIMEOUT                       1802.43     1803.37        None
benchmark-general-sat_mem_1_catch-5_1.yml                                  false                            1.20        1.89        None
benchmark-general-sat_mem_1_catch-5_11.yml                                 TIMEOUT                       1801.63     1802.80        None
benchmark-general-sat_mem_1_catch-5_13.yml                                 TIMEOUT                       1801.86     1803.48        None
benchmark-general-sat_mem_1_catch-5_15.yml                                 TIMEOUT                       1801.47     1802.64        None
benchmark-general-sat_mem_1_catch-5_3.yml                                  false                            4.24        4.97        None
benchmark-general-sat_mem_1_catch-5_5.yml                                  false                           32.51       33.18        None
benchmark-general-sat_mem_1_catch-5_7.yml                                  false                          743.57      744.26        None
benchmark-general-sat_mem_1_catch-5_9.yml                                  TIMEOUT                       1801.36     1802.57        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_1.yml            false                            7.10        7.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_11.yml           TIMEOUT                       1802.54     1803.39        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_13.yml           TIMEOUT                       1801.56     1801.92        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_15.yml           TIMEOUT                       1801.93     1802.38        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_3.yml            false                          551.84      552.06        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_5.yml            TIMEOUT                       1801.52     1801.86        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_7.yml            TIMEOUT                       1801.46     1801.90        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_9.yml            TIMEOUT                       1800.98     1801.36        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_1.yml                       false                            8.93        9.12        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_11.yml                      TIMEOUT                       1801.85     1802.26        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_13.yml                      TIMEOUT                       1800.79     1801.43        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_15.yml                      TIMEOUT                       1801.63     1802.44        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_3.yml                       false                           53.61       54.37        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_5.yml                       TIMEOUT                       1800.69     1801.92        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_7.yml                       TIMEOUT                       1801.18     1802.08        None
benchmark-general-sat_mem_1_dpm-switch-q10-big_9.yml                       TIMEOUT                       1800.99     1801.91        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml      false                            3.74        4.59        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_11.yml     true                            47.67       48.57        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_13.yml     true                            37.12       38.00        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_15.yml     true                            76.85       77.95        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_3.yml      true                             5.53        6.67        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_5.yml      true                            16.47       17.81        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_7.yml      true                           150.43      151.51        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_9.yml      true                            56.61       57.87        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_1.yml                 false                            3.63        4.58        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_11.yml                true                            51.22       52.42        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_13.yml                true                            50.73       51.86        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_15.yml                true                           107.73      108.90        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_3.yml                 true                             9.72       10.81        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_5.yml                 true                           671.50      672.80        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_7.yml                 true                            81.39       82.36        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy_9.yml                 true                            25.91       26.71        None
benchmark-general-sat_mem_1_obstacles-demo_1.yml                           false                            1.88        2.47        None
benchmark-general-sat_mem_1_obstacles-demo_11.yml                          true                           696.48      697.61        None
benchmark-general-sat_mem_1_obstacles-demo_13.yml                          true                          1339.31     1340.63        None
benchmark-general-sat_mem_1_obstacles-demo_15.yml                          true                           699.80      700.75        None
benchmark-general-sat_mem_1_obstacles-demo_3.yml                           false                            4.78        5.52        None
benchmark-general-sat_mem_1_obstacles-demo_5.yml                           true                            79.62       80.46        None
benchmark-general-sat_mem_1_obstacles-demo_7.yml                           true                             9.94       11.60        None
benchmark-general-sat_mem_1_obstacles-demo_9.yml                           true                            65.01       65.78        None
benchmark-general-sat_mem_1_pacman-6_1.yml                                 false                            5.48        6.16        None
benchmark-general-sat_mem_1_pacman-6_11.yml                                true                           193.20      193.50        None
benchmark-general-sat_mem_1_pacman-6_13.yml                                true                           669.90      670.35        None
benchmark-general-sat_mem_1_pacman-6_15.yml                                true                           826.07      826.46        None
benchmark-general-sat_mem_1_pacman-6_3.yml                                 true                            11.71       12.02        None
benchmark-general-sat_mem_1_pacman-6_5.yml                                 true                            36.32       36.61        None
benchmark-general-sat_mem_1_pacman-6_7.yml                                 true                            56.55       56.83        None
benchmark-general-sat_mem_1_pacman-6_9.yml                                 true                            59.54       59.87        None
benchmark-general-sat_mem_1_refuel-04_1.yml                                false                            0.68        0.92        None
benchmark-general-sat_mem_1_refuel-04_11.yml                               true                             3.48        3.78        None
benchmark-general-sat_mem_1_refuel-04_13.yml                               true                             5.94        6.31        None
benchmark-general-sat_mem_1_refuel-04_15.yml                               true                             6.35        6.73        None
benchmark-general-sat_mem_1_refuel-04_3.yml                                false                            0.61        0.79        None
benchmark-general-sat_mem_1_refuel-04_5.yml                                false                            1.06        1.26        None
benchmark-general-sat_mem_1_refuel-04_7.yml                                true                             1.08        1.34        None
benchmark-general-sat_mem_1_refuel-04_9.yml                                true                             1.71        2.01        None
benchmark-general-sat_mem_1_rocks-4-2_1.yml                                false                            0.51        0.73        None
benchmark-general-sat_mem_1_rocks-4-2_11.yml                               true                            32.54       32.87        None
benchmark-general-sat_mem_1_rocks-4-2_13.yml                               true                            28.19       28.49        None
benchmark-general-sat_mem_1_rocks-4-2_15.yml                               true                            20.39       20.70        None
benchmark-general-sat_mem_1_rocks-4-2_3.yml                                false                            0.91        1.09        None
benchmark-general-sat_mem_1_rocks-4-2_5.yml                                true                             2.74        3.04        None
benchmark-general-sat_mem_1_rocks-4-2_7.yml                                true                            12.04       12.37        None
benchmark-general-sat_mem_1_rocks-4-2_9.yml                                true                            11.56       11.88        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_1.yml                     false                            1.95        2.16        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_11.yml                    TIMEOUT                       1800.78     1801.24        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_13.yml                    true                          1237.43     1238.22        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_15.yml                    TIMEOUT                       1800.71     1802.16        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_3.yml                     false                           10.02       10.24        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_5.yml                     true                           177.63      177.98        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_7.yml                     true                           213.03      213.37        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_9.yml                     true                          1243.25     1243.73        None
benchmark-general-sat_mem_1_rocks-6-4-signal_1.yml                         false                            1.90        2.10        None
benchmark-general-sat_mem_1_rocks-6-4-signal_11.yml                        TIMEOUT                       1800.80     1801.21        None
benchmark-general-sat_mem_1_rocks-6-4-signal_13.yml                        TIMEOUT                       1800.81     1801.24        None
benchmark-general-sat_mem_1_rocks-6-4-signal_15.yml                        TIMEOUT                       1800.53     1802.64        None
benchmark-general-sat_mem_1_rocks-6-4-signal_3.yml                         false                            7.76        7.97        None
benchmark-general-sat_mem_1_rocks-6-4-signal_5.yml                         true                           616.76      617.18        None
benchmark-general-sat_mem_1_rocks-6-4-signal_7.yml                         TIMEOUT                       1800.81     1801.25        None
benchmark-general-sat_mem_1_rocks-6-4-signal_9.yml                         TIMEOUT                       1800.80     1801.84        None
benchmark-general-sat_mem_1_rocks-6-4_1.yml                                false                            1.20        1.42        None
benchmark-general-sat_mem_1_rocks-6-4_11.yml                               true                          1265.67     1266.11        None
benchmark-general-sat_mem_1_rocks-6-4_13.yml                               TIMEOUT                       1800.86     1801.51        None
benchmark-general-sat_mem_1_rocks-6-4_15.yml                               TIMEOUT                       1800.80     1801.21        None
benchmark-general-sat_mem_1_rocks-6-4_3.yml                                false                           21.83       22.06        None
benchmark-general-sat_mem_1_rocks-6-4_5.yml                                true                           125.52      125.84        None
benchmark-general-sat_mem_1_rocks-6-4_7.yml                                true                           362.68      363.21        None
benchmark-general-sat_mem_1_rocks-6-4_9.yml                                true                          1288.55     1290.67        None
benchmark-general-sat_mem_1_rocks-8-1_1.yml                                false                            0.76        0.98        None
benchmark-general-sat_mem_1_rocks-8-1_11.yml                               true                            22.20       22.53        None
benchmark-general-sat_mem_1_rocks-8-1_13.yml                               true                           259.81      260.16        None
benchmark-general-sat_mem_1_rocks-8-1_15.yml                               true                            54.53       54.80        None
benchmark-general-sat_mem_1_rocks-8-1_3.yml                                false                            3.05        3.27        None
benchmark-general-sat_mem_1_rocks-8-1_5.yml                                true                             4.13        4.49        None
benchmark-general-sat_mem_1_rocks-8-1_7.yml                                true                            17.32       17.65        None
benchmark-general-sat_mem_1_rocks-8-1_9.yml                                true                             5.82        6.15        None
benchmark-general-sat_mem_1_rover-1000-big-family_1.yml                    true                             6.31        6.62        None
benchmark-general-sat_mem_1_rover-1000-big-family_11.yml                   true                            16.75       17.02        None
benchmark-general-sat_mem_1_rover-1000-big-family_13.yml                   true                            19.98       20.28        None
benchmark-general-sat_mem_1_rover-1000-big-family_15.yml                   true                            37.94       38.27        None
benchmark-general-sat_mem_1_rover-1000-big-family_3.yml                    true                             7.39        7.68        None
benchmark-general-sat_mem_1_rover-1000-big-family_5.yml                    true                             9.26        9.55        None
benchmark-general-sat_mem_1_rover-1000-big-family_7.yml                    true                            11.39       11.70        None
benchmark-general-sat_mem_1_rover-1000-big-family_9.yml                    true                            13.80       14.11        None
benchmark-general-sat_mem_1_rover-1000_1.yml                               true                             2.14        2.43        None
benchmark-general-sat_mem_1_rover-1000_11.yml                              true                            13.43       13.75        None
benchmark-general-sat_mem_1_rover-1000_13.yml                              true                            19.68       20.01        None
benchmark-general-sat_mem_1_rover-1000_15.yml                              true                            19.44       19.75        None
benchmark-general-sat_mem_1_rover-1000_3.yml                               true                             4.45        4.74        None
