   BENCHMARK INFORMATION
benchmark definition:    comparison_robust_trees.xml
name:                    comparison_robust_trees
run sets:                SMPMC.Benchmarks, SMT(LRA).Benchmarks
date:                    Tue, 2025-07-29 11:43:50 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC.Benchmarks
Run set 1 of 2 with options '-m molehill --ce none --constraint existsforalltree' and propertyfile 'None'

inputfile                                                                  status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml                     false                           17.10       17.92        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml                    TIMEOUT                       1801.88     1803.20        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml                    TIMEOUT                       1801.97     1803.04        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml                    TIMEOUT                       1801.81     1803.03        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml                     true                          1638.50     1639.59        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml                     TIMEOUT                       1801.68     1802.85        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml                     TIMEOUT                       1801.97     1803.09        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml                     TIMEOUT                       1801.82     1803.14        None
benchmark-general-sat_mem_1_catch-5_1.yml                                  false                            2.03        2.85        None
benchmark-general-sat_mem_1_catch-5_11.yml                                 TIMEOUT                       1801.23     1802.42        None
benchmark-general-sat_mem_1_catch-5_13.yml                                 TIMEOUT                       1801.40     1802.43        None
benchmark-general-sat_mem_1_catch-5_15.yml                                 TIMEOUT                       1801.12     1802.20        None
benchmark-general-sat_mem_1_catch-5_3.yml                                  false                            3.37        4.14        None
benchmark-general-sat_mem_1_catch-5_5.yml                                  false                           37.87       38.68        None
benchmark-general-sat_mem_1_catch-5_7.yml                                  false                         1062.22     1063.09        None
