tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-general/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml	TIMEOUT	1800.796866	1801.727160221897	2546.593792		false	9.893882	10.722138750366867	965.398528	7
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml	TIMEOUT	1800.814822	1801.713825370185	2686.889984		TIMEOUT	1800.756809	1801.8070486206561	3032.457216	
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml	TIMEOUT	1800.785805	1801.672766244039	2695.409664		TIMEOUT	1800.827024	1801.849482519552	4832.014336	
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml	TIMEOUT	1800.810542	1801.7043937901035	2698.088448		TIMEOUT	1800.937107	1801.9873651657254	4029.620224	
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml	TIMEOUT	1800.815944	1801.6992375515401	2552.893440		true	1557.793147	1559.676669323817	3554.394112	24967
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml	TIMEOUT	1800.897829	1801.8489021258429	2591.866880		TIMEOUT	1800.873231	1802.0250542992726	3574.587392	
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml	TIMEOUT	1800.926474	1801.8599347537383	2555.822080		TIMEOUT	1800.946667	1801.956371517852	3550.363648	
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml	TIMEOUT	1800.925446	1801.7814465044066	2600.480768		TIMEOUT	1800.889876	1801.9500406756997	3614.167040	
benchmark-general-sat_mem_1_catch-5_1.yml	OUT OF MEMORY	330.795412	334.17058871872723	16000.000000		false	1.249667	2.1093832347542048	195.080192	6
benchmark-general-sat_mem_1_catch-5_11.yml	OUT OF MEMORY	227.469616	228.46566941961646	16000.000000		TIMEOUT	1800.729665	1801.9377621719614	1387.507712	
benchmark-general-sat_mem_1_catch-5_13.yml	OUT OF MEMORY	374.294548	379.4551976080984	16000.000000		TIMEOUT	1800.556548	1802.3321088403463	2065.555456	
benchmark-general-sat_mem_1_catch-5_15.yml	OUT OF MEMORY	241.005549	244.10254058800638	16000.000000		TIMEOUT	1800.731808	1801.791079385206	1412.947968	
benchmark-general-sat_mem_1_catch-5_3.yml	OUT OF MEMORY	222.031644	223.48604325205088	16000.000000		false	3.361404	4.145237673074007	212.983808	136
benchmark-general-sat_mem_1_catch-5_5.yml	OUT OF MEMORY	251.305226	255.6974951736629	16000.000000		false	37.437863	38.14261494670063	290.734080	2515
benchmark-general-sat_mem_1_catch-5_7.yml	OUT OF MEMORY	285.344594	286.2804297944531	16000.000000		false	937.322353	938.0970116546378	971.878400	44182
benchmark-general-sat_mem_1_catch-5_9.yml	OUT OF MEMORY	228.214506	229.5480178464204	16000.000000		TIMEOUT	1800.735485	1801.8131436221302	1247.744000	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_1.yml	TIMEOUT	1800.736705	1801.5252152150497	1123.016704		false	7.077302	7.782548353075981	879.587328	5
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_11.yml	TIMEOUT	1800.759034	1801.5280334725976	1203.052544		TIMEOUT	1800.980765	1801.9042050968856	4214.849536	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_13.yml	TIMEOUT	1800.762462	1801.5383448237553	1206.706176		TIMEOUT	1801.03848	1801.9144335240126	4978.257920	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_15.yml	TIMEOUT	1800.780536	1801.5773225640878	1288.417280		TIMEOUT	1801.017216	1801.8860297296196	4476.465152	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_3.yml	TIMEOUT	1800.764734	1801.525119449012	1125.023744		false	366.634669	367.26623676810414	1836.904448	17296
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_5.yml	TIMEOUT	1800.763928	1801.5298655852675	1147.621376		TIMEOUT	1800.931028	1801.8082691831514	4292.448256	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_7.yml	TIMEOUT	1800.737952	1801.5491725234315	1152.884736		TIMEOUT	1800.932898	1801.687133909203	4439.773184	
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_9.yml	TIMEOUT	1800.759296	1801.5303718755022	1197.514752		TIMEOUT	1801.046672	1801.8602054324	4885.053440	
