   BENCHMARK INFORMATION
benchmark definition:    comparison_robust_trees.xml
name:                    comparison_robust_trees
run sets:                SMPMC.Benchmarks, SMT(LRA).Benchmarks
date:                    Wed, 2025-07-30 21:12:38 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC.Benchmarks
Run set 1 of 2 with options '-m molehill --ce none --constraint existsforalltree' and propertyfile 'None'

inputfile                                                                  status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml                     false                            9.88       10.70        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml                    TIMEOUT                       1800.77     1801.84        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml                    TIMEOUT                       1800.88     1802.00        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml                    TIMEOUT                       1800.81     1801.88        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml                     true                          1424.00     1425.04        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml                     TIMEOUT                       1800.84     1801.88        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml                     TIMEOUT                       1800.97     1801.98        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml                     TIMEOUT                       1800.90     1801.83        None
benchmark-general-sat_mem_1_catch-5_1.yml                                  false                            1.23        2.02        None
benchmark-general-sat_mem_1_catch-5_11.yml                                 TIMEOUT                       1800.70     1802.03        None
benchmark-general-sat_mem_1_catch-5_13.yml                                 TIMEOUT                       1800.61     1802.56        None
benchmark-general-sat_mem_1_catch-5_15.yml                                 TIMEOUT                       1800.78     1801.91        None
benchmark-general-sat_mem_1_catch-5_3.yml                                  false                            3.31        4.07        None
benchmark-general-sat_mem_1_catch-5_5.yml                                  false                           38.23       39.02        None
benchmark-general-sat_mem_1_catch-5_7.yml                                  false                          869.31      870.10        None
benchmark-general-sat_mem_1_catch-5_9.yml                                  TIMEOUT                       1800.72     1801.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_1.yml            false                            7.09        7.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_11.yml           TIMEOUT                       1800.97     1801.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_13.yml           TIMEOUT                       1800.96     1801.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_15.yml           TIMEOUT                       1801.04     1801.82        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_3.yml            false                          379.91      380.64        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_5.yml            TIMEOUT                       1800.62     1802.33        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_7.yml            TIMEOUT                       1800.93     1801.71        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_9.yml            TIMEOUT                       1801.01     1801.86        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml      false                            0.68        1.36        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_11.yml     true                            30.25       31.01        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_13.yml     true                            14.56       14.85        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_15.yml     true                            59.76       60.10        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_3.yml      true                             2.69        3.02        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_5.yml      true                             8.23        8.56        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_7.yml      true                           146.77      147.09        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_9.yml      true                            45.97       46.28        None
benchmark-general-sat_mem_1_obstacles-demo_1.yml                           false                            0.78        0.96        None
benchmark-general-sat_mem_1_obstacles-demo_11.yml                          true                           522.07      522.52        None
benchmark-general-sat_mem_1_obstacles-demo_13.yml                          true                          1364.39     1365.42        None
benchmark-general-sat_mem_1_obstacles-demo_15.yml                          true                           647.18      647.63        None
benchmark-general-sat_mem_1_obstacles-demo_3.yml                           false                            2.47        2.72        None
benchmark-general-sat_mem_1_obstacles-demo_5.yml                           true                            61.80       62.13        None
benchmark-general-sat_mem_1_obstacles-demo_7.yml                           true                             6.18        6.47        None
benchmark-general-sat_mem_1_obstacles-demo_9.yml                           true                            61.19       61.54        None
benchmark-general-sat_mem_1_pacman-6_1.yml                                 false                            3.34        3.52        None
benchmark-general-sat_mem_1_pacman-6_11.yml                                true                           264.81      265.18        None
benchmark-general-sat_mem_1_pacman-6_13.yml                                true                           491.86      492.18        None
benchmark-general-sat_mem_1_pacman-6_15.yml                                true                           763.12      763.52        None
benchmark-general-sat_mem_1_pacman-6_3.yml                                 true                             9.06        9.35        None
benchmark-general-sat_mem_1_pacman-6_5.yml                                 true                            35.32       35.62        None
benchmark-general-sat_mem_1_pacman-6_7.yml                                 true                            55.15       55.47        None
benchmark-general-sat_mem_1_pacman-6_9.yml                                 true                            58.70       58.99        None
benchmark-general-sat_mem_1_refuel-04_1.yml                                false                            0.47        0.65        None
benchmark-general-sat_mem_1_refuel-04_11.yml                               true                             3.79        4.05        None
benchmark-general-sat_mem_1_refuel-04_13.yml                               true                             4.30        4.58        None
benchmark-general-sat_mem_1_refuel-04_15.yml                               true                             4.34        4.60        None
benchmark-general-sat_mem_1_refuel-04_3.yml                                false                            0.60        0.77        None
benchmark-general-sat_mem_1_refuel-04_5.yml                                false                            1.10        1.26        None
benchmark-general-sat_mem_1_refuel-04_7.yml                                true                             1.67        1.97        None
benchmark-general-sat_mem_1_refuel-04_9.yml                                true                             1.54        1.82        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_1.yml                     false                            1.90        2.10        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_11.yml                    TIMEOUT                       1800.76     1801.20        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_13.yml                    true                          1374.33     1374.88        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_15.yml                    TIMEOUT                       1800.76     1803.57        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_3.yml                     false                           11.66       11.86        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_5.yml                     true                           321.00      321.42        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_7.yml                     true                           374.77      375.08        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_9.yml                     true                          1255.18     1255.67        None
benchmark-general-sat_mem_1_rocks-6-4-signal_1.yml                         false                            1.33        1.55        None
benchmark-general-sat_mem_1_rocks-6-4-signal_11.yml                        TIMEOUT                       1800.73     1801.71        None
benchmark-general-sat_mem_1_rocks-6-4-signal_13.yml                        TIMEOUT                       1800.69     1802.56        None
benchmark-general-sat_mem_1_rocks-6-4-signal_15.yml                        true                          1771.14     1772.04        None
benchmark-general-sat_mem_1_rocks-6-4-signal_3.yml                         false                           11.56       11.78        None
benchmark-general-sat_mem_1_rocks-6-4-signal_5.yml                         true                           785.73      786.20        None
benchmark-general-sat_mem_1_rocks-6-4-signal_7.yml                         true                          1393.20     1395.12        None
benchmark-general-sat_mem_1_rocks-6-4-signal_9.yml                         TIMEOUT                       1800.95     1801.60        None
benchmark-general-sat_mem_1_rover-1000-big-family_1.yml                    true                             5.98        6.28        None
benchmark-general-sat_mem_1_rover-1000-big-family_11.yml                   true                            17.19       17.45        None
benchmark-general-sat_mem_1_rover-1000-big-family_13.yml                   true                            19.80       20.12        None
benchmark-general-sat_mem_1_rover-1000-big-family_15.yml                   true                            23.03       23.36        None
benchmark-general-sat_mem_1_rover-1000-big-family_3.yml                    true                             7.39        7.66        None
benchmark-general-sat_mem_1_rover-1000-big-family_5.yml                    true                             9.55        9.89        None
benchmark-general-sat_mem_1_rover-1000-big-family_7.yml                    true                            11.82       12.12        None
benchmark-general-sat_mem_1_rover-1000-big-family_9.yml                    true                            15.04       15.33        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_1.yml     false                           13.36       13.55        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_11.yml    TIMEOUT                       1801.12     1801.41        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_13.yml    TIMEOUT                       1800.87     1801.27        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_15.yml    TIMEOUT                       1800.90     1801.27        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_3.yml     false                           65.31       65.59        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_5.yml     TIMEOUT                       1800.92     1801.29        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_7.yml     TIMEOUT                       1801.08     1801.50        None
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_9.yml     TIMEOUT                       1800.95     1801.37        None
benchmark-general-sat_mem_1_uav-roz-big-family_1.yml                       false                           29.96       30.30        None
benchmark-general-sat_mem_1_uav-roz-big-family_11.yml                      TIMEOUT                       1801.48     1801.92        None
benchmark-general-sat_mem_1_uav-roz-big-family_13.yml                      TIMEOUT                       1801.54     1802.02        None
benchmark-general-sat_mem_1_uav-roz-big-family_15.yml                      OUT OF MEMORY                  383.45      384.48        None
benchmark-general-sat_mem_1_uav-roz-big-family_3.yml                       false                          153.31      153.69        None
benchmark-general-sat_mem_1_uav-roz-big-family_5.yml                       TIMEOUT                       1801.31     1801.76        None
benchmark-general-sat_mem_1_uav-roz-big-family_7.yml                       TIMEOUT                       1801.38     1801.81        None
benchmark-general-sat_mem_1_uav-roz-big-family_9.yml                       TIMEOUT                       1801.33     1801.61        None
benchmark-general-sat_mem_2_obstacles-2-3_1.yml                            false                            0.59        0.78        None
benchmark-general-sat_mem_2_obstacles-2-3_11.yml                           false                            3.11        3.33        None
benchmark-general-sat_mem_2_obstacles-2-3_13.yml                           false                            9.94       10.17        None
benchmark-general-sat_mem_2_obstacles-2-3_15.yml                           true                             4.14        4.46        None
benchmark-general-sat_mem_2_obstacles-2-3_3.yml                            false                            0.56        0.73        None
benchmark-general-sat_mem_2_obstacles-2-3_5.yml                            false                            0.79        1.03        None
benchmark-general-sat_mem_2_obstacles-2-3_7.yml                            false                            0.99        1.20        None
benchmark-general-sat_mem_2_obstacles-2-3_9.yml                            false                            1.39        1.60        None
benchmark-general-sat_mem_3_obstacles-3-3_1.yml                            false                            0.60        0.80        None
benchmark-general-sat_mem_3_obstacles-3-3_11.yml                           false                            2.75        2.98        None
benchmark-general-sat_mem_3_obstacles-3-3_13.yml                           false                           31.40       31.59        None
benchmark-general-sat_mem_3_obstacles-3-3_15.yml                           false                           88.47       88.65        None
benchmark-general-sat_mem_3_obstacles-3-3_3.yml                            false                            0.56        0.77        None
benchmark-general-sat_mem_3_obstacles-3-3_5.yml                            false                            1.14        1.34        None
benchmark-general-sat_mem_3_obstacles-3-3_7.yml                            false                            1.42        1.63        None
benchmark-general-sat_mem_3_obstacles-3-3_9.yml                            false                            1.80        2.00        None
----------------------------------------------------------------------------------------------------------------------------------------
Run set 1                                                                  done                         73247.02     3605.07           -


SMT(LRA).Benchmarks
Run set 2 of 2 with options '-m molehill --pure-smt --ce none --constraint existsforalltree' and propertyfile 'None'

inputfile                                                                  status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------------------------------------
benchmark-general-sat_mem_1_avoid-8-2-big-family_1.yml                     TIMEOUT                       1800.79     1801.68        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_11.yml                    TIMEOUT                       1800.84     1801.78        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_13.yml                    TIMEOUT                       1800.80     1801.71        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_15.yml                    TIMEOUT                       1800.86     1801.80        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_3.yml                     TIMEOUT                       1800.97     1801.95        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_5.yml                     TIMEOUT                       1800.94     1801.91        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_7.yml                     TIMEOUT                       1800.96     1801.86        None
benchmark-general-sat_mem_1_avoid-8-2-big-family_9.yml                     TIMEOUT                       1800.97     1801.81        None
benchmark-general-sat_mem_1_catch-5_1.yml                                  OUT OF MEMORY                  329.32      330.82        None
benchmark-general-sat_mem_1_catch-5_11.yml                                 OUT OF MEMORY                  272.70      276.35        None
benchmark-general-sat_mem_1_catch-5_13.yml                                 OUT OF MEMORY                  237.42      240.39        None
benchmark-general-sat_mem_1_catch-5_15.yml                                 OUT OF MEMORY                  247.67      251.59        None
benchmark-general-sat_mem_1_catch-5_3.yml                                  OUT OF MEMORY                  239.78      244.78        None
benchmark-general-sat_mem_1_catch-5_5.yml                                  OUT OF MEMORY                  285.66      287.16        None
benchmark-general-sat_mem_1_catch-5_7.yml                                  OUT OF MEMORY                  224.08      224.97        None
benchmark-general-sat_mem_1_catch-5_9.yml                                  OUT OF MEMORY                  238.16      242.37        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_1.yml            TIMEOUT                       1800.79     1801.59        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_11.yml           TIMEOUT                       1800.81     1801.57        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_13.yml           TIMEOUT                       1800.82     1801.57        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_15.yml           TIMEOUT                       1800.80     1801.56        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_3.yml            TIMEOUT                       1800.83     1801.52        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_5.yml            TIMEOUT                       1800.80     1801.54        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_7.yml            TIMEOUT                       1800.81     1801.54        None
benchmark-general-sat_mem_1_dpm-switch-q10-big-big-family_9.yml            TIMEOUT                       1800.81     1801.57        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml      false                           33.19       33.85        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_11.yml     TIMEOUT                       1800.82     1801.56        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_13.yml     TIMEOUT                       1800.71     1800.95        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_15.yml     TIMEOUT                       1800.72     1800.95        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_3.yml      TIMEOUT                       1800.83     1801.14        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_5.yml      TIMEOUT                       1800.69     1800.94        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_7.yml      TIMEOUT                       1800.68     1800.93        None
benchmark-general-sat_mem_1_obstacles-10-6-skip-easy-big-family_9.yml      TIMEOUT                       1800.69     1800.93        None
benchmark-general-sat_mem_1_obstacles-demo_1.yml                           false                          444.91      445.15        None
benchmark-general-sat_mem_1_obstacles-demo_11.yml                          TIMEOUT                       1800.62     1800.84        None
benchmark-general-sat_mem_1_obstacles-demo_13.yml                          TIMEOUT                       1800.62     1800.85        None
benchmark-general-sat_mem_1_obstacles-demo_15.yml                          TIMEOUT                       1800.61     1800.94        None
benchmark-general-sat_mem_1_obstacles-demo_3.yml                           TIMEOUT                       1800.61     1800.91        None
benchmark-general-sat_mem_1_obstacles-demo_5.yml                           TIMEOUT                       1800.61     1800.92        None
benchmark-general-sat_mem_1_obstacles-demo_7.yml                           TIMEOUT                       1800.60     1801.04        None
benchmark-general-sat_mem_1_obstacles-demo_9.yml                           TIMEOUT                       1800.60     1801.03        None
benchmark-general-sat_mem_1_pacman-6_1.yml                                 OUT OF MEMORY                  699.31      701.34        None
benchmark-general-sat_mem_1_pacman-6_11.yml                                OUT OF MEMORY                  796.13      798.37        None
benchmark-general-sat_mem_1_pacman-6_13.yml                                OUT OF MEMORY                  871.05      877.01        None
benchmark-general-sat_mem_1_pacman-6_15.yml                                OUT OF MEMORY                  699.72      703.91        None
benchmark-general-sat_mem_1_pacman-6_3.yml                                 OUT OF MEMORY                  697.34      700.99        None
benchmark-general-sat_mem_1_pacman-6_5.yml                                 OUT OF MEMORY                  754.08      757.76        None
benchmark-general-sat_mem_1_pacman-6_7.yml                                 OUT OF MEMORY                  668.92      669.83        None
benchmark-general-sat_mem_1_pacman-6_9.yml                                 OUT OF MEMORY                  721.27      725.48        None
benchmark-general-sat_mem_1_refuel-04_1.yml                                false                            1.38        1.83        None
benchmark-general-sat_mem_1_refuel-04_11.yml                               true                           249.00      249.55        None
benchmark-general-sat_mem_1_refuel-04_13.yml                               true                           910.98      911.56        None
benchmark-general-sat_mem_1_refuel-04_15.yml                               true                           668.12      668.69        None
benchmark-general-sat_mem_1_refuel-04_3.yml                                false                            1.80        2.28        None
benchmark-general-sat_mem_1_refuel-04_5.yml                                false                            4.59        4.78        None
benchmark-general-sat_mem_1_refuel-04_7.yml                                true                           151.43      151.76        None
benchmark-general-sat_mem_1_refuel-04_9.yml                                true                           447.36      447.69        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_1.yml                     OUT OF MEMORY                  375.23      376.63        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_11.yml                    OUT OF MEMORY                  287.90      294.13        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_13.yml                    OUT OF MEMORY                  309.66      313.99        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_15.yml                    OUT OF MEMORY                  287.30      287.61        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_3.yml                     OUT OF MEMORY                  335.08      338.45        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_5.yml                     OUT OF MEMORY                  243.35      243.94        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_7.yml                     OUT OF MEMORY                  337.42      338.62        None
benchmark-general-sat_mem_1_rocks-6-4-big-family_9.yml                     OUT OF MEMORY                  235.98      236.17        None
benchmark-general-sat_mem_1_rocks-6-4-signal_1.yml                         OUT OF MEMORY                  279.05      279.99        None
benchmark-general-sat_mem_1_rocks-6-4-signal_11.yml                        OUT OF MEMORY                  277.69      280.65        None
benchmark-general-sat_mem_1_rocks-6-4-signal_13.yml                        OUT OF MEMORY                  285.91      288.15        None
benchmark-general-sat_mem_1_rocks-6-4-signal_15.yml                        OUT OF MEMORY                  287.41      290.71        None
benchmark-general-sat_mem_1_rocks-6-4-signal_3.yml                         OUT OF MEMORY                  264.33      267.74        None
benchmark-general-sat_mem_1_rocks-6-4-signal_5.yml                         OUT OF MEMORY                  267.16      268.20        None
benchmark-general-sat_mem_1_rocks-6-4-signal_7.yml                         OUT OF MEMORY                  334.89      338.51        None
benchmark-general-sat_mem_1_rocks-6-4-signal_9.yml                         OUT OF MEMORY                  271.93      275.82        None
benchmark-general-sat_mem_1_rover-1000-big-family_1.yml                    TIMEOUT                       1800.65     1800.90        None
