   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, Paynt-AR, Paynt-CEGIS, Paynt-Hybrid, SMT(LRA), SMPMC
date:                    Thu, 2025-07-17 10:08:56 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           24
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   True
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 6 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.08        3.69        None
jair-sat_box-pushing-2fsc.yml                true                           433.09      433.68        None
jair-sat_dpm.yml                             true                             2.22        2.82        None
jair-sat_grid-10-sl-4fsc.yml                 true                             1.69        2.31        None
jair-sat_grid-meet-sl-2fsc.yml               true                            13.76       14.34        None
jair-sat_grid.yml                            true                             0.56        1.13        None
jair-sat_grid3x3-1fsc.yml                    true                             3.10        3.68        None
jair-sat_grid3x3-2fsc.yml                    true                            23.64       24.21        None
jair-sat_herman.yml                          true                            34.03       34.62        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.65     1801.36        None
jair-sat_maze.yml                            true                             0.58        1.22        None
jair-sat_pole-res.yml                        true                             0.66        1.29        None
jair-sat_pole.yml                            true                             1.53        2.14        None
jair-sat_recycling-2fsc.yml                  true                             0.44        1.02        None
jair-sat_recycling-3fsc.yml                  true                             0.52        1.12        None
jair-sat_refuel-06-res.yml                   true                             1.24        1.82        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.49        1.13        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.42        0.99        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.96     1801.64        None
pomdps-sat_mem_1_drone-4-2_1.yml             TIMEOUT                       1800.98     1801.71        None
pomdps-sat_mem_1_drone-8-2_1.yml             TIMEOUT                       1800.83     1801.76        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.41        0.99        None
pomdps-sat_mem_1_hallway_1.yml               true                             6.10        6.74        None
pomdps-sat_mem_1_maze-alex_1.yml             true                             0.55        1.15        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             5.92        6.11        None
pomdps-sat_mem_1_network_1.yml               true                             0.47        0.64        None
pomdps-sat_mem_1_nrp-8_1.yml                 true                             0.41        0.59        None
pomdps-sat_mem_1_query-s2_1.yml              true                             0.47        0.65        None
pomdps-sat_mem_1_query-s3_1.yml              true                             0.48        0.67        None
pomdps-sat_mem_1_refuel-06_1.yml             true                             3.81        4.01        None
pomdps-sat_mem_1_refuel-20_1.yml             true                            12.01       12.19        None
pomdps-sat_mem_1_rocks-12_1.yml              TIMEOUT                       1801.24     1801.51        None
pomdps-sat_mem_2_4x3-95_2.yml                true                             9.49        9.66        None
pomdps-sat_mem_2_4x5x2-95_2.yml              true                             0.70        0.88        None
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml      true                             0.43        0.62        None
pomdps-sat_mem_2_maze-alex_2.yml             true                             1.27        1.44        None
pomdps-sat_mem_2_milos-aaai97_2.yml          true                             0.82        0.98        None
pomdps-sat_mem_2_network_2.yml               true                             0.82        1.00        None
pomdps-sat_mem_2_nrp-8_2.yml                 true                             0.43        0.61        None
pomdps-sat_mem_2_query-s2_2.yml              true                             0.42        0.60        None
pomdps-sat_mem_2_query-s3_2.yml              true                             4.49        4.65        None
pomdps-sat_mem_2_refuel-06_2.yml             TIMEOUT                       1801.15     1801.46        None
pomdps-sat_mem_3_4x3-95_3.yml                true                           183.49      183.67        None
pomdps-sat_mem_3_4x5x2-95_3.yml              true                            11.34       11.55        None
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml      true                             0.43        0.65        None
pomdps-sat_mem_3_maze-alex_3.yml             true                           208.75      208.92        None
pomdps-sat_mem_3_network_3.yml               true                             5.36        5.57        None
pomdps-sat_mem_3_query-s2_3.yml              true                             0.88        1.06        None
pomdps-sat_mem_3_query-s3_3.yml              true                            56.72       56.88        None
pomdps-sat_mem_3_refuel-06_3.yml             TIMEOUT                       1800.90     1801.16        None
pomdps-sat_mem_4_4x3-95_4.yml                TIMEOUT                       1800.73     1800.96        None
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml      true                             0.72        0.87        None
jair-unsat_box-pushing-1fsc.yml              false                            2.81        2.96        None
jair-unsat_box-pushing-2fsc.yml              false                          992.23      992.42        None
jair-unsat_dpm.yml                           false                            0.85        1.02        None
jair-unsat_grid-10-sl-4fsc.yml               false                            5.03        5.21        None
jair-unsat_grid-meet-sl-2fsc.yml             true                             4.64        4.82        None
jair-unsat_grid.yml                          false                            1.98        2.16        None
jair-unsat_grid3x3-1fsc.yml                  false                            0.94        1.12        None
jair-unsat_grid3x3-2fsc.yml                  false                          740.25      740.45        None
jair-unsat_herman.yml                        false                          110.76      110.92        None
jair-unsat_maze-sl-5.yml                     TIMEOUT                       1800.64     1800.96        None
jair-unsat_maze.yml                          false                            1.02        1.17        None
jair-unsat_pole-res.yml                      false                            0.73        0.90        None
jair-unsat_pole.yml                          false                            2.35        2.50        None
jair-unsat_recycling-2fsc.yml                false                            0.56        0.71        None
jair-unsat_recycling-3fsc.yml                false                            3.11        3.28        None
jair-unsat_refuel-06-res.yml                 false                            0.59        0.80        None
pomdps-unsat_mem_1_4x3-95_1.yml              false                            1.17        1.33        None
pomdps-unsat_mem_1_4x5x2-95_1.yml            false                            0.44        0.60        None
pomdps-unsat_mem_1_drone-4-1_1.yml           TIMEOUT                       1800.82     1801.10        None
pomdps-unsat_mem_1_drone-4-2_1.yml           TIMEOUT                       1800.77     1801.13        None
pomdps-unsat_mem_1_drone-8-2_1.yml           TIMEOUT                       1800.83     1801.10        None
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.40        0.65        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.65     1800.91        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            0.86        1.02        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                            6.94        7.09        None
pomdps-unsat_mem_1_network_1.yml             false                            0.38        0.54        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.40        0.54        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.38        0.52        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.00        1.13        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            2.92        3.06        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.72     1801.04        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.68     1801.00        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           12.98       13.15        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            4.77        4.94        None
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml    false                            0.41        0.58        None
pomdps-unsat_mem_2_maze-alex_2.yml           false                            6.55        6.72        None
pomdps-unsat_mem_2_milos-aaai97_2.yml        false                            8.24        8.38        None
pomdps-unsat_mem_2_network_2.yml             false                            1.00        1.17        None
pomdps-unsat_mem_2_nrp-8_2.yml               false                          295.07      295.28        None
pomdps-unsat_mem_2_query-s2_2.yml            false                            1.08        1.25        None
pomdps-unsat_mem_2_query-s3_2.yml            false                          200.87      201.02        None
pomdps-unsat_mem_2_refuel-06_2.yml           TIMEOUT                       1800.97     1801.23        None
pomdps-unsat_mem_3_4x3-95_3.yml              false                          598.56      598.76        None
pomdps-unsat_mem_3_4x5x2-95_3.yml            false                          233.95      234.11        None
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml    false                            0.89        1.07        None
pomdps-unsat_mem_3_maze-alex_3.yml           TIMEOUT                       1800.67     1800.94        None
pomdps-unsat_mem_3_network_3.yml             false                          256.33      256.48        None
pomdps-unsat_mem_3_query-s2_3.yml            false                          139.61      139.79        None
pomdps-unsat_mem_3_query-s3_3.yml            false                          164.95      165.10        None
pomdps-unsat_mem_3_refuel-06_3.yml           TIMEOUT                       1800.77     1801.12        None
pomdps-unsat_mem_4_4x3-95_4.yml              TIMEOUT                       1800.70     1800.99        None
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml    false                            4.94        5.12        None
----------------------------------------------------------------------------------------------------------
Run set 1                                    done                         39068.99     2284.44           -


Paynt-AR
Run set 2 of 6 with options 'build/paynt/paynt.py --method ar' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             2.57        3.21        None
jair-sat_box-pushing-2fsc.yml                true                            14.08       14.70        None
jair-sat_dpm.yml                             true                             1.23        1.86        None
jair-sat_grid-10-sl-4fsc.yml                 TIMEOUT                       1800.65     1801.31        None
jair-sat_grid-meet-sl-2fsc.yml               true                           856.55      857.24        None
jair-sat_grid.yml                            true                             1.22        1.82        None
jair-sat_grid3x3-1fsc.yml                    true                             1.09        1.69        None
jair-sat_grid3x3-2fsc.yml                    true                             7.04        7.63        None
jair-sat_herman.yml                          true                            33.28       33.86        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.64     1801.26        None
jair-sat_maze.yml                            TIMEOUT                       1800.62     1801.21        None
jair-sat_pole-res.yml                        true                             0.67        1.22        None
jair-sat_pole.yml                            true                             0.76        1.31        None
jair-sat_recycling-2fsc.yml                  true                             0.42        0.96        None
jair-sat_recycling-3fsc.yml                  true                             0.45        0.97        None
jair-sat_refuel-06-res.yml                   true                             0.47        0.99        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.35        0.86        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.36        0.87        None
pomdps-sat_mem_1_drone-4-1_1.yml             true                             2.94        3.44        None
pomdps-sat_mem_1_drone-4-2_1.yml             true                             0.49        0.98        None
pomdps-sat_mem_1_drone-8-2_1.yml             true                            11.35       11.81        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.36        0.82        None
pomdps-sat_mem_1_hallway_1.yml               true                            77.17       77.65        None
pomdps-sat_mem_1_maze-alex_1.yml             TIMEOUT                       1800.65     1801.16        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             0.58        0.73        None
pomdps-sat_mem_1_network_1.yml               true                             0.41        0.56        None
pomdps-sat_mem_1_nrp-8_1.yml                 true                             0.38        0.54        None
pomdps-sat_mem_1_query-s2_1.yml              true                             0.33        0.47        None
pomdps-sat_mem_1_query-s3_1.yml              true                             0.47        0.62        None
pomdps-sat_mem_1_refuel-06_1.yml             true                             0.45        0.60        None
pomdps-sat_mem_1_refuel-20_1.yml             TIMEOUT                       1800.65     1800.98        None
pomdps-sat_mem_1_rocks-12_1.yml              true                             1.04        1.18        None
pomdps-sat_mem_2_4x3-95_2.yml                true                             0.31        0.42        None
pomdps-sat_mem_2_4x5x2-95_2.yml              true                             0.32        0.44        None
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml      true                             0.41        0.56        None
pomdps-sat_mem_2_maze-alex_2.yml             TIMEOUT                       1800.66     1800.89        None
pomdps-sat_mem_2_milos-aaai97_2.yml          TIMEOUT                       1800.62     1801.02        None
pomdps-sat_mem_2_network_2.yml               true                             0.37        0.51        None
pomdps-sat_mem_2_nrp-8_2.yml                 true                             0.35        0.52        None
pomdps-sat_mem_2_query-s2_2.yml              true                             0.40        0.54        None
pomdps-sat_mem_2_query-s3_2.yml              true                             5.30        5.44        None
pomdps-sat_mem_2_refuel-06_2.yml             true                             0.70        0.83        None
pomdps-sat_mem_3_4x3-95_3.yml                true                             1.49        1.61        None
pomdps-sat_mem_3_4x5x2-95_3.yml              true                             0.67        0.78        None
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml      true                             0.38        0.53        None
pomdps-sat_mem_3_maze-alex_3.yml             TIMEOUT                       1800.63     1800.80        None
pomdps-sat_mem_3_network_3.yml               true                            16.38       16.52        None
pomdps-sat_mem_3_query-s2_3.yml              true                             0.53        0.66        None
pomdps-sat_mem_3_query-s3_3.yml              true                            80.25       80.38        None
pomdps-sat_mem_3_refuel-06_3.yml             true                             6.96        7.08        None
pomdps-sat_mem_4_4x3-95_4.yml                true                           129.41      129.56        None
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml      true                             0.80        0.93        None
jair-unsat_box-pushing-1fsc.yml              false                            2.81        2.93        None
