tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	2.896096	3.510009253397584		true	2.570699	3.2140036802738905	
jair-sat_box-pushing-2fsc.yml	sat	true	true	908.493165	909.2322634439915		true	14.078949	14.695441405288875	
jair-sat_dpm.yml	sat	true	true	2.232343	2.8050888795405626		true	1.230164	1.856256352737546	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	1.636259	2.253262761980295		TIMEOUT	30000	30000	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.858787	14.489822230301797		true	856.552359	857.2369633922353	
jair-sat_grid.yml	sat	true	true	0.558757	1.1745911380276084		true	1.215538	1.821525176987052	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.067592	3.659521432593465		true	1.093228	1.69023475702852	
jair-sat_grid3x3-2fsc.yml	sat	true	true	24.506348	25.192446677945554		true	7.038287	7.631521948613226	
jair-sat_herman.yml	sat	true	true	34.671115	35.312005897052586		true	33.275802	33.85550858359784	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.54674	1.1625813953578472		TIMEOUT	30000	30000	
jair-sat_pole-res.yml	sat	true	true	0.566808	1.1628286195918918		true	0.672719	1.2211122047156096	
jair-sat_pole.yml	sat	true	true	1.379682	2.05373209528625		true	0.758975	1.3069095937535167	
jair-sat_recycling-2fsc.yml	sat	true	true	0.459342	1.0529625164344907		true	0.416446	0.960201351903379	
jair-sat_recycling-3fsc.yml	sat	true	true	0.545301	1.1354092489928007		true	0.447246	0.9715971807017922	
jair-sat_refuel-06-res.yml	sat	true	true	1.232359	1.86254957690835		true	0.466593	0.9901880733668804	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.516227	1.173283793963492		true	0.348972	0.8635668754577637	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.392381	0.9870231132954359		true	0.363858	0.8731993800029159	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		true	2.942734	3.440784342586994	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		true	0.485897	0.9847321389243007	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		true	11.351514	11.813891870900989	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.418758	1.056783557869494		true	0.361317	0.8246119190007448	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	6.107265	6.751491978764534		true	77.167632	77.64574439264834	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.524599	1.138129754923284		TIMEOUT	30000	30000	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	5.91182	6.115317327901721		true	0.579371	0.7320787208154798	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.362176	0.5860224897041917		true	0.411764	0.5627910206094384	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.419334	0.6784536270424724		true	0.383386	0.5386629998683929	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.364997	0.6152642564848065		true	0.326516	0.4669358702376485	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.495695	0.7298731096088886		true	0.466854	0.6161559280008078	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	3.946526	4.168359800241888		true	0.448766	0.5979808401316404	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	13.257697	13.552148480899632		TIMEOUT	30000	30000	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		true	1.041574	1.180699449032545	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	9.681313	9.889019095338881		true	0.314196	0.42164698522537947	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.712763	0.880421300418675		true	0.315153	0.438946595415473	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.419432	0.5924087660387158		true	0.413356	0.5594241134822369	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.236051	1.4382686223834753		TIMEOUT	30000	30000	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.819201	1.0013482589274645		TIMEOUT	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.793498	0.9632076825946569		true	0.366145	0.5149645218625665	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.424898	0.5892421370372176		true	0.347325	0.5161934578791261	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.474109	0.6991011286154389		true	0.397952	0.5419690925627947	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	4.529622	4.692354008555412		true	5.303227	5.443409435451031	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		true	0.70488	0.8295269627124071	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	188.357378	188.52036790177226		true	1.488513	1.6085053365677595	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	11.649402	11.81680694874376		true	0.670815	0.7755141323432326	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.404833	0.5579584129154682		true	0.376371	0.526806871406734	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	210.630311	210.79496302828193		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	5.282169	5.46793217305094		true	16.376019	16.523398608900607	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.861136	1.0082193184643984		true	0.534347	0.655497302301228	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	57.198662	57.344960135407746		true	80.248326	80.38481285516173	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		true	6.96368	7.08398618362844	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		true	129.409871	129.56435547489673	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	0.711891	0.8702042261138558		true	0.795326	0.9256293764337897	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	2.740812	2.891953432932496		false	2.813031	2.9326589731499553	
jair-unsat_box-pushing-2fsc.yml	unsat	false	TIMEOUT	30000	30000		false	41.340592	41.45973437000066	
