tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	2.896096	3.510009253397584		unknown	10.035115	11.037468664348125	
jair-sat_box-pushing-2fsc.yml	sat	true	true	908.493165	909.2322634439915		unknown	20.931846	21.900786017999053	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.067592	3.659521432593465		unknown	4.069301	5.05875997710973	
jair-sat_grid3x3-2fsc.yml	sat	true	true	24.506348	25.192446677945554		unknown	15.496884	16.521853926591575	
jair-sat_pole-res.yml	sat	true	true	0.566808	1.1628286195918918		unknown	3.140595	4.100400418974459	
jair-sat_pole.yml	sat	true	true	1.379682	2.05373209528625		unknown	3.580004	4.56411116104573	
jair-sat_recycling-2fsc.yml	sat	true	true	0.459342	1.0529625164344907		unknown	2.929502	3.879382610321045	
jair-sat_recycling-3fsc.yml	sat	true	true	0.545301	1.1354092489928007		unknown	2.851082	3.772533729672432	
jair-sat_refuel-06-res.yml	sat	true	true	1.232359	1.86254957690835		TIMEOUT	1800.612273	1802.2636841908097	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.516227	1.173283793963492		unknown	2.63871	3.411893936805427	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.392381	0.9870231132954359		unknown	2.618856	3.3971764761954546	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	6.107265	6.751491978764534		unknown	5.061901	6.011020700447261	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	5.91182	6.115317327901721		unknown	2.116396	2.6949661131948233	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.362176	0.5860224897041917		unknown	1.693327	2.1031468883156776	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.364997	0.6152642564848065		unknown	1.878524	2.4388731718063354	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.495695	0.7298731096088886		unknown	2.118951	2.6546873208135366	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	3.946526	4.168359800241888		TIMEOUT	1800.691154	1801.6673086145893	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	9.681313	9.889019095338881		unknown	1.956739	2.53951577283442	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.712763	0.880421300418675		unknown	2.235985	2.8687077024951577	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.819201	1.0013482589274645		unknown	1.73541	2.134167890995741	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.793498	0.9632076825946569		unknown	1.390689	1.7769173067063093	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.474109	0.6991011286154389		unknown	1.556246	2.0431395499035716	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	4.529622	4.692354008555412		unknown	1.785256	2.2582144560292363	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	188.357378	188.52036790177226		unknown	1.242427	1.6118908654898405	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	11.649402	11.81680694874376		unknown	1.691562	2.1853130841627717	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	210.630311	210.79496302828193		TIMEOUT	1800.722068	1801.7024797862396	
pomdps-sat_mem_3_network_3.yml	sat	true	true	5.282169	5.46793217305094		unknown	1.632866	2.2118676379323006	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.861136	1.0082193184643984		unknown	1.45528	1.9931210400536656	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	57.198662	57.344960135407746		unknown	1.781385	2.1710674529895186	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	1800.774237	1801.2087114043534		unknown	1.285883	1.6727593373507261	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	2.740812	2.891953432932496		unknown	7.10889	7.622750844806433	
jair-unsat_box-pushing-2fsc.yml	unsat	false	TIMEOUT	1800.749616	1800.9693205859512		unknown	19.873111	20.42795627936721	
jair-unsat_dpm.yml	unsat	false	false	0.867641	1.0320284282788634		TIMEOUT	1800.714935	1801.4599507534876	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	true	4.619976	4.764806615188718		unknown	27.208738	27.644465126097202	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	0.994698	1.1278878673911095		unknown	2.645765	3.0657618986442685	
jair-unsat_grid3x3-2fsc.yml	unsat	false	TIMEOUT	1800.731704	1801.0472487816587		unknown	12.87443	13.337461068294942	
jair-unsat_herman.yml	unsat	false	false	111.693835	111.86419952195138		TIMEOUT	1800.774965	1801.4847554527223	
jair-unsat_maze.yml	unsat	false	false	1.071787	1.233393725939095		TIMEOUT	1800.703026	1801.3760316353291	
jair-unsat_pole-res.yml	unsat	false	false	0.658231	0.8602713998407125		unknown	1.771596	2.183861899189651	
jair-unsat_pole.yml	unsat	false	false	2.80323	2.954265377484262		unknown	2.084721	2.765311459079385	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.582945	0.7336750356480479		unknown	1.448902	1.9546688310801983	
jair-unsat_recycling-3fsc.yml	unsat	false	false	2.798151	2.9779643388465047		unknown	1.514376	1.9959263084456325	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.602904	0.8138801846653223		TIMEOUT	1800.68641	1801.7059294497594	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.197508	1.3548766961321235		unknown	1.459677	1.8113784119486809	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.401139	0.5879331044852734		unknown	1.558248	1.938214155845344	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	1800.699035	1801.0773958396167		unknown	3.404091	3.8981395047158003	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	6.573988	6.736539177596569		unknown	1.586705	1.998446887359023	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.417253	0.5738331433385611		unknown	1.531188	1.8785482998937368	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.424652	0.5763800404965878		unknown	1.417764	1.802782129496336	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.095024	1.2619861541315913		unknown	1.970338	2.403880475088954	
pomdps-unsat_mem_1_refuel-06_1.yml	unsat	false	false	3.058712	3.2298332704231143		TIMEOUT	1800.654766	1801.6793010998517	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	14.238829	14.414081623777747		unknown	1.870903	2.479545625858009	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	4.54377	4.713059748522937		unknown	2.071611	2.746055212803185	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	6.711522	6.909520826302469		TIMEOUT	1800.615593	1801.6204347582534	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	7.484055	7.655731045641005		unknown	1.914401	2.443935069255531	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	0.923875	1.0654893787577748		unknown	1.890843	2.373109429143369	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	299.314968	299.491877974011		TIMEOUT	1800.598184	1801.4176824837923	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.005619	1.149408177472651		unknown	2.01644	2.5798884658142924	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	201.5229	201.67346303723752		unknown	1.930304	2.375597296282649	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	1238.674878	1239.2235222989693		unknown	1.860329	2.3665077975019813	
