tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	2.896096	3.510009253397584		unknown	2.343974	2.8185610054060817	
jair-sat_box-pushing-2fsc.yml	sat	true	true	908.493165	909.2322634439915		unknown	6.939663	7.421572298742831	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	1.636259	2.253262761980295		TIMEOUT	1800.649095	1801.2152553359047	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.858787	14.489822230301797		TIMEOUT	1800.918648	1801.6864912854508	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.067592	3.659521432593465		unknown	0.626564	1.114422963000834	
jair-sat_grid3x3-2fsc.yml	sat	true	true	24.506348	25.192446677945554		unknown	2.175689	2.6402332223951817	
jair-sat_herman.yml	sat	true	true	34.671115	35.312005897052586		TIMEOUT	1801.315112	1802.0048406701535	
jair-sat_maze.yml	sat	true	true	0.54674	1.1625813953578472		TIMEOUT	1800.662567	1801.1588186686859	
jair-sat_pole-res.yml	sat	true	true	0.566808	1.1628286195918918		unknown	0.380683	0.8528470899909735	
jair-sat_pole.yml	sat	true	true	1.379682	2.05373209528625		unknown	0.443932	0.9150967709720135	
jair-sat_recycling-2fsc.yml	sat	true	true	0.459342	1.0529625164344907		unknown	0.36615	0.8232289291918278	
jair-sat_recycling-3fsc.yml	sat	true	true	0.545301	1.1354092489928007		unknown	0.365153	0.8226468302309513	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.516227	1.173283793963492		unknown	0.348641	0.8135860851034522	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.392381	0.9870231132954359		unknown	0.328543	0.7872346770018339	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	6.107265	6.751491978764534		unknown	0.70216	1.190792040899396	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.524599	1.138129754923284		TIMEOUT	1800.666975	1801.1630320940167	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	5.91182	6.115317327901721		unknown	0.364458	0.5452391179278493	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.362176	0.5860224897041917		unknown	0.359946	0.5392260821536183	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.364997	0.6152642564848065		unknown	0.306653	0.47577270958572626	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.495695	0.7298731096088886		unknown	0.322181	0.5093793887645006	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	13.257697	13.552148480899632		TIMEOUT	1800.709522	1800.9684434933588	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	9.681313	9.889019095338881		unknown	0.322037	0.45177077502012253	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.712763	0.880421300418675		unknown	0.297395	0.4112039254978299	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.236051	1.4382686223834753		TIMEOUT	1800.692116	1800.8883910765871	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.819201	1.0013482589274645		unknown	0.335487	0.47556632850319147	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.793498	0.9632076825946569		unknown	0.344057	0.4724745871499181	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.424898	0.5892421370372176		TIMEOUT	1800.674377	1800.9183036377653	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.474109	0.6991011286154389		unknown	0.321458	0.43415612913668156	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	4.529622	4.692354008555412		unknown	0.337339	0.4537590863183141	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	188.357378	188.52036790177226		unknown	0.323156	0.43279558327049017	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	11.649402	11.81680694874376		unknown	0.320175	0.4605437060818076	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	210.630311	210.79496302828193		TIMEOUT	1800.6615	1800.9362186901271	
pomdps-sat_mem_3_network_3.yml	sat	true	true	5.282169	5.46793217305094		unknown	0.318178	0.42319267336279154	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.861136	1.0082193184643984		unknown	0.305337	0.41610188502818346	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	57.198662	57.344960135407746		unknown	0.369678	0.4921499388292432	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	1800.774237	1801.2087114043534		unknown	0.293755	0.39932758640497923	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	2.740812	2.891953432932496		unknown	2.233743	2.361539497040212	
jair-unsat_box-pushing-2fsc.yml	unsat	false	TIMEOUT	1800.749616	1800.9693205859512		unknown	7.216972	7.364092637784779	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	5.32707	5.478578823618591		TIMEOUT	1800.65439	1800.8067244021222	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	true	4.619976	4.764806615188718		unknown	3.061175	3.1922388738021255	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	0.994698	1.1278878673911095		unknown	0.585004	0.7093014605343342	
jair-unsat_grid3x3-2fsc.yml	unsat	false	TIMEOUT	1800.731704	1801.0472487816587		unknown	2.072817	2.1797023685649037	
jair-unsat_maze.yml	unsat	false	false	1.071787	1.233393725939095		TIMEOUT	1800.668131	1800.8529905313626	
jair-unsat_pole-res.yml	unsat	false	false	0.658231	0.8602713998407125		unknown	0.378923	0.5260029193013906	
jair-unsat_pole.yml	unsat	false	false	2.80323	2.954265377484262		unknown	0.421946	0.527257926762104	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.582945	0.7336750356480479		unknown	0.306416	0.40995121840387583	
jair-unsat_recycling-3fsc.yml	unsat	false	false	2.798151	2.9779643388465047		unknown	0.351823	0.4567301981151104	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.197508	1.3548766961321235		unknown	0.271377	0.37958450242877007	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.401139	0.5879331044852734		unknown	0.309382	0.45011298172175884	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	1800.806089	1801.1319849258289		false	1.579428	1.6904004076495767	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	1800.776444	1801.1116013787687		false	0.487271	0.6104943519458175	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	1800.699035	1801.0773958396167		unknown	0.720423	0.8748832270503044	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	0.987037	1.1365707125514746		TIMEOUT	1800.636849	1800.7823613742366	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	6.573988	6.736539177596569		unknown	0.299555	0.42434794921427965	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.417253	0.5738331433385611		unknown	0.290591	0.42967414762824774	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.424652	0.5763800404965878		unknown	0.414342	0.5156660322099924	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.095024	1.2619861541315913		unknown	0.309254	0.43917461298406124	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	1800.712254	1801.2021607030183		false	331.393645	331.53689032420516	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	14.238829	14.414081623777747		unknown	0.303071	0.41915930993855	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	4.54377	4.713059748522937		unknown	0.316038	0.4271644726395607	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	6.711522	6.909520826302469		TIMEOUT	1800.642835	1800.8117088265717	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	7.484055	7.655731045641005		unknown	0.352797	0.4610651768743992	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	0.923875	1.0654893787577748		unknown	0.322902	0.43506789207458496	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	299.314968	299.491877974011		TIMEOUT	1800.600018	1800.8429100858048	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.005619	1.149408177472651		unknown	0.901668	1.2061014948412776	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	201.5229	201.67346303723752		unknown	1.457005	1.9700641445815563	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	1238.674878	1239.2235222989693		unknown	1.504668	1.8453395431861281	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	322.860138	323.06195222679526		unknown	1.062035	1.4165663290768862	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	521.724052	522.0231897309422		unknown	1.107687	1.4551978139206767	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	180.077834	180.32187403552234		unknown	1.027173	1.3794602556154132	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	338.949254	339.50867096241564		unknown	0.921291	1.3090258091688156	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	1800.660311	1801.6418384024873		unknown	0.863109	1.1830076556652784	
