   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA), SMPMC
date:                    Mon, 2025-07-21 16:26:29 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 6 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.37        4.23        None
jair-sat_box-pushing-2fsc.yml                true                           477.11      477.95        None
jair-sat_dpm.yml                             true                             2.48        3.33        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.75        1.57        None
jair-sat_grid-meet-sl-2fsc.yml               true                            14.37       15.17        None
jair-sat_grid.yml                            true                             0.66        1.48        None
jair-sat_grid3x3-1fsc.yml                    true                             3.67        4.45        None
jair-sat_grid3x3-2fsc.yml                    true                            29.92       30.70        None
jair-sat_herman.yml                          true                            38.77       39.53        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.61     1801.48        None
jair-sat_maze.yml                            true                             0.63        1.44        None
jair-sat_pole-res.yml                        true                             0.68        1.51        None
jair-sat_pole.yml                            true                             1.80        2.61        None
jair-sat_recycling-2fsc.yml                  true                             0.57        1.37        None
jair-sat_recycling-3fsc.yml                  true                             0.61        1.37        None
jair-sat_refuel-06-res.yml                   true                             1.44        2.11        None
jair-sat_tiny_rewards.yml                    true                             0.51        1.17        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.61        1.27        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.50        1.22        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.72     1801.49        None
pomdps-sat_mem_1_drone-4-2_1.yml             TIMEOUT                       1800.75     1801.42        None
pomdps-sat_mem_1_drone-8-2_1.yml             TIMEOUT                       1800.72     1801.36        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.48        1.15        None
pomdps-sat_mem_1_hallway_1.yml               true                             7.16        7.81        None
pomdps-sat_mem_1_maze-alex_1.yml             true                             0.53        1.20        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             6.66        7.28        None
pomdps-sat_mem_1_network_1.yml               true                             0.44        0.76        None
pomdps-sat_mem_1_nrp-8_1.yml                 true                             0.60        0.95        None
