   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA), SMPMC
date:                    Tue, 2025-07-22 14:20:36 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 6 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.45        4.30        None
jair-sat_box-pushing-2fsc.yml                true                           479.22      480.06        None
jair-sat_dpm.yml                             true                             2.44        3.28        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.60        1.46        None
jair-sat_grid-meet-sl-2fsc.yml               true                            15.10       15.97        None
jair-sat_grid.yml                            true                             0.61        1.43        None
jair-sat_grid3x3-1fsc.yml                    true                             3.59        4.39        None
jair-sat_grid3x3-2fsc.yml                    true                            27.90       28.75        None
jair-sat_herman.yml                          true                            38.18       38.97        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.56        None
jair-sat_maze.yml                            true                             0.59        1.36        None
jair-sat_pole-res.yml                        true                             0.68        1.45        None
jair-sat_pole.yml                            true                             1.79        2.61        None
jair-sat_recycling-2fsc.yml                  true                             0.51        1.31        None
jair-sat_recycling-3fsc.yml                  true                             0.56        1.30        None
jair-sat_refuel-06-res.yml                   true                             1.41        2.07        None
jair-sat_tiny_rewards.yml                    true                             0.41        1.06        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.58        1.23        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.43        1.13        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.72     1801.67        None
pomdps-sat_mem_1_drone-4-2_1.yml             TIMEOUT                       1800.70     1801.53        None
pomdps-sat_mem_1_drone-8-2_1.yml             SEGMENTATION FAULT               2.04        3.11        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.41        0.95        None
pomdps-sat_mem_1_hallway_1.yml               true                             9.04        9.64        None
pomdps-sat_mem_1_maze-alex_1.yml             true                             0.53        1.07        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             7.02        7.54        None
pomdps-sat_mem_1_network_1.yml               true                             0.48        0.73        None
pomdps-sat_mem_1_nrp-8_1.yml                 true                             0.42        0.68        None
pomdps-sat_mem_1_query-s2_1.yml              true                             0.43        0.71        None
pomdps-sat_mem_1_query-s3_1.yml              true                             0.52        0.82        None
pomdps-sat_mem_1_refuel-06_1.yml             true                             4.53        4.81        None
pomdps-sat_mem_1_refuel-20_1.yml             true                            16.06       16.35        None
pomdps-sat_mem_1_rocks-12_1.yml              TIMEOUT                       1800.91     1801.52        None
pomdps-sat_mem_2_4x3-95_2.yml                true                            11.24       11.62        None
pomdps-sat_mem_2_4x5x2-95_2.yml              true                             0.85        1.13        None
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml      true                             0.45        0.77        None
pomdps-sat_mem_2_maze-alex_2.yml             true                             1.08        1.29        None
pomdps-sat_mem_2_milos-aaai97_2.yml          true                             0.98        1.25        None
pomdps-sat_mem_2_network_2.yml               true                             0.89        1.14        None
pomdps-sat_mem_2_nrp-8_2.yml                 true                             0.50        0.70        None
pomdps-sat_mem_2_query-s2_2.yml              true                             0.51        0.73        None
pomdps-sat_mem_2_query-s3_2.yml              true                             5.10        5.32        None
pomdps-sat_mem_2_refuel-06_2.yml             TIMEOUT                       1800.99     1801.30        None
pomdps-sat_mem_3_4x3-95_3.yml                true                           206.55      206.74        None
pomdps-sat_mem_3_4x5x2-95_3.yml              true                            12.81       13.00        None
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml      true                             0.41        0.63        None
pomdps-sat_mem_3_maze-alex_3.yml             true                           270.00      270.29        None
pomdps-sat_mem_3_network_3.yml               true                             8.16        8.37        None
pomdps-sat_mem_3_query-s2_3.yml              true                             0.95        1.17        None
pomdps-sat_mem_3_query-s3_3.yml              true                            75.57       75.78        None
pomdps-sat_mem_3_refuel-06_3.yml             TIMEOUT                       1800.84     1801.25        None
pomdps-sat_mem_4_4x3-95_4.yml                TIMEOUT                       1800.67     1800.91        None
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml      true                             0.75        0.96        None
jair-unsat_box-pushing-1fsc.yml              false                            3.08        3.27        None
jair-unsat_box-pushing-2fsc.yml              false                         1113.32     1113.53        None
jair-unsat_dpm.yml                           false                            1.43        1.64        None
jair-unsat_grid-10-sl-4fsc.yml               false                            4.12        4.30        None
jair-unsat_grid-meet-sl-2fsc.yml             false                           33.80       34.02        None
jair-unsat_grid.yml                          false                            2.95        3.15        None
jair-unsat_grid3x3-1fsc.yml                  false                            1.04        1.22        None
jair-unsat_grid3x3-2fsc.yml                  false                          829.97      830.20        None
jair-unsat_herman.yml                        false                          124.68      124.86        None
jair-unsat_maze-sl-5.yml                     TIMEOUT                       1800.62     1801.02        None
jair-unsat_maze.yml                          false                            1.07        1.26        None
jair-unsat_pole-res.yml                      false                            1.06        1.23        None
jair-unsat_pole.yml                          false                            3.28        3.52        None
jair-unsat_recycling-2fsc.yml                false                            0.85        1.05        None
jair-unsat_recycling-3fsc.yml                false                            3.18        3.36        None
jair-unsat_refuel-06-res.yml                 false                            0.92        1.12        None
jair-unsat_tiny_rewards.yml                  false                            0.54        0.77        None
pomdps-unsat_mem_1_4x3-95_1.yml              false                            1.32        1.51        None
pomdps-unsat_mem_1_4x5x2-95_1.yml            false                            0.57        0.77        None
pomdps-unsat_mem_1_drone-4-1_1.yml           TIMEOUT                       1800.69     1801.06        None
pomdps-unsat_mem_1_drone-4-2_1.yml           TIMEOUT                       1800.69     1800.98        None
pomdps-unsat_mem_1_drone-8-2_1.yml           SEGMENTATION FAULT               2.89        3.59        None
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.41        0.61        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.62     1800.87        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            0.99        1.21        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                            7.76        8.00        None
pomdps-unsat_mem_1_network_1.yml             false                            0.39        0.56        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.56        0.76        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.54        0.73        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.14        1.33        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            3.60        3.81        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.74     1800.97        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.66     1800.93        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           19.83       20.04        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            4.84        5.00        None
