tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.610961	1.3501210529357195		TIMEOUT	1800.601334	1801.3368563922122	
jair-sat_maze.yml	sat	true	true	0.482496	1.1913780895993114		TIMEOUT	1800.599006	1801.3070636242628	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	1800.691562	1801.608280329965		true	3.65098	4.194560645148158	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	1800.721905	1801.4086875049397		true	0.577097	1.108387972228229	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	SEGMENTATION FAULT	1.960186	3.05276196077466		true	13.126587	13.655001562088728	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.535364	1.132679296657443		TIMEOUT	1800.605714	1801.1476401910186	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	15.54184	15.808401797898114		TIMEOUT	1800.634776	1800.8833250459284	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	1800.860873	1801.4700227985159		true	1.152871	1.3444063132628798	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.151846	1.3948017014190555		TIMEOUT	1800.61087	1800.7854586951435	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.865248	1.0526980115100741		TIMEOUT	1800.603074	1800.881930344738	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	1800.99696	1801.3474652627483		true	0.720342	0.9317043386399746	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	193.422183	193.6221209457144		TIMEOUT	1800.615201	1800.7937704389915	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	1800.843301	1801.1913761012256		true	7.703936	7.8326551634818316	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	1800.671017	1800.922743964009		true	147.572049	147.7357616936788	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	4.449124	4.612510299310088		TIMEOUT	1800.616022	1800.7985053965822	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	840.910781	841.1296789981425		OUT OF MEMORY	1285.588183	1285.769076200202	
jair-unsat_maze.yml	unsat	false	false	1.589115	1.7851186003535986		TIMEOUT	1800.614428	1800.762282432057	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	1800.743839	1801.0923326285556		false	1.473809	1.6095980992540717	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	1800.682165	1800.9674253482372		false	0.665182	0.8019324662163854	
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	SEGMENTATION FAULT	2.293421	2.9914686772972345		TIMEOUT	1800.647415	1800.8420845922083	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	1.094003	1.2905973987653852		TIMEOUT	1800.612662	1800.7950564268976	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	1800.664396	1800.916740803048		false	342.85294	342.99807969201356	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.405516	5.646156116388738		TIMEOUT	1800.614091	1800.7883963109925	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	326.423758	326.6449912218377		TIMEOUT	1800.556094	1801.4473414970562	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	1800.708351	1800.948058298789		false	611.742699	611.951328445226	
