tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.319076	4.07932879589498		unknown	2.879894	3.6004975019022822	
jair-sat_box-pushing-2fsc.yml	sat	true	true	472.224622	473.0610883515328		unknown	8.156942	8.880975514650345	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.610961	1.3501210529357195		TIMEOUT	1800.597245	1801.3896079352126	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	15.745759	16.488825385458767		TIMEOUT	1800.839959	1801.7284967824817	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.546221	4.310432260856032		unknown	0.690968	1.4032913679257035	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.266077	28.04555951524526		unknown	2.556696	3.257986585609615	
jair-sat_maze.yml	sat	true	true	0.482496	1.1913780895993114		TIMEOUT	1800.600052	1801.2862941836938	
jair-sat_pole-res.yml	sat	true	true	0.676054	1.4070815406739712		unknown	0.580628	1.2387306494638324	
jair-sat_pole.yml	sat	true	true	1.571279	2.2885223431512713		unknown	0.629367	1.2613642597571015	
jair-sat_recycling-2fsc.yml	sat	true	true	0.528241	1.2116939220577478		unknown	0.438085	1.0607190458104014	
jair-sat_recycling-3fsc.yml	sat	true	true	0.542161	1.1737713403999805		unknown	0.528164	1.1642603790387511	
jair-sat_tiny_rewards.yml	sat	true	true	0.37714	1.0310498625040054		unknown	0.455742	1.0384481018409133	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.559954	1.151297664269805		unknown	0.408483	1.0024051340296865	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.454582	1.0960291912779212		unknown	0.392586	0.9788671806454659	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	SEGMENTATION FAULT	1.960186	3.05276196077466		TIMEOUT	1800.595211	1801.257471469231	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.213073	7.819575272500515		unknown	1.032573	1.6132301185280085	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.535364	1.132679296657443		TIMEOUT	1800.603627	1801.1884252680466	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.751185	7.42365465965122		unknown	0.408596	0.9618788007646799	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.400434	0.6253994544968009		unknown	0.377683	0.6280250130221248	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.476093	0.6955625619739294		unknown	0.383879	0.6353538269177079	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.591382	0.8886226648464799		unknown	0.45389	0.7242506667971611	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	15.54184	15.808401797898114		TIMEOUT	1800.617905	1800.9627078408375	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	11.66437	11.95559262856841		unknown	0.376443	0.5702642537653446	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.696376	1.0029800916090608		unknown	0.359303	0.5355368675664067	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.151846	1.3948017014190555		TIMEOUT	1800.613578	1800.8106513228267	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.865248	1.0526980115100741		unknown	0.376063	0.5033252453431487	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.861446	1.0730550922453403		unknown	0.378856	0.5478207962587476	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.460642	0.6466853059828281		TIMEOUT	1800.61008	1800.8488305127248	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.427967	0.6270264238119125		unknown	0.340869	0.5131784994155169	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	5.269423	5.474778019823134		unknown	0.388989	0.5717389956116676	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	277.767716	278.00561960041523		unknown	0.42328	0.5709613794460893	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	12.985319	13.166276935487986		unknown	0.371543	0.5170000176876783	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	193.422183	193.6221209457144		TIMEOUT	1800.613951	1800.824359215796	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.166874	6.358600788749754		unknown	0.372653	0.5175130935385823	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.960588	1.1730377729982138		unknown	0.373828	0.5361422915011644	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	70.394051	70.658238443546		unknown	0.430303	0.6057845875620842	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	1800.671017	1800.922743964009		unknown	0.471881	0.6254439856857061	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.237535	3.4269504845142365		unknown	2.599418	2.7460266556590796	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1121.903445	1122.1453964142129		unknown	10.090144	10.253181240521371	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	4.449124	4.612510299310088		TIMEOUT	1800.618897	1800.797959920019	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.057499	1.2238389682024717		unknown	0.624144	0.7718784548342228	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	840.910781	841.1296789981425		unknown	2.35282	2.4656116645783186	
jair-unsat_maze.yml	unsat	false	false	1.589115	1.7851186003535986		TIMEOUT	1800.615703	1800.789408877492	
jair-unsat_pole-res.yml	unsat	false	false	0.828921	1.0228203646838665		unknown	0.565524	0.7021384732797742	
jair-unsat_pole.yml	unsat	false	false	3.505214	3.683516868390143		unknown	0.670203	0.8215008722618222	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.630952	0.815080507658422		unknown	0.370016	0.4907264355570078	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.447488	3.6106433495879173		unknown	0.40342	0.5284065594896674	
jair-unsat_tiny_rewards.yml	unsat	false	false	0.557557	0.7499180631712079		unknown	0.493944	0.626253561116755	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.504743	1.696130607277155		unknown	0.337952	0.481068167835474	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.443949	0.6106951730325818		unknown	0.472	0.6128912400454283	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	1800.743839	1801.0923326285556		false	1.919333	2.056730051524937	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	1800.682165	1800.9674253482372		false	0.706958	0.845419273711741	
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	SEGMENTATION FAULT	2.293421	2.9914686772972345		TIMEOUT	1800.621788	1800.819163764827	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	1800.620362	1800.9330731574446		unknown	1.345454	1.4921991201117635	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	1.094003	1.2905973987653852		TIMEOUT	1800.613234	1800.7978922883049	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	7.33601	7.547738078050315		unknown	0.489328	0.6257960703223944	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.451001	0.6303928568959236		unknown	0.444788	0.5814954284578562	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.486264	0.6628325181081891		unknown	0.474354	0.6196045409888029	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.131552	1.3154785297811031		unknown	0.472246	0.6232483834028244	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	1800.664396	1800.916740803048		false	385.407791	385.56813505478203	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	15.284289	15.451633306220174		unknown	0.463416	0.5931105334311724	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	4.865436	5.026711629703641		unknown	0.4575	0.586327699944377	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.405516	5.646156116388738		TIMEOUT	1800.613874	1800.8000219156966	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	8.388161	8.573372679762542		unknown	0.351813	0.4715618286281824	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	1.285973	1.4708719300106168		unknown	0.353884	0.46715384628623724	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	326.423758	326.6449912218377		TIMEOUT	1800.615753	1800.8330158740282	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.025135	1.2248331224545836		unknown	0.330936	0.476268133148551	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	223.353959	223.55990287847817		unknown	0.498896	0.6481874575838447	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	667.978798	668.1594503112137		unknown	0.482417	0.613442687317729	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	256.815267	257.03221097774804		unknown	0.492024	0.6213486064225435	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	287.399025	287.62775406241417		unknown	0.431285	0.5595548488199711	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	183.501522	183.70704085100442		unknown	0.334691	0.43866471759974957	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	221.870124	222.08163537736982		unknown	0.361495	0.4702825713902712	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	1800.708351	1800.948058298789		unknown	0.335458	0.4621821418404579	
