   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Thu, 2025-07-24 15:01:43 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.21        4.06        None
jair-sat_box-pushing-2fsc.yml                true                           483.26      484.09        None
jair-sat_dpm.yml                             true                             2.37        3.22        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.65        1.48        None
jair-sat_grid-meet-sl-2fsc.yml               true                            14.29       15.22        None
jair-sat_grid.yml                            true                             0.66        1.53        None
jair-sat_grid3x3-1fsc.yml                    true                             3.70        4.57        None
jair-sat_grid3x3-2fsc.yml                    true                            27.27       28.11        None
jair-sat_herman.yml                          true                            38.26       39.13        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.61     1801.56        None
jair-sat_maze.yml                            true                             0.56        1.40        None
jair-sat_pole-res.yml                        true                             0.68        1.47        None
jair-sat_pole.yml                            true                             1.60        2.38        None
jair-sat_recycling-2fsc.yml                  true                             0.56        1.34        None
jair-sat_recycling-3fsc.yml                  true                             0.62        1.38        None
jair-sat_refuel-06-res.yml                   true                             1.54        2.22        None
jair-sat_tiny_rewards.yml                    true                             0.46        1.15        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.59        1.30        None
