tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.205922	4.0586029924452305		TIMEOUT	1800.653439	1801.5030385721475	
jair-sat_box-pushing-2fsc.yml	sat	true	true	483.26004	484.0927270920947		TIMEOUT	1800.831017	1801.8081696275622	
jair-sat_dpm.yml	sat	true	true	2.367502	3.217177419923246		TIMEOUT	1800.688066	1801.6766344150528	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.654624	1.4841293981298804		TIMEOUT	1800.696233	1801.5796775743365	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	14.29133	15.221807622350752		TIMEOUT	1800.898431	1801.8005659440532	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.703901	4.5716684106737375		TIMEOUT	1800.712258	1801.5922818835825	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.274768	28.106144324876368		TIMEOUT	1800.646885	1801.5107890646905	
jair-sat_herman.yml	sat	true	true	38.25811	39.13116621505469		TIMEOUT	1800.82581	1801.755172581412	
jair-sat_maze.yml	sat	true	true	0.560122	1.4042036784812808		TIMEOUT	1800.601995	1801.4072213927284	
jair-sat_pole-res.yml	sat	true	true	0.680667	1.4727149941027164		TIMEOUT	1800.642718	1801.4947411520407	
jair-sat_pole.yml	sat	true	true	1.599607	2.379145549610257		TIMEOUT	1800.644187	1801.4588838908821	
jair-sat_recycling-2fsc.yml	sat	true	true	0.559411	1.3388389656320214		TIMEOUT	1800.604987	1801.4363049510866	
jair-sat_recycling-3fsc.yml	sat	true	true	0.617708	1.3773993300274014		TIMEOUT	1800.632824	1801.4008825020865	
jair-sat_refuel-06-res.yml	sat	true	true	1.539189	2.218693365342915		TIMEOUT	1800.605691	1801.3739920789376	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.593855	1.301441083662212		false	1267.002246	1267.7023119321093	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.527894	8.231728807091713		TIMEOUT	1800.736835	1801.5309820715338	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	7.639619	8.331959983333945		TIMEOUT	1800.622897	1801.3567481786013	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.545866	0.7867531646043062		false	0.64613	0.8497996097430587	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.586764	0.9090028386563063		TIMEOUT	1800.623883	1800.870839683339	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	17.007066	17.32227273005992		TIMEOUT	1800.771042	1801.00885808561	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	11.185109	11.504921777173877		TIMEOUT	1800.614418	1800.875654378906	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.186399	1.4005314875394106		TIMEOUT	1800.609137	1800.8579152300954	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	1.063774	1.310219755396247		TIMEOUT	1800.610822	1800.883709853515	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.512117	0.6887279069051147		TIMEOUT	1800.613601	1801.0554449092597	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	6.45312	6.688456735573709		TIMEOUT	1800.65194	1801.068969687447	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	210.590804	210.8696184186265		TIMEOUT	1800.601151	1801.176061173901	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	227.456255	227.771869645454		TIMEOUT	1800.605947	1801.1846819119528	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.049895	6.269675753079355		TIMEOUT	1800.60233	1801.1838981434703	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	1.112337	1.3403549650684		TIMEOUT	1800.615176	1801.1957126427442	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	66.782864	67.02597518078983		TIMEOUT	1800.722872	1801.2913188487291	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	4.40052	4.575627153739333		TIMEOUT	1800.669679	1801.2517884895205	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1129.612352	1129.858219503425		TIMEOUT	1800.826201	1801.4035962512717	
jair-unsat_dpm.yml	unsat	false	false	1.366435	1.5787765188142657		TIMEOUT	1800.680151	1801.2429029839113	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	4.62073	4.789832619950175		TIMEOUT	1800.688448	1801.178907359019	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	29.796247	30.003344737924635		TIMEOUT	1800.875933	1801.4230965152383	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.21016	1.420338018797338		TIMEOUT	1800.750955	1801.0483624367043	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	828.786847	829.0099115427583		TIMEOUT	1800.657938	1800.9028738765046	
jair-unsat_herman.yml	unsat	false	false	135.666694	135.89093644730747		TIMEOUT	1800.789527	1801.0575006119907	
jair-unsat_maze.yml	unsat	false	false	1.045086	1.2321591917425394		TIMEOUT	1800.618335	1800.8563273455948	
jair-unsat_pole-res.yml	unsat	false	false	1.006082	1.2075295858085155		TIMEOUT	1800.645412	1800.9100503344089	
jair-unsat_pole.yml	unsat	false	false	3.939958	4.146289979107678		TIMEOUT	1800.658249	1800.974023940973	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.686073	0.8869539676234126		TIMEOUT	1800.62552	1800.8404937358573	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.438492	3.656006588600576		TIMEOUT	1800.610779	1800.8866115668789	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.80149	0.9861856997013092		TIMEOUT	1800.610003	1800.8398215128109	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	10.90545	11.108014829456806		TIMEOUT	1800.617788	1801.0360692990944	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.192378	1.3612781185656786		TIMEOUT	1800.622449	1800.9314601039514	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	18.661342	18.858726613223553		TIMEOUT	1800.618228	1800.8142706844956	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.430699	5.6109469616785645		TIMEOUT	1800.617548	1800.837356894277	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	11.859106	12.037340607494116		TIMEOUT	1800.637008	1800.8959594573826	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.854663	2.0461083063855767		TIMEOUT	1800.619292	1800.818317511119	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	258.475364	258.67610368784517		TIMEOUT	1800.652786	1800.86458618287	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	660.994838	661.1770313028246		TIMEOUT	1800.615683	1800.8302791798487	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	281.013011	281.2242257511243		TIMEOUT	1800.628342	1800.8613838264719	
pomdps-unsat_mem_3_maze-alex_3.yml	unsat	false	false	0.629285	0.8496515983715653		TIMEOUT	1800.614352	1800.8208098402247	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	328.966788	329.19004771020263		TIMEOUT	1800.613503	1800.9195559406653	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	206.303342	206.51732774171978		TIMEOUT	1800.619405	1800.855821439065	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	222.628591	222.84363225009292		TIMEOUT	1800.709363	1800.952534516342	
