   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Fri, 2025-07-25 03:10:18 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.28        4.11        None
jair-sat_box-pushing-2fsc.yml                true                           482.19      483.09        None
jair-sat_dpm.yml                             true                             2.41        3.25        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.62        1.45        None
jair-sat_grid-meet-sl-2fsc.yml               true                            15.90       16.78        None
jair-sat_grid.yml                            true                             0.66        1.53        None
jair-sat_grid3x3-1fsc.yml                    true                             3.72        4.56        None
jair-sat_grid3x3-2fsc.yml                    true                            27.69       28.54        None
jair-sat_herman.yml                          true                            38.99       39.81        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.47        None
jair-sat_maze.yml                            true                             0.55        1.38        None
jair-sat_pole-res.yml                        true                             0.65        1.45        None
jair-sat_pole.yml                            true                             1.80        2.62        None
jair-sat_recycling-2fsc.yml                  true                             0.51        1.28        None
jair-sat_recycling-3fsc.yml                  true                             0.61        1.37        None
jair-sat_refuel-06-res.yml                   true                             1.44        2.20        None
jair-sat_tiny_rewards.yml                    true                             0.47        1.20        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.60        1.35        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.42        1.16        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.73     1801.60        None
pomdps-sat_mem_1_drone-4-2_1.yml             TIMEOUT                       1800.61     1801.56        None
pomdps-sat_mem_1_drone-8-2_1.yml             TIMEOUT                       1800.71     1801.38        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.44        1.08        None
pomdps-sat_mem_1_hallway_1.yml               true                             6.87        7.50        None
pomdps-sat_mem_1_maze-alex_1.yml             true                             0.48        1.16        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             6.79        7.41        None
pomdps-sat_mem_1_network_1.yml               true                             0.54        0.81        None
pomdps-sat_mem_1_nrp-8_1.yml                 true                             0.49        0.76        None
pomdps-sat_mem_1_query-s2_1.yml              true                             0.40        0.75        None
pomdps-sat_mem_1_query-s3_1.yml              true                             0.50        0.83        None
pomdps-sat_mem_1_refuel-06_1.yml             true                             4.38        4.72        None
pomdps-sat_mem_1_refuel-20_1.yml             true                            15.56       15.97        None
pomdps-sat_mem_1_rocks-12_1.yml              TIMEOUT                       1800.94     1801.32        None
pomdps-sat_mem_2_4x3-95_2.yml                true                            10.61       10.92        None
pomdps-sat_mem_2_4x5x2-95_2.yml              true                             0.69        1.00        None
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml      true                             0.49        0.75        None
pomdps-sat_mem_2_maze-alex_2.yml             true                             1.19        1.46        None
pomdps-sat_mem_2_milos-aaai97_2.yml          true                             1.30        1.51        None
pomdps-sat_mem_2_network_2.yml               true                             0.91        1.16        None
pomdps-sat_mem_2_nrp-8_2.yml                 true                             0.50        0.72        None
pomdps-sat_mem_2_query-s2_2.yml              true                             0.47        0.66        None
pomdps-sat_mem_2_query-s3_2.yml              true                             5.18        5.38        None
pomdps-sat_mem_2_refuel-06_2.yml             TIMEOUT                       1800.99     1801.26        None
pomdps-sat_mem_3_4x3-95_3.yml                true                           235.85      236.04        None
pomdps-sat_mem_3_4x5x2-95_3.yml              true                            12.57       12.82        None
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml      true                             0.46        0.63        None
pomdps-sat_mem_3_maze-alex_3.yml             true                           190.50      190.72        None
pomdps-sat_mem_3_network_3.yml               true                             6.23        6.42        None
pomdps-sat_mem_3_query-s2_3.yml              true                             0.98        1.19        None
pomdps-sat_mem_3_query-s3_3.yml              true                            64.80       65.03        None
pomdps-sat_mem_3_refuel-06_3.yml             TIMEOUT                       1800.85     1801.18        None
pomdps-sat_mem_4_4x3-95_4.yml                TIMEOUT                       1800.67     1800.92        None
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml      true                             1.09        1.29        None
jair-unsat_box-pushing-1fsc.yml              false                            3.20        3.38        None
jair-unsat_box-pushing-2fsc.yml              false                         1202.69     1202.98        None
jair-unsat_dpm.yml                           false                            1.32        1.51        None
jair-unsat_grid-10-sl-4fsc.yml               false                            4.03        4.25        None
jair-unsat_grid-meet-sl-2fsc.yml             false                           29.52       29.74        None
jair-unsat_grid.yml                          false                            3.13        3.33        None
jair-unsat_grid3x3-1fsc.yml                  false                            0.99        1.20        None
jair-unsat_grid3x3-2fsc.yml                  false                          826.96      827.23        None
jair-unsat_herman.yml                        false                          127.63      127.83        None
jair-unsat_maze-sl-5.yml                     TIMEOUT                       1800.62     1801.00        None
jair-unsat_maze.yml                          false                            1.14        1.33        None
jair-unsat_pole-res.yml                      false                            0.79        1.00        None
jair-unsat_pole.yml                          false                            4.33        4.52        None
jair-unsat_recycling-2fsc.yml                false                            0.81        1.01        None
jair-unsat_recycling-3fsc.yml                false                            3.53        3.75        None
jair-unsat_refuel-06-res.yml                 false                            0.67        0.85        None
jair-unsat_tiny_rewards.yml                  false                            0.47        0.67        None
pomdps-unsat_mem_1_4x3-95_1.yml              false                            1.40        1.59        None
pomdps-unsat_mem_1_4x5x2-95_1.yml            false                            0.47        0.65        None
pomdps-unsat_mem_1_drone-4-1_1.yml           TIMEOUT                       1800.73     1801.00        None
pomdps-unsat_mem_1_drone-4-2_1.yml           TIMEOUT                       1800.68     1800.94        None
pomdps-unsat_mem_1_drone-8-2_1.yml           TIMEOUT                       1800.91     1801.16        None
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml    false                            0.42        0.62        None
pomdps-unsat_mem_1_hallway_1.yml             TIMEOUT                       1800.62     1800.91        None
pomdps-unsat_mem_1_maze-alex_1.yml           false                            1.22        1.48        None
pomdps-unsat_mem_1_milos-aaai97_1.yml        false                            8.88        9.03        None
pomdps-unsat_mem_1_network_1.yml             false                            0.56        0.75        None
pomdps-unsat_mem_1_nrp-8_1.yml               false                            0.49        0.72        None
pomdps-unsat_mem_1_query-s2_1.yml            false                            0.56        0.78        None
pomdps-unsat_mem_1_query-s3_1.yml            false                            1.20        1.40        None
pomdps-unsat_mem_1_refuel-06_1.yml           false                            4.79        5.00        None
pomdps-unsat_mem_1_refuel-20_1.yml           TIMEOUT                       1800.73     1801.02        None
pomdps-unsat_mem_1_rocks-12_1.yml            TIMEOUT                       1800.66     1800.94        None
pomdps-unsat_mem_2_4x3-95_2.yml              false                           19.19       19.37        None
pomdps-unsat_mem_2_4x5x2-95_2.yml            false                            5.11        5.31        None
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml    false                            0.44        0.66        None
pomdps-unsat_mem_2_maze-alex_2.yml           false                            5.90        6.07        None
pomdps-unsat_mem_2_milos-aaai97_2.yml        false                            9.49        9.68        None
pomdps-unsat_mem_2_network_2.yml             false                            1.37        1.57        None
pomdps-unsat_mem_2_nrp-8_2.yml               false                          327.44      327.66        None
pomdps-unsat_mem_2_query-s2_2.yml            false                            1.74        1.94        None
pomdps-unsat_mem_2_query-s3_2.yml            false                          231.83      232.05        None
pomdps-unsat_mem_2_refuel-06_2.yml           TIMEOUT                       1800.98     1801.26        None
pomdps-unsat_mem_3_4x3-95_3.yml              false                          672.19      672.44        None
pomdps-unsat_mem_3_4x5x2-95_3.yml            false                          262.93      263.16        None
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml    false                            0.92        1.16        None
pomdps-unsat_mem_3_maze-alex_3.yml           false                            0.41        0.62        None
pomdps-unsat_mem_3_network_3.yml             false                          331.67      331.89        None
pomdps-unsat_mem_3_query-s2_3.yml            false                          154.15      154.37        None
pomdps-unsat_mem_3_query-s3_3.yml            false                          184.09      184.26        None
pomdps-unsat_mem_3_refuel-06_3.yml           TIMEOUT                       1800.80     1801.11        None
pomdps-unsat_mem_4_4x3-95_4.yml              TIMEOUT                       1800.71     1800.96        None
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml    false                            7.89        8.09        None
----------------------------------------------------------------------------------------------------------
Run set 1                                    done                         38016.99     2134.24           -


PAYNT-AR
Run set 2 of 5 with options 'build/paynt/paynt.py --method ar' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             2.93        3.68        None
jair-sat_box-pushing-2fsc.yml                true                            15.55       16.30        None
jair-sat_dpm.yml                             true                             1.44        2.17        None
jair-sat_grid-10-sl-4fsc.yml                 TIMEOUT                       1800.60     1801.37        None
jair-sat_grid-meet-sl-2fsc.yml               true                           754.25      755.04        None
jair-sat_grid.yml                            true                             1.50        2.26        None
jair-sat_grid3x3-1fsc.yml                    true                             1.19        1.92        None
jair-sat_grid3x3-2fsc.yml                    true                             7.82        8.53        None
jair-sat_herman.yml                          true                            35.55       36.25        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.34        None
jair-sat_maze.yml                            TIMEOUT                       1800.60     1801.32        None
jair-sat_pole-res.yml                        true                             0.83        1.51        None
jair-sat_pole.yml                            true                             0.96        1.62        None
jair-sat_recycling-2fsc.yml                  true                             0.48        1.13        None
jair-sat_recycling-3fsc.yml                  true                             0.50        1.15        None
jair-sat_refuel-06-res.yml                   true                             0.61        1.26        None
jair-sat_tiny_rewards.yml                    true                             0.38        1.02        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.37        0.94        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.43        0.99        None
