tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.283919	4.108806386590004		TIMEOUT	30000	30000	
jair-sat_box-pushing-2fsc.yml	sat	true	true	482.18739	483.0919233597815		TIMEOUT	30000	30000	
jair-sat_dpm.yml	sat	true	true	2.413178	3.2501456858590245		TIMEOUT	30000	30000	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.624165	1.4543312704190612		TIMEOUT	30000	30000	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	15.897622	16.781438758596778		TIMEOUT	30000	30000	
jair-sat_grid.yml	sat	true	true	0.664176	1.5294313849881291		true	1064.893088	1065.7515628784895	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.716058	4.557684336788952		TIMEOUT	30000	30000	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.690968	28.535772318951786		TIMEOUT	30000	30000	
jair-sat_herman.yml	sat	true	true	38.990854	39.80615747626871		TIMEOUT	30000	30000	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.549422	1.377068947069347		TIMEOUT	30000	30000	
jair-sat_pole-res.yml	sat	true	true	0.65472	1.449270524084568		TIMEOUT	30000	30000	
jair-sat_pole.yml	sat	true	true	1.79975	2.6153005845844746		TIMEOUT	30000	30000	
jair-sat_recycling-2fsc.yml	sat	true	true	0.506024	1.2806873079389334		TIMEOUT	30000	30000	
jair-sat_recycling-3fsc.yml	sat	true	true	0.614022	1.3735656784847379		TIMEOUT	30000	30000	
jair-sat_refuel-06-res.yml	sat	true	true	1.444295	2.195245976559818		TIMEOUT	30000	30000	
jair-sat_tiny_rewards.yml	sat	true	true	0.473981	1.1977088218554854		true	0.473083	1.1963194273412228	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.601497	1.3532278714701533		false	30000	30000	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.420667	1.1620763428509235		true	1.357116	2.0878910971805453	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.438538	1.0806298879906535		true	0.479575	1.2171629182994366	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	6.869956	7.501889314502478		TIMEOUT	30000	30000	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.477474	1.1625476414337754		true	27.60718	28.305289403535426	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.789611	7.406944354064763		TIMEOUT	30000	30000	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.536749	0.8126504346728325		false	30000	30000	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.489392	0.7562248986214399		true	0.727608	0.9225925654172897	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.399939	0.7456680843606591		true	241.570473	241.77307176124305	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.499991	0.8312334809452295		TIMEOUT	30000	30000	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	4.379317	4.722272776067257		true	109.104866	109.29209269024432	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	15.564949	15.971245005726814		TIMEOUT	30000	30000	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	10.61484	10.922063459642231		TIMEOUT	30000	30000	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.693793	1.0015528304502368		true	23.262303	23.440984825603664	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.49198	0.7483335826545954		true	1.254952	1.4473550077527761	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.190351	1.4568115593865514		TIMEOUT	30000	30000	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	1.29624	1.5117610590532422		TIMEOUT	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	0.913483	1.1558763971552253		true	306.770715	307.14467827416956	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.500381	0.7176760081201792		true	3.470505	3.8127331463620067	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.468611	0.6555632036179304		TIMEOUT	30000	30000	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	5.177426	5.379350887611508		TIMEOUT	30000	30000	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	235.847601	236.0375387771055		TIMEOUT	30000	30000	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	12.573521	12.822156885638833		true	328.670364	329.25048523396254	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.455102	0.6308830063790083		true	2.539823	3.1025154646486044	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	190.504038	190.71667738817632		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.23066	6.418180036358535		TIMEOUT	30000	30000	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.977497	1.1857518749311566		TIMEOUT	30000	30000	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	64.803496	65.03149821702391		TIMEOUT	30000	30000	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	1.088759	1.2907825512811542		true	124.533833	125.07045052573085	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.19948	3.3798231361433864		TIMEOUT	30000	30000	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1202.694586	1202.9839013833553		TIMEOUT	30000	30000	
jair-unsat_dpm.yml	unsat	false	false	1.322314	1.513619744218886		TIMEOUT	30000	30000	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	4.031608	4.250462572090328		TIMEOUT	30000	30000	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	29.516794	29.738227383233607		TIMEOUT	30000	30000	
jair-unsat_grid.yml	unsat	false	false	3.130101	3.3299073604866862		false	1134.928919	1135.156621510163	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	0.987903	1.1969920191913843		TIMEOUT	30000	30000	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	826.956387	827.2293178252876		TIMEOUT	30000	30000	
jair-unsat_herman.yml	unsat	false	false	127.626305	127.82835329696536		TIMEOUT	30000	30000	
jair-unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-unsat_maze.yml	unsat	false	false	1.136398	1.3267658911645412		TIMEOUT	30000	30000	
jair-unsat_pole-res.yml	unsat	false	false	0.793676	0.9974115379154682		TIMEOUT	30000	30000	
jair-unsat_pole.yml	unsat	false	false	4.331082	4.5219227485358715		TIMEOUT	30000	30000	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.809019	1.0127092758193612		TIMEOUT	30000	30000	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.532059	3.751519411802292		TIMEOUT	30000	30000	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.669428	0.8535750154405832		TIMEOUT	30000	30000	
jair-unsat_tiny_rewards.yml	unsat	false	false	0.47464	0.6686128918081522		false	0.366577	0.5592671912163496	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.404401	1.5857189446687698		false	1599.382282	1599.6101676467806	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.474597	0.6540419347584248		false	37.492164	37.70843359082937	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml	unsat	false	false	0.420292	0.6185794044286013		false	0.591804	0.9593539210036397	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	1.217263	1.4763545133173466		false	808.665042	809.0343477614224	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	8.884595	9.034747161902487		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.556766	0.7460420886054635		false	0.825201	1.1985167125239968	
pomdps-unsat_mem_1_nrp-8_1.yml	unsat	false	false	0.493521	0.7211876017972827		false	0.825154	1.1764690093696117	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.555962	0.7759081674739718		false	1118.092515	1118.4432000825182	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.198864	1.397132644429803		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_refuel-06_1.yml	unsat	false	false	4.78731	5.003785056062043		false	267.2822	267.6115355398506	
pomdps-unsat_mem_1_refuel-20_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_1_rocks-12_1.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	19.18817	19.373828548006713		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	5.109333	5.314884657971561		false	133.222075	133.38711878843606	
pomdps-unsat_mem_2_grid-avoid-4-0.1_2.yml	unsat	false	false	0.437645	0.663136419840157		false	1.486725	1.6650124974548817	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.904992	6.074319254606962		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	9.494317	9.677106113173068		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	1.366457	1.5696036899462342		false	948.139126	948.338261783123	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	327.441178	327.6617289958522		false	111.500109	111.7022429490462	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.737236	1.935870036482811		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	231.832176	232.04654007591307		TIMEOUT	30000	30000	
pomdps-unsat_mem_2_refuel-06_2.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_4x3-95_3.yml	unsat	false	false	672.194684	672.4381330152974		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_4x5x2-95_3.yml	unsat	false	false	262.934238	263.16163880750537		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_grid-avoid-4-0.1_3.yml	unsat	false	false	0.920747	1.1574557488784194		false	19.35064	19.540944137610495	
pomdps-unsat_mem_3_maze-alex_3.yml	unsat	false	false	0.412122	0.6184956096112728		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_network_3.yml	unsat	false	false	331.668603	331.8871894516051		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_query-s2_3.yml	unsat	false	false	154.146968	154.3731097849086		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_query-s3_3.yml	unsat	false	false	184.085461	184.25755824428052		TIMEOUT	30000	30000	
pomdps-unsat_mem_3_refuel-06_3.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_4_4x3-95_4.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
pomdps-unsat_mem_4_grid-avoid-4-0.1_4.yml	unsat	false	false	7.886062	8.087359600700438		false	1420.433122	1420.651261777617	
