tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	unknown	3.036519	3.7366855638101697	159.838208		unknown	2.799827	3.56348455324769	160.231424		true	2.926342	3.6763311000540853	164.392960	18	TIMEOUT	1800.689312	1801.6082573588938	1221.963776		true	3.283919	4.108806386590004	201.838592	166
jair-sat_box-pushing-2fsc.yml	sat	true	unknown	8.425401	9.136313318274915	252.411904		unknown	8.161793	8.904271258972585	252.203008		true	15.550819	16.298397704027593	930.197504	130	TIMEOUT	1800.837856	1801.8248943369836	4829.278208		true	482.18739	483.0919233597815	359.141376	28468
jair-sat_dpm.yml	sat	true	true	2.111247	2.8165511805564165	374.722560	38	true	1.219143	1.978239443153143	218.939392	1	true	1.442422	2.172096688300371	282.509312	7	TIMEOUT	1800.657938	1801.5868652043864	1411.088384		true	2.413178	3.2501456858590245	239.775744	44
jair-sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	1800.597333	1801.3425769414753	160.600064		true	0.685495	1.4265447743237019	149.815296	117	TIMEOUT	1800.599034	1801.3737883735448	136.007680		TIMEOUT	1800.666553	1801.5838943645358	1141.542912		true	0.624165	1.4543312704190612	159.940608	20
jair-sat_grid-meet-sl-2fsc.yml	sat	true	TIMEOUT	1800.884898	1801.647833224386	7674.408960		true	39.810608	40.520906555466354	638.689280	3964	true	754.253163	755.0448080310598	4340.805632	22224	TIMEOUT	1800.923009	1801.7723751151934	11143.020544		true	15.897622	16.781438758596778	1011.544064	1060
jair-sat_grid3x3-1fsc.yml	sat	true	unknown	0.66719	1.352843077853322	149.614592		unknown	0.707503	1.4058625306934118	149.590016		true	1.18536	1.919790561310947	217.030656	20	TIMEOUT	1800.726942	1801.6199455698952	2060.550144		true	3.716058	4.557684336788952	211.939328	257
jair-sat_grid3x3-2fsc.yml	sat	true	unknown	2.463874	3.1294849161058664	326.004736		unknown	2.89494	3.6076776394620538	325.754880		true	7.815859	8.533653586171567	576.409600	52	TIMEOUT	1800.659502	1801.5470710191876	1486.172160		true	27.690968	28.535772318951786	508.993536	427
jair-sat_herman.yml	sat	true	true	1212.525992	1213.2626867508516	10628.460544	49598	true	40.590602	41.30548426695168	904.187904	39	true	35.545003	36.247940516099334	903.057408	3	TIMEOUT	1800.844239	1801.7140450337902	7223.816192		true	38.990854	39.80615747626871	1057.316864	19
