   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Tue, 2025-07-29 21:15:45 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.31        4.13        None
jair-sat_box-pushing-2fsc.yml                true                           484.61      485.53        None
jair-sat_dpm.yml                             true                            45.76       46.64        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.71        1.59        None
jair-sat_grid-meet-sl-2fsc.yml               true                            13.97       14.84        None
jair-sat_grid.yml                            true                             0.61        1.43        None
jair-sat_grid3x3-1fsc.yml                    true                             3.58        4.38        None
jair-sat_grid3x3-2fsc.yml                    true                            27.70       28.60        None
jair-sat_herman.yml                          true                            44.29       45.09        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.53        None
jair-sat_maze.yml                            true                             0.56        1.34        None
jair-sat_pole-res.yml                        true                             0.70        1.50        None
jair-sat_pole.yml                            true                             1.68        2.44        None
jair-sat_recycling-2fsc.yml                  true                             0.52        1.26        None
jair-sat_recycling-3fsc.yml                  true                             0.60        1.42        None
jair-sat_refuel-06-res.yml                   true                             1.48        2.16        None
jair-sat_tiny_rewards.yml                    true                             0.47        1.18        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.59        1.31        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.42        1.08        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.66     1801.64        None
pomdps-sat_mem_1_drone-4-2_1.yml             TIMEOUT                       1800.75     1801.48        None
pomdps-sat_mem_1_drone-8-2_1.yml             TIMEOUT                       1800.68     1801.44        None
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml      true                             0.49        1.13        None
pomdps-sat_mem_1_hallway_1.yml               true                             7.03        7.73        None
pomdps-sat_mem_1_maze-alex_1.yml             true                             0.48        1.12        None
pomdps-sat_mem_1_milos-aaai97_1.yml          true                             6.95        7.59        None
pomdps-sat_mem_1_network_1.yml               true                             0.44        0.76        None
