tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.306854	4.127568029798567		true	3.107111	3.8791746608912945	
jair-sat_box-pushing-2fsc.yml	sat	true	true	484.607695	485.53108499292284		true	15.414889	16.160451146773994	
jair-sat_dpm.yml	sat	true	true	45.757805	46.63993705343455		true	151.892148	152.65519796591252	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.712408	1.5874749822542071		TIMEOUT	30000	30000	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	13.966497	14.840443029999733		true	758.452704	759.2418535016477	
jair-sat_grid.yml	sat	true	true	0.607993	1.4277445478364825		true	1.514069	2.259251323528588	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.581118	4.3808782529085875		true	1.172126	1.899506458081305	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.695262	28.60138955898583		true	7.953941	8.682281812652946	
jair-sat_herman.yml	sat	true	true	44.291828	45.089351838454604		true	35.776419	36.48455909732729	
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
jair-sat_maze.yml	sat	true	true	0.561671	1.3422750355675817		TIMEOUT	30000	30000	
jair-sat_pole-res.yml	sat	true	true	0.695696	1.4983769468963146		true	0.758504	1.4460805905982852	
jair-sat_pole.yml	sat	true	true	1.680638	2.4352288134396076		true	0.98821	1.6577004166319966	
jair-sat_recycling-2fsc.yml	sat	true	true	0.522861	1.2553001753985882		true	0.438735	1.119052967056632	
jair-sat_recycling-3fsc.yml	sat	true	true	0.597914	1.4231807626783848		true	0.506889	1.1636317251250148	
jair-sat_refuel-06-res.yml	sat	true	true	1.479461	2.160307791084051		true	0.548062	1.2102016005665064	
jair-sat_tiny_rewards.yml	sat	true	true	0.46643	1.1761628966778517		true	0.494879	1.1438980670645833	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.585171	1.313293936662376		true	0.425399	1.0135282715782523	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.423573	1.0786164263263345		true	0.386709	0.9773273589089513	
pomdps-sat_mem_1_drone-4-1_1.yml	sat	true	TIMEOUT	30000	30000		true	3.564901	4.142690448090434	
pomdps-sat_mem_1_drone-4-2_1.yml	sat	true	TIMEOUT	30000	30000		true	0.637796	1.2546935863792896	
pomdps-sat_mem_1_drone-8-2_1.yml	sat	true	TIMEOUT	30000	30000		true	12.726092	13.329627293162048	
pomdps-sat_mem_1_grid-avoid-4-0.1_1.yml	sat	true	true	0.490442	1.132410055026412		true	0.442142	1.0362713374197483	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.026992	7.725062279962003		true	87.157565	87.77178084198385	
pomdps-sat_mem_1_maze-alex_1.yml	sat	true	true	0.48305	1.1229813508689404		TIMEOUT	30000	30000	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.950594	7.5914202611893415		true	0.699175	1.2918397122994065	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.43792	0.761849258095026		true	0.399947	0.6001276839524508	
pomdps-sat_mem_1_nrp-8_1.yml	sat	true	true	0.45146	0.7328163599595428		true	0.463768	0.6600596159696579	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.403428	0.6563710086047649		true	0.426865	0.6089843912050128	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.517688	0.8000951837748289		true	0.506478	0.7135572386905551	
pomdps-sat_mem_1_refuel-06_1.yml	sat	true	true	4.505459	4.798455277457833		true	0.619077	0.8325977018103004	
pomdps-sat_mem_1_refuel-20_1.yml	sat	true	true	15.195175	15.458938646130264		TIMEOUT	30000	30000	
pomdps-sat_mem_1_rocks-12_1.yml	sat	true	TIMEOUT	30000	30000		true	1.335012	1.5407195081934333	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	10.648885	10.919124349951744		true	0.42123	0.578408638946712	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.781082	1.0361639568582177		true	0.357209	0.5065219737589359	
pomdps-sat_mem_2_grid-avoid-4-0.1_2.yml	sat	true	true	0.553897	0.9152005324140191		true	0.518234	0.6993869366124272	
pomdps-sat_mem_2_maze-alex_2.yml	sat	true	true	1.100438	1.3018741179257631		TIMEOUT	30000	30000	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.908257	1.0927994353696704		TIMEOUT	30000	30000	
pomdps-sat_mem_2_network_2.yml	sat	true	true	1.186646	1.4181292243301868		true	0.487262	0.6478253258392215	
pomdps-sat_mem_2_nrp-8_2.yml	sat	true	true	0.479191	0.7194219771772623		true	0.465978	0.6288019577041268	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.522814	0.7469928888604045		true	0.413395	0.550322643481195	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	4.985031	5.229409362189472		true	5.995118	6.142411794513464	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	30000	30000		true	0.698922	0.8558610891923308	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	238.163181	238.42735858634114		true	1.65739	1.795340495184064	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	13.181321	13.420589305460453		true	0.808351	0.9649604763835669	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.486297	0.680680938065052		true	0.407605	0.5681491950526834	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	197.125074	197.32402607239783		TIMEOUT	30000	30000	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.034833	6.215406320989132		true	17.462063	17.612482840195298	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.931253	1.200700736604631		true	0.715471	0.8661743244156241	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	63.466734	63.71959110442549		true	91.561937	91.72570388764143	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	30000	30000		true	11.266275	11.39638351276517	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	30000	30000		true	148.909713	149.05245805718005	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	1.05273	1.265207421965897		true	0.902435	1.0234527932479978	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.044359	3.2568645868450403		false	2.93024	3.099681698717177	
