tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS
../../benchmarks/files/simple-q1/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
jair-sat_box-pushing-1fsc.yml	sat	true	true	3.306854	4.127568029798567		unknown	2.887031	3.6388576673343778	
jair-sat_box-pushing-2fsc.yml	sat	true	true	484.607695	485.53108499292284		unknown	10.189935	10.949389467947185	
jair-sat_grid3x3-1fsc.yml	sat	true	true	3.581118	4.3808782529085875		unknown	0.717529	1.4563059080392122	
jair-sat_grid3x3-2fsc.yml	sat	true	true	27.695262	28.60138955898583		unknown	2.358566	3.0875897565856576	
jair-sat_pole-res.yml	sat	true	true	0.695696	1.4983769468963146		unknown	0.589875	1.285554314032197	
jair-sat_pole.yml	sat	true	true	1.680638	2.4352288134396076		unknown	0.598802	1.2882971270009875	
jair-sat_recycling-2fsc.yml	sat	true	true	0.522861	1.2553001753985882		unknown	0.428081	1.0852376939728856	
jair-sat_recycling-3fsc.yml	sat	true	true	0.597914	1.4231807626783848		unknown	0.450784	1.0938850240781903	
jair-sat_refuel-06-res.yml	sat	true	true	1.479461	2.160307791084051		TIMEOUT	1800.609614	1801.3396843122318	
jair-sat_tiny_rewards.yml	sat	true	true	0.46643	1.1761628966778517		unknown	0.46506	1.0978523585945368	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	true	0.585171	1.313293936662376		unknown	0.455267	1.0833667172119021	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	true	0.423573	1.0786164263263345		unknown	0.437088	1.0147488750517368	
pomdps-sat_mem_1_hallway_1.yml	sat	true	true	7.026992	7.725062279962003		unknown	0.878383	1.4832255924120545	
pomdps-sat_mem_1_milos-aaai97_1.yml	sat	true	true	6.950594	7.5914202611893415		unknown	0.405404	1.00426603294909	
pomdps-sat_mem_1_network_1.yml	sat	true	true	0.43792	0.761849258095026		unknown	0.418127	0.734746553003788	
pomdps-sat_mem_1_query-s2_1.yml	sat	true	true	0.403428	0.6563710086047649		unknown	0.489764	0.7782504949718714	
pomdps-sat_mem_1_query-s3_1.yml	sat	true	true	0.517688	0.8000951837748289		unknown	0.396064	0.6955877039581537	
pomdps-sat_mem_2_4x3-95_2.yml	sat	true	true	10.648885	10.919124349951744		unknown	0.371215	0.6126250149682164	
pomdps-sat_mem_2_4x5x2-95_2.yml	sat	true	true	0.781082	1.0361639568582177		unknown	0.386122	0.6225419696420431	
pomdps-sat_mem_2_milos-aaai97_2.yml	sat	true	true	0.908257	1.0927994353696704		unknown	0.448916	0.6553693171590567	
pomdps-sat_mem_2_network_2.yml	sat	true	true	1.186646	1.4181292243301868		unknown	0.48806	0.6339864665642381	
pomdps-sat_mem_2_query-s2_2.yml	sat	true	true	0.522814	0.7469928888604045		unknown	0.487829	0.6484150709584355	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	true	4.985031	5.229409362189472		unknown	0.441528	0.6180832702666521	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	true	238.163181	238.42735858634114		unknown	0.457958	0.6072800876572728	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	true	13.181321	13.420589305460453		unknown	0.345501	0.5023591937497258	
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	true	197.125074	197.32402607239783		TIMEOUT	1800.625229	1800.9071155330166	
pomdps-sat_mem_3_network_3.yml	sat	true	true	6.034833	6.215406320989132		unknown	0.362551	0.5153920035809278	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	true	0.931253	1.200700736604631		unknown	0.357196	0.48812710121273994	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	true	63.466734	63.71959110442549		unknown	0.446087	0.5929210837930441	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	TIMEOUT	1800.668747	1800.9961630757898		unknown	0.402696	0.5839017732068896	
jair-unsat_box-pushing-1fsc.yml	unsat	false	false	3.044359	3.2568645868450403		unknown	3.902311	4.094579882919788	
jair-unsat_box-pushing-2fsc.yml	unsat	false	false	1131.484192	1131.7137288246304		unknown	8.121273	8.2763934712857	
jair-unsat_dpm.yml	unsat	false	false	53.041437	53.251717132516205		unknown	31.191306	31.335145495831966	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	31.264141	31.45840868074447		TIMEOUT	1800.64131	1800.9586957227439	
jair-unsat_grid3x3-1fsc.yml	unsat	false	false	1.019009	1.1986047234386206		unknown	0.609914	0.7397895446047187	
jair-unsat_grid3x3-2fsc.yml	unsat	false	false	853.643687	853.8659157399088		unknown	3.767049	3.8906268253922462	
jair-unsat_herman.yml	unsat	false	false	159.125346	159.3000535555184		TIMEOUT	1800.667785	1800.8765308260918	
jair-unsat_maze.yml	unsat	false	false	1.380507	1.6300621181726456		TIMEOUT	1800.62133	1800.887215282768	
jair-unsat_pole-res.yml	unsat	false	false	1.025231	1.2319998806342483		unknown	0.618691	0.7669867603108287	
jair-unsat_pole.yml	unsat	false	false	3.7651	3.9571054512634873		unknown	0.567429	0.7144235195592046	
jair-unsat_recycling-2fsc.yml	unsat	false	false	0.8518	1.0612344145774841		unknown	0.455832	0.600876959040761	
jair-unsat_recycling-3fsc.yml	unsat	false	false	3.173929	3.397770380601287		unknown	0.437897	0.5858650850132108	
jair-unsat_refuel-06-res.yml	unsat	false	false	0.795601	0.9908601818606257		TIMEOUT	1800.628318	1800.8736379472539	
jair-unsat_tiny_rewards.yml	unsat	false	false	0.541929	0.7297429256141186		unknown	0.533644	0.6940781679004431	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	false	1.700366	1.9120021210983396		unknown	0.353192	0.4804132515564561	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	false	0.622059	0.7918008714914322		unknown	0.498692	0.6441100621595979	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	TIMEOUT	1800.62191	1800.9045172100887		unknown	1.34084	1.5174658484756947	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	false	9.792955	9.9870740249753		unknown	0.357424	0.4741871701553464	
pomdps-unsat_mem_1_network_1.yml	unsat	false	false	0.59295	0.8020576173439622		unknown	0.351488	0.4649397497996688	
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	false	0.593828	0.7867065947502851		unknown	0.329443	0.45820941496640444	
pomdps-unsat_mem_1_query-s3_1.yml	unsat	false	false	1.512004	1.6924636084586382		unknown	0.418337	0.5839303964748979	
pomdps-unsat_mem_1_refuel-06_1.yml	unsat	false	false	3.618352	3.7899490194395185		TIMEOUT	1800.626619	1800.8690242068842	
pomdps-unsat_mem_2_4x3-95_2.yml	unsat	false	false	16.156178	16.3469584453851		unknown	0.370557	0.5168633442372084	
pomdps-unsat_mem_2_4x5x2-95_2.yml	unsat	false	false	7.921661	8.119471945799887		unknown	0.388927	0.5080136936157942	
pomdps-unsat_mem_2_maze-alex_2.yml	unsat	false	false	5.521356	5.732260231859982		TIMEOUT	1800.613047	1800.9395936327055	
pomdps-unsat_mem_2_milos-aaai97_2.yml	unsat	false	false	14.124728	14.327001797966659		unknown	0.518805	0.6765546426177025	
pomdps-unsat_mem_2_network_2.yml	unsat	false	false	1.460477	1.6649539452046156		unknown	0.507306	0.6586479069665074	
pomdps-unsat_mem_2_nrp-8_2.yml	unsat	false	false	406.091822	406.31740560010076		TIMEOUT	1800.62106	1800.9966081148013	
pomdps-unsat_mem_2_query-s2_2.yml	unsat	false	false	1.80983	2.0061875227838755		unknown	0.527258	0.6755474423989654	
pomdps-unsat_mem_2_query-s3_2.yml	unsat	false	false	234.348919	234.5557925561443		unknown	0.551096	0.6950317621231079	
