tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-sat_box-pushing-1fsc.yml	sat	true	unknown	2.93191	3.7031401991844177	159.887360		TIMEOUT	1800.651566	1801.5820828936994	1132.589056		true	3.32404	4.117754495702684	201.367552	166	true	2.913618	3.6971638342365623	164.560896	18	unknown	3.067718	3.731262132525444	160.759808	
jair-sat_box-pushing-2fsc.yml	sat	true	unknown	8.304765	9.058472413569689	251.969536		TIMEOUT	1800.838947	1801.7914786385372	4883.943424		true	476.6262	477.4518718663603	360.185856	28468	true	15.482648	16.251230308786035	930.050048	130	unknown	8.932396	9.597961130551994	252.116992	
jair-sat_dpm.yml	sat	true	true	49.404979	50.16603718698025	7643.041792	1	TIMEOUT	1801.248393	1802.1889939447865	12179.333120		true	51.073599	51.87317077443004	7863.140352	2	true	134.176365	134.9355835467577	11669.397504	6	OUT OF MEMORY	382.962384	385.94100015982985	15981.199360	
jair-sat_grid-10-sl-4fsc.yml	sat	true	true	0.675516	1.4449302852153778	149.798912	117	TIMEOUT	1800.686351	1801.5892254244536	1220.583424		true	0.611299	1.3802926614880562	160.137216	20	TIMEOUT	1800.598363	1801.3461854504421	135.974912		TIMEOUT	1800.599136	1801.3549387194216	161.640448	
jair-sat_grid-meet-sl-2fsc.yml	sat	true	true	40.449103	41.20548199955374	637.972480	3964	TIMEOUT	1800.927848	1801.8229323551059	11143.675904		true	13.476524	14.288936799392104	1007.075328	1060	true	751.872467	752.6353507880121	4339.392512	22224	TIMEOUT	1800.870351	1801.693595668301	6920.978432	
jair-sat_grid.yml	sat	true	true	0.7672	1.4905108427628875	147.132416	227	true	1051.078947	1051.9909678092226	224.681984		true	0.667371	1.4160034488886595	155.566080	211	true	1.479818	2.215863348916173	133.693440	2176	true	3.649199	4.398942039348185	159.105024	6779
jair-sat_grid3x3-1fsc.yml	sat	true	unknown	0.761152	1.4572353335097432	149.712896		TIMEOUT	1800.731276	1801.5812347177416	2157.912064		true	3.650278	4.400707034394145	211.582976	257	true	1.224383	1.942179481498897	216.952832	20	unknown	0.676783	1.4119303431361914	149.540864	
jair-sat_grid3x3-2fsc.yml	sat	true	unknown	2.765117	3.4961124593392015	325.042176		TIMEOUT	1800.663072	1801.5280459960923	944.414720		true	29.303358	30.113890488632023	507.863040	427	true	8.130188	8.857008630409837	576.421888	52	unknown	2.40702	3.1363395461812615	325.849088	
jair-sat_herman.yml	sat	true	true	50.90968	51.63679893407971	904.245248	39	TIMEOUT	1800.853312	1801.6916325706989	7214.809088		true	43.179244	43.92955149244517	1053.618176	19	true	41.169065	41.891483700834215	904.355840	3	true	1223.30916	1224.0790367331356	10410.946560	51252
jair-sat_maze-sl-5.yml	sat	true	TIMEOUT	1800.608352	1801.4362049046904	230.084608		TIMEOUT	1800.610352	1801.4041679874063	226.414592		TIMEOUT	1800.616641	1801.4842525348067	429.133824		TIMEOUT	1800.598281	1801.335827736184	133.873664		TIMEOUT	1800.601024	1801.3484757523984	142.532608	
jair-sat_maze.yml	sat	true	true	14.864571	15.562820599414408	147.087360	4300	TIMEOUT	1800.603582	1801.5042195590213	180.240384		true	0.625245	1.387237448245287	155.918336	57	TIMEOUT	1800.601979	1801.334158574231	133.771264		TIMEOUT	1800.602983	1801.2606203164905	141.561856	
jair-sat_pole-res.yml	sat	true	unknown	0.487922	1.180056544020772	133.496832		TIMEOUT	1800.641624	1801.4538290733472	652.267520		true	0.730661	1.529471006244421	172.326912	25	true	0.792052	1.4744739262387156	183.128064	12	unknown	0.476828	1.065888561308384	133.550080	
jair-sat_pole.yml	sat	true	unknown	0.543318	1.1831060163676739	136.650752		TIMEOUT	1800.646314	1801.498442299664	894.656512		true	1.590326	2.3557077581062913	181.047296	189	true	0.876345	1.5519218454137444	209.764352	12	unknown	0.605197	1.1874709520488977	136.753152	
jair-sat_recycling-2fsc.yml	sat	true	unknown	0.45361	1.1137216920033097	133.652480		TIMEOUT	1800.603847	1801.487054379657	248.651776		true	0.545412	1.2945746574550867	156.368896	32	true	0.538662	1.2075843894854188	133.566464	9	unknown	0.436166	1.0365183958783746	133.615616	
jair-sat_recycling-3fsc.yml	sat	true	unknown	0.529798	1.183091257698834	133.754880		TIMEOUT	1800.626196	1801.4887203844264	533.585920		true	0.585101	1.3670344585552812	157.364224	51	true	0.478965	1.1380390413105488	133.627904	12	unknown	0.439905	1.0522532938048244	133.812224	
jair-sat_refuel-06-res.yml	sat	true	TIMEOUT	1800.603054	1801.4700090615079	234.061824		TIMEOUT	1800.612824	1801.3657722091302	240.947200		true	1.494735	2.2298027649521828	157.011968	582	true	0.635261	1.2929648645222187	134.692864	11	true	0.847088	1.4712649499997497	157.593600	54
jair-sat_tiny_rewards.yml	sat	true	unknown	0.432398	1.0724928108975291	133.603328		true	0.441828	1.2202292522415519	156.991488		true	0.514343	1.3099362077191472	155.893760	1	true	0.401995	1.0487504824995995	133.500928	1	unknown	0.428658	1.0079760532826185	133.668864	
pomdps-sat_mem_1_4x3-95_1.yml	sat	true	unknown	0.384875	1.0216892519965768	103.051264		false	1176.755471	1177.4965351587161	175.480832		true	0.589039	1.438708026893437	140.673024	256	true	0.428631	1.0618157936260104	105.472000	7	unknown	0.39922	0.9661585446447134	103.092224	
pomdps-sat_mem_1_4x5x2-95_1.yml	sat	true	unknown	0.360444	0.9890741882845759	103.284736		true	1.298016	2.018528330139816	147.349504		true	0.463257	1.260676878504455	140.570624	2	true	0.440836	1.0621975744143128	105.246720	6	unknown	0.392355	0.979739498347044	103.165952	
