   BENCHMARK INFORMATION
benchmark definition:    comparison_simple.xml
name:                    comparison_simple
run sets:                SMPMC, PAYNT-AR, PAYNT-CEGIS, PAYNT-Hybrid, SMT(LRA)
date:                    Wed, 2025-07-30 05:22:42 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC
Run set 1 of 5 with options '-m molehill --ce none' and propertyfile 'None'

inputfile                                    status                       cpu time   wall time        host
----------------------------------------------------------------------------------------------------------
jair-sat_box-pushing-1fsc.yml                true                             3.45        4.23        None
jair-sat_box-pushing-2fsc.yml                true                           510.16      510.97        None
jair-sat_dpm.yml                             true                            48.04       48.88        None
jair-sat_grid-10-sl-4fsc.yml                 true                             0.65        1.50        None
jair-sat_grid-meet-sl-2fsc.yml               true                            14.00       14.85        None
jair-sat_grid.yml                            true                             0.62        1.43        None
jair-sat_grid3x3-1fsc.yml                    true                             3.55        4.34        None
jair-sat_grid3x3-2fsc.yml                    true                            27.82       28.60        None
jair-sat_herman.yml                          true                            39.36       40.14        None
jair-sat_maze-sl-5.yml                       TIMEOUT                       1800.60     1801.45        None
jair-sat_maze.yml                            true                             0.56        1.35        None
jair-sat_pole-res.yml                        true                             0.66        1.40        None
jair-sat_pole.yml                            true                             1.72        2.44        None
jair-sat_recycling-2fsc.yml                  true                             0.51        1.12        None
jair-sat_recycling-3fsc.yml                  true                             0.61        1.32        None
jair-sat_refuel-06-res.yml                   true                             1.43        2.04        None
jair-sat_tiny_rewards.yml                    true                             0.45        1.07        None
pomdps-sat_mem_1_4x3-95_1.yml                true                             0.60        1.28        None
pomdps-sat_mem_1_4x5x2-95_1.yml              true                             0.51        1.14        None
pomdps-sat_mem_1_drone-4-1_1.yml             TIMEOUT                       1800.72     1801.57        None
