tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.771765	1.510833915323019	147.816448	4	false	0.806371	1.6310321195051074	155.852800	5	TIMEOUT	1800.621116	1801.3417190406471	440.172544	
benchmark-q2-tree-sat_drone-4-1_3.yml	false	4.070727	4.8325937278568745	152.608768	92	false	14.166764	15.041832264512777	169.562112	2221	TIMEOUT	1800.606592	1801.4369024047628	303.714304	
benchmark-q2-tree-sat_drone-4-1_5.yml	false	417.783947	418.5285438261926	185.303040	2588	false	418.557499	419.39498696662486	652.914688	68355	TIMEOUT	1800.644605	1801.4901402173564	473.989120	
benchmark-q2-tree-sat_drone-4-2_1.yml	false	1.678108	2.3887738091871142	148.582400	4	false	0.982261	1.8025259217247367	157.065216	5	TIMEOUT	1800.62279	1801.4381651375443	482.828288	
benchmark-q2-tree-sat_drone-4-2_3.yml	false	10.653766	11.333521336317062	188.223488	112	false	603.521232	604.3962629633024	1604.579328	111811	TIMEOUT	1800.643944	1801.5159846013412	344.936448	
benchmark-q2-tree-sat_drone-8-2_1.yml	false	6.29166	6.9469252256676555	196.857856	4	false	3.219327	3.9496259121224284	219.234304	5	TIMEOUT	1800.71851	1801.590419480577	906.080256	
benchmark-q2-tree-sat_drone-8-2_3.yml	false	118.377127	118.97051598131657	411.041792	160	TIMEOUT	1800.691504	1801.4320473717526	980.148224		TIMEOUT	1800.715061	1801.6070043211803	995.885056	
benchmark-q2-tree-sat_maze-alex_5.yml	false	2.062609	2.1999416928738356	146.575360	357	false	0.639838	0.8363437103107572	155.070464	162	TIMEOUT	1800.612992	1800.8267308082432	162.209792	
benchmark-q2-tree-sat_rocks-12_1.yml	false	5.803993	5.954930308274925	205.283328		false	4.838216	5.02795877866447	215.564288	1	TIMEOUT	1800.656644	1801.2610901957378	842.846208	
benchmark-q2-tree-sat_rocks-12_11.yml	true	381.469886	381.62897180672735	792.092672	7	true	843.527841	843.9052289612591	1210.839040	4644	TIMEOUT	1800.639111	1801.2646041186526	858.460160	
benchmark-q2-tree-sat_rocks-12_13.yml	true	421.391538	421.55452162772417	818.184192	2	true	1703.306253	1703.7243556194007	1835.683840	13417	TIMEOUT	1800.661332	1801.2636369494721	996.032512	
benchmark-q2-tree-sat_rocks-12_15.yml	true	1104.391921	1104.5870459396392	1000.976384	1	true	1325.333076	1325.7234644619748	1307.054080	3261	TIMEOUT	1800.658	1801.2545097628608	993.198080	
benchmark-q2-tree-sat_rocks-12_3.yml	false	10.787426	10.935477283783257	227.385344		false	8.670835	8.851499917916954	262.709248	1	TIMEOUT	1800.65749	1801.3414765894413	844.488704	
benchmark-q2-tree-sat_rocks-12_5.yml	true	45.321959	45.4828241514042	358.670336	3	true	58.386581	58.706884659826756	439.967744	135	TIMEOUT	1800.666628	1800.917002364993	849.235968	
benchmark-q2-tree-sat_rocks-12_7.yml	true	65.656537	65.80760340858251	438.788096	4	true	227.963785	228.30118995718658	629.448704	3967	TIMEOUT	1800.668964	1800.9155326513574	851.857408	
benchmark-q2-tree-sat_rocks-12_9.yml	true	152.72925	152.88814819511026	826.638336	3	true	508.8557	509.2315646437928	1038.180352	3146	TIMEOUT	1800.670739	1800.889471564442	852.811776	
