tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_drone-4-1_1.yml	false	0.818912	1.5959242833778262	147.959808	4	TIMEOUT	1800.61016	1801.5164774311706	440.365056		false	0.712567	1.588408935815096	155.742208	5
benchmark-q2-tree-sat_drone-4-1_11.yml	TIMEOUT	1800.609618	1801.4297557845712	267.550720		TIMEOUT	1800.611904	1801.522391775623	459.923456		TIMEOUT	1800.941697	1801.9388142963871	2694.594560	
benchmark-q2-tree-sat_drone-4-1_13.yml	TIMEOUT	1800.613448	1801.429926729761	326.627328		TIMEOUT	1800.612134	1801.4656457211822	476.909568		TIMEOUT	1800.738334	1801.6279167430475	2784.894976	
benchmark-q2-tree-sat_drone-4-1_15.yml	TIMEOUT	1800.60771	1801.4205549675971	327.352320		TIMEOUT	1800.615904	1801.528556724079	497.238016		TIMEOUT	1800.776018	1801.66026077047	2732.093440	
benchmark-q2-tree-sat_drone-4-1_3.yml	false	5.129664	5.876777377910912	152.354816	92	TIMEOUT	1800.610695	1801.474845345132	304.250880		false	13.933095	14.817239118739963	169.893888	2221
benchmark-q2-tree-sat_drone-4-1_5.yml	false	422.056217	422.8414687886834	185.434112	2588	TIMEOUT	1800.614848	1801.5181437982246	473.833472		false	454.816036	455.7079472001642	653.398016	68355
benchmark-q2-tree-sat_drone-4-1_7.yml	TIMEOUT	1800.607746	1801.429534879513	249.098240		TIMEOUT	1800.608949	1801.483356562443	380.043264		TIMEOUT	1800.654104	1801.5427435943857	1345.777664	
benchmark-q2-tree-sat_drone-4-1_9.yml	TIMEOUT	1800.609431	1801.3859291058034	245.747712		TIMEOUT	1800.610732	1801.5312495678663	466.866176		TIMEOUT	1800.977689	1802.0093097481877	3465.359360	
