   BENCHMARK INFORMATION
benchmark definition:    comparison_trees.xml
name:                    comparison_trees
run sets:                SMPMC.Benchmarks, PAYNT-CEGIS.Benchmarks, SMT(LRA).Benchmarks
date:                    Tue, 2025-07-29 19:15:33 UTC
tool:                    synthesis
tool executable:         /home/lheck/.local/share/virtualenvs/molehill-U9ijTdgT/bin/python3
options:
parallel runs:           26
resource limits:
- memory:                16000.0 MB
- time:                  1800 s
hardware requirements:
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    localhost
os:                      Linux-6.1.0-23-amd64-x86_64-with-glibc2.36
cpu:                     AMD Ryzen Threadripper PRO 5965WX 24-Cores
- cores:                 48
- max frequency:         3800.0 MHz
- turbo boost enabled:   False
ram:                     540660.658176 MB
------------------------------------------------------------



SMPMC.Benchmarks
Run set 1 of 3 with options '-m molehill --ce none --constraint tree' and propertyfile 'None'

inputfile                                        status                       cpu time   wall time        host
--------------------------------------------------------------------------------------------------------------
benchmark-q2-tree-sat_drone-4-1_1.yml            false                            0.71        1.53        None
benchmark-q2-tree-sat_drone-4-1_11.yml           TIMEOUT                       1800.78     1801.66        None
benchmark-q2-tree-sat_drone-4-1_13.yml           TIMEOUT                       1800.75     1801.83        None
benchmark-q2-tree-sat_drone-4-1_15.yml           TIMEOUT                       1800.74     1802.65        None
benchmark-q2-tree-sat_drone-4-1_3.yml            false                           14.01       14.87        None
benchmark-q2-tree-sat_drone-4-1_5.yml            false                          421.93      422.72        None
benchmark-q2-tree-sat_drone-4-1_7.yml            TIMEOUT                       1800.68     1801.49        None
benchmark-q2-tree-sat_drone-4-1_9.yml            TIMEOUT                       1800.71     1801.83        None
benchmark-q2-tree-sat_drone-4-2_1.yml            false                            0.93        1.69        None
benchmark-q2-tree-sat_drone-4-2_11.yml           TIMEOUT                       1800.50     1802.85        None
benchmark-q2-tree-sat_drone-4-2_13.yml           TIMEOUT                       1800.80     1801.70        None
benchmark-q2-tree-sat_drone-4-2_15.yml           TIMEOUT                       1800.37     1803.59        None
benchmark-q2-tree-sat_drone-4-2_3.yml            false                          611.19      612.00        None
benchmark-q2-tree-sat_drone-4-2_5.yml            TIMEOUT                       1800.78     1801.66        None
benchmark-q2-tree-sat_drone-4-2_7.yml            TIMEOUT                       1800.77     1802.03        None
benchmark-q2-tree-sat_drone-4-2_9.yml            TIMEOUT                       1800.69     1801.84        None
benchmark-q2-tree-sat_drone-8-2_1.yml            false                            3.46        4.26        None
benchmark-q2-tree-sat_drone-8-2_11.yml           TIMEOUT                       1800.66     1801.46        None
benchmark-q2-tree-sat_drone-8-2_13.yml           TIMEOUT                       1800.68     1801.53        None
benchmark-q2-tree-sat_drone-8-2_15.yml           TIMEOUT                       1800.70     1801.49        None
benchmark-q2-tree-sat_drone-8-2_3.yml            TIMEOUT                       1800.66     1801.47        None
benchmark-q2-tree-sat_drone-8-2_5.yml            TIMEOUT                       1800.65     1801.55        None
benchmark-q2-tree-sat_drone-8-2_7.yml            TIMEOUT                       1800.66     1801.42        None
benchmark-q2-tree-sat_drone-8-2_9.yml            TIMEOUT                       1800.66     1801.48        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_1.yml     true                             0.54        1.33        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_11.yml    true                             0.59        1.38        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_13.yml    true                             0.56        0.80        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_15.yml    true                             0.52        0.89        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_3.yml     true                             0.48        0.79        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_5.yml     true                             0.62        1.00        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_7.yml     true                             0.61        0.90        None
benchmark-q2-tree-sat_grid-avoid-4-0.1_9.yml     true                             0.53        0.89        None
benchmark-q2-tree-sat_maze-alex_1.yml            false                            0.44        0.63        None
benchmark-q2-tree-sat_maze-alex_11.yml           true                             1.34        1.70        None
benchmark-q2-tree-sat_maze-alex_13.yml           true                             1.26        1.57        None
benchmark-q2-tree-sat_maze-alex_15.yml           true                             1.66        2.01        None
benchmark-q2-tree-sat_maze-alex_3.yml            false                            0.49        0.69        None
benchmark-q2-tree-sat_maze-alex_5.yml            false                            0.64        0.83        None
