x,y,velx,vely
9.989,13.370,-0.561,1.535
14.020,14.610,-0.740,-1.532
11.570,13.590,-0.928,-1.808
12.080,16.950,-0.906,-1.584
10.960,18.560,-0.910,-1.415
12.220,14.830,-0.775,-1.709
9.840,13.360,-0.956,-1.702
11.320,13.970,-0.742,-1.743
10.590,13.690,-0.852,-1.414
17.870,17.650,-1.049,-8.350
17.810,12.550,-1.295,-7.679
14.300,18.570,-1.111,-7.158
15.250,13.160,-1.108,-8.116
17.960,12.570,-1.310,-7.877
18.240,17.780,-1.073,-5.913
17.540,15.250,-1.249,-5.799
16.290,13.410,-1.325,-5.863
18.790,16.230,-1.135,-14.436
24.440,12.090,-0.834,-16.885
21.820,10.970,-0.968,-15.597
17.520,13.970,-1.062,-13.296
17.930,13.530,-1.085,-15.457
20.790,13.630,-0.843,-15.238
19.720,16.010,-1.155,-16.157
21.580,11.580,-0.880,-13.197
20.230,8.420,-0.887,-19.897
25.830,7.050,-0.773,-28.201
25.640,6.520,-1.020,-27.402
22.390,6.410,-1.038,-19.479
18.730,8.290,-0.696,-19.504
21.000,6.150,-0.665,-26.055
26.850,5.740,-0.880,-22.791
23.230,7.000,-0.881,-21.088
32.850,-1.520,-2.310,-29.033
34.010,-1.330,-2.605,-29.117
25.720,-1.480,-2.065,-30.409
24.640,-1.120,-2.377,-30.091
23.750,-1.320,-2.824,-23.813
31.890,-1.440,-2.674,-26.979
25.190,-1.320,-2.320,-23.355
29.130,-1.160,-3.076,-26.879
21.770,-1.790,-1.352,-24.530
23.310,-2.580,-1.298,-21.589
21.410,-2.200,-1.262,-28.311
27.080,-2.300,-1.716,-26.514
22.680,-1.930,-1.503,-28.808
22.710,-2.470,-1.672,-27.293
24.900,-1.740,-1.643,-30.207
28.810,-2.580,-1.671,-31.130
21.970,3.360,4.500,1.417
24.050,3.230,3.335,1.286
17.930,3.600,3.900,1.056
21.480,3.870,3.976,1.011
21.660,3.990,4.728,2.614
19.240,4.070,4.381,2.399
20.650,3.360,4.342,2.069
20.310,3.870,5.205,2.990
22.540,2.420,9.271,-5.709
23.000,2.250,10.344,-4.101
22.400,3.020,7.175,-5.208
25.160,2.120,7.449,-4.893
26.650,2.330,10.148,-4.433
22.610,2.980,9.989,-4.032
19.990,2.590,10.259,-3.777
22.780,2.910,7.245,-5.053
24.700,2.770,0.476,-0.088
27.850,3.490,0.619,-0.125
20.790,3.900,0.470,-0.088
25.540,3.660,0.550,-0.130
24.220,3.850,0.541,-0.082
23.170,3.130,0.451,-0.085
28.950,3.780,0.573,-0.079
21.520,3.940,0.586,-0.066
26.150,6.300,-3.299,-28.338
24.670,7.090,-3.585,-25.990
27.360,5.550,-3.719,-27.398
25.550,6.390,-3.283,-23.988
22.950,5.010,-3.769,-19.867
21.090,6.400,-3.846,-27.838
23.560,6.740,-3.277,-27.379
21.920,5.620,-2.999,-19.540
30.600,-1.250,-0.294,-24.631
25.070,-1.190,-0.317,-26.161
26.830,-1.000,-0.300,-19.657
29.510,-0.930,-0.320,-26.717
28.320,-1.290,-0.201,-24.488
