tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	Molehill (No CE).0	Molehill (No CE).0	Molehill (No CE).0	Molehill (No CE).0	Molehill (No CE).0	Molehill (only MC-CE).0	Molehill (only MC-CE).0	Molehill (only MC-CE).0	Molehill (only MC-CE).0	Molehill (only MC-CE).0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0
resources/benchmark/jair/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
sat_grid-10-sl-4fsc	TIMEOUT	600.324549	601.3865248505026	145.805312		TIMEOUT	600.322499	601.3958340249956	145.772544		TIMEOUT	600.327073	601.3697151895612	145.522688		TIMEOUT	600.332237	601.3310254011303	133.660672		done	41.85033	42.8759775813669	151.265280	7396	TIMEOUT	600.328548	601.3782832678407	158.978048	
sat_grid-meet-sl-2fsc	done	20.841622	21.865786369889975	983.375872	573	done	25.661255	26.672610828652978	982.253568	904	done	14.435082	15.442764539271593	983.949312	195	TIMEOUT	600.530991	601.5654247663915	2766.843904		done	54.544609	55.57334206812084	638.476288	2914	TIMEOUT	600.516591	601.5714480988681	2722.340864	
sat_herman	done	73.600674	74.60264428332448	1039.683584	27	done	73.090049	74.054716585204	1039.613952	27	done	73.265685	74.27627561241388	1057.951744	27	done	70.828012	71.80282675474882	897.183744	3	done	70.870106	71.87230724096298	898.170880	39	TIMEOUT	600.58772	601.6004583816975	3273.097216	
sat_maze	done	0.632361	1.609004931524396	142.450688	31	done	0.69919	1.6861601080745459	142.573568	31	done	0.684337	1.668969189748168	142.372864	31	TIMEOUT	600.330192	601.291520467028	133.181440		TIMEOUT	600.331957	601.3530405629426	200.249344		TIMEOUT	600.330276	601.3305880632252	138.993664	
sat_pole	done	5.861573	6.791491188108921	167.698432	507	done	5.969923	6.901470750570297	167.837696	508	done	7.163549	8.136516738682985	167.067648	228	done	1.550913	2.4971501007676125	209.223680	12	ERROR (1)	0.794249	1.719984931871295	135.507968		ERROR (1)	0.796603	1.7280988041311502	135.643136	
sat_pole-res	done	1.085172	2.0281538721174	158.158848	40	done	1.084402	2.0409340765327215	157.859840	40	done	1.57708	2.521490979939699	157.982720	40	done	1.283186	2.2361718378961086	177.180672	12	ERROR (1)	0.821137	1.7140140607953072	133.148672		ERROR (1)	0.724514	1.645128844305873	133.193728	
sat_refuel-06-res	done	2.265222	3.201447846367955	148.500480	595	done	2.234884	3.1360863838344812	148.639744	595	done	1.293495	2.172176906839013	144.613376	155	done	0.906358	1.8089247271418571	133.861376	11	TIMEOUT	600.338514	601.2650240063667	185.913344		done	1.154681	2.060877248644829	161.071104	53
unsat_dpm	done	2.780403	3.6725447848439217	228.298752	1	done	2.691233	3.584308924153447	228.192256	1	done	2.708597	3.6130374409258366	228.839424	1	done	1.448818	2.3300890810787678	197.681152	1	TIMEOUT	600.347401	601.2794221639633	218.431488		done	1.682534	2.5695513002574444	201.433088	1
