tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill	Molehill	Molehill	Molehill	Molehill	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
benchmarks/files/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	300.74265	302.12992555834353	156.352512		TIMEOUT	300.744343	302.1194934807718	156.422144		TIMEOUT	300.740766	302.11979139223695	156.139520		TIMEOUT	300.741167	302.11577925272286	156.131328		TIMEOUT	300.750285	302.08481813035905	156.217344		TIMEOUT	300.758226	302.0213753990829	138.235904		false	42.231978	43.48976975865662	152.215552	7396	TIMEOUT	300.763379	302.0295158922672	160.768000	
sat_grid-meet-sl-2fsc.yml	sat	true	true	44.049012	45.41938049532473	1015.750656	1439	true	11.048506	12.438587674871087	1016.082432	131	TIMEOUT	300.8191	302.1830352395773	1016.999936		TIMEOUT	300.811961	302.2222426533699	1012.715520		TIMEOUT	300.825176	302.157731089741	1017.253888		TIMEOUT	300.882125	302.15751611441374	1740.214272		true	55.484368	56.741282384842634	637.988864	2914	TIMEOUT	300.85548	302.1365306545049	1446.494208	
sat_herman.yml	sat	true	true	72.572175	73.8358842432499	1052.618752	13	true	72.730782	73.96212088502944	1060.929536	8	true	71.984389	73.22685874439776	1063.264256	9	true	72.880164	74.14101540669799	1061.683200	9	true	73.368084	74.62254038080573	1061.990400	9	true	71.035042	72.2668802049011	898.867200	3	true	71.374915	72.59287625737488	897.789952	39	TIMEOUT	300.966948	302.19651082903147	2256.875520	
sat_maze.yml	sat	true	true	1.265902	2.582525746896863	148.115456	281	true	0.93222	2.1542156133800745	147.795968	96	true	0.75268	2.064407229423523	147.771392	31	true	0.763174	2.064534952864051	147.963904	31	true	0.721151	1.9950382057577372	147.537920	30	TIMEOUT	300.76447	301.9486541990191	129.019904		TIMEOUT	300.771468	301.96003042533994	171.253760		TIMEOUT	300.762538	301.960461538285	132.100096	
sat_network-priorities.yml	sat	true	TIMEOUT	300.788728	302.06767587177455	452.464640		true	97.204835	98.4780045337975	521.994240	1499	true	40.717991	41.96874703466892	294.281216	766	true	40.938763	42.17228360287845	292.982784	766	true	40.728657	42.020531391724944	293.363712	766	true	3.18562	4.295029688626528	296.042496	9	unknown	1.26584	2.413333674892783	173.518848		unknown	1.210186	2.3575165811926126	172.736512	
sat_network.yml	sat	true	true	1.03641	2.348876193165779	147.066880	300	true	0.776062	2.08175615221262	146.604032	71	true	1.29183	2.56242842040956	147.722240	625	true	1.282994	2.529931405559182	147.939328	625	true	1.507079	2.7340497504919767	147.726336	625	true	0.869741	2.0287302061915398	127.025152	181	true	2.558391	3.669169621542096	138.829824	366	TIMEOUT	300.768521	301.9567460101098	163.758080	
sat_pole-res.yml	sat	true	true	2.026456	3.3268102072179317	169.119744	72	true	1.198632	2.464757703244686	169.644032	26	true	1.175257	2.4516300465911627	169.021440	37	true	1.258072	2.5044391434639692	168.988672	37	true	1.471039	2.689807888120413	168.943616	37	true	1.513922	2.6383001673966646	183.152640	12	unknown	0.77887	1.9097903966903687	133.087232		unknown	0.69239	1.7906697895377874	133.218304	
sat_pole.yml	sat	true	true	4.15602	5.447395632043481	177.709056	110	true	7.469554	8.689772706478834	178.814976	244	true	6.412063	7.659407529979944	178.733056	508	true	6.340202	7.601271148771048	178.667520	507	true	11.269594	12.501176899299026	178.130944	371	true	1.557679	2.6371658947318792	209.596416	12	unknown	0.81595	1.9275866318494081	134.471680		unknown	0.793225	1.8946593888103962	134.467584	
sat_refuel-06-res.yml	sat	true	true	1.510209	2.715964902192354	152.449024	167	true	2.908821	4.1699592564255	160.444416	326	true	1.370586	2.5802531223744154	152.961024	174	true	1.345545	2.598625587299466	152.739840	174	true	2.680898	3.946235677227378	156.418048	396	true	0.915642	2.037434035912156	132.100096	11	TIMEOUT	300.779664	301.90412346459925	170.283008		true	1.169501	2.26104074716568	162.906112	54
sat_samplerocks.yml	sat	true	TIMEOUT	300.804411	302.0511725246906	457.633792		TIMEOUT	300.830773	302.04297685436904	587.689984		true	9.085071	10.293080497533083	188.727296	2796	true	8.977697	10.259714120998979	188.665856	2796	TIMEOUT	300.83526	302.0847523547709	663.883776		true	33.997228	35.08633141592145	139.448320	19855	true	149.994243	151.09749586880207	154.537984	5813	TIMEOUT	300.783416	301.89019544422626	172.789760	
unsat_dpm.yml	unsat	false	false	2.710666	3.914169654250145	240.295936	1	false	2.772612	4.003694400191307	240.390144	1	false	2.662339	3.8585320729762316	237.563904	1	false	2.765649	3.9626008719205856	237.780992	1	false	2.711891	3.9236240573227406	240.431104	1	false	1.436656	2.500765008851886	198.488064	1	TIMEOUT	300.792895	301.88139327801764	219.471872		false	1.707889	2.757669350132346	202.031104	1
unsat_grid-10-sl-4fsc.yml	unsat	false	false	9.508256	10.654836228117347	158.420992	1301	false	8.09009	9.26202081143856	157.900800	910	false	6.367579	7.52475018799305	157.622272	789	false	6.31253	7.499637339264154	157.421568	789	false	7.219099	8.475064028054476	157.491200	789	TIMEOUT	300.793568	301.861296935007	184.639488		false	42.48408	43.529514668509364	152.367104	7396	TIMEOUT	300.792994	301.84490656107664	200.826880	
unsat_grid-meet-sl-2fsc.yml	unsat	false	TIMEOUT	300.857661	301.9828344359994	1022.148608		false	132.303829	133.44228965230286	1016.934400	1468	false	99.437409	100.6109958961606	1002.061824	1896	false	84.344347	85.54277987405658	1000.394752	1793	false	256.48871	257.6589684765786	1011.625984	2954	false	183.364424	184.4159464482218	2494.656512	1620	TIMEOUT	300.824539	301.87930486537516	638.009344		false	211.465318	212.52358795516193	2409.807872	3656
unsat_herman.yml	unsat	false	false	94.901775	96.05378639511764	1061.085184	880	false	92.010571	93.17979032732546	1064.648704	606	false	83.477346	84.6458913963288	1040.207872	818	false	84.083603	85.2890814896673	1039.376384	818	false	87.989198	89.16304250434041	1069.355008	818	false	149.615745	150.64928564429283	2955.673600	197	TIMEOUT	300.873448	301.88933644630015	898.035712		false	99.269102	100.27052706666291	1084.985344	709
unsat_maze.yml	unsat	false	false	2.049539	3.1874853428453207	148.267008	547	false	1.622126	2.7256047390401363	147.927040	338	false	1.234228	2.3461722154170275	147.906560	407	false	1.206877	2.305103085935116	147.898368	407	false	0.932049	2.098919266834855	147.529728	138	TIMEOUT	300.79867	301.75003891438246	129.224704		TIMEOUT	300.79828	301.7961578220129	172.060672		TIMEOUT	300.791226	301.7851500734687	132.096000	
unsat_network.yml	unsat	false	false	189.768028	190.9056887794286	476.901376	143139	false	261.231792	262.30036076530814	487.260160	140926	false	173.029387	174.18457590974867	547.655680	166487	false	168.463604	169.63673205301166	547.741696	166487	false	222.839935	223.95095534995198	547.536896	166487	false	140.881285	141.84460100531578	136.814592	121217	TIMEOUT	300.807081	301.7520932406187	169.906176		false	141.475828	142.43647308275104	163.950592	122556
unsat_pole-res.yml	unsat	false	false	1.699955	2.8087995927780867	166.674432	38	false	1.243453	2.2799322698265314	166.195200	19	false	1.409559	2.50501936301589	164.433920	69	false	1.428673	2.577228205278516	164.483072	69	false	1.578521	2.7402286622673273	165.908480	30	false	0.839814	1.805008290335536	143.593472	5	unknown	0.677507	1.6145540084689856	133.238784		unknown	0.70273	1.6491389200091362	133.464064	
unsat_pole.yml	unsat	false	false	5.981091	7.080999929457903	176.877568	180	false	2.856962	3.9171459786593914	177.102848	68	false	7.454696	8.492781663313508	175.480832	601	false	7.516139	8.6173340883106	175.411200	601	false	10.835536	11.979824140667915	177.213440	400	false	2.022577	2.970307955518365	336.097280	32	unknown	0.807756	1.7230451572686434	134.447104		unknown	0.952786	1.8886954057961702	134.459392	
unsat_refuel-06-res.yml	unsat	false	false	1.015495	2.1113992631435394	150.458368	1	false	0.960106	2.0782819855958223	150.728704	1	false	0.927819	2.027344236150384	150.511616	1	false	0.896941	2.045381175354123	150.523904	1	false	0.937143	1.9909516759216785	150.523904	1	false	0.927825	1.8776180781424046	132.100096	1	TIMEOUT	300.805302	301.744033517316	170.692608		false	0.84815	1.8009505700320005	135.462912	1
