tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Det	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-Diseq	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-MC-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill-No-CE	Molehill	Molehill	Molehill	Molehill	Molehill	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
benchmarks/files/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	300.73887	302.1631971485913	155.521024		TIMEOUT	300.739721	302.16087571159005	156.270592		TIMEOUT	300.733659	302.17905630916357	155.856896		TIMEOUT	300.732853	302.1869765315205	155.574272		TIMEOUT	300.739699	302.1551952082664	155.586560		TIMEOUT	300.758085	302.03832564130425	137.564160		false	43.013634	44.28091592527926	152.072192	7396	TIMEOUT	300.757801	302.0639507006854	160.727040	
sat_grid-meet-sl-2fsc.yml	sat	true	true	42.448895	43.84651810862124	1003.474944	1439	true	10.793778	12.273962035775185	999.243776	136	TIMEOUT	300.811978	302.25303663127124	1015.844864		TIMEOUT	300.805811	302.2763924431056	1016.573952		TIMEOUT	300.80862	302.2671667672694	1015.255040		TIMEOUT	300.883854	302.17885302752256	1821.454336		true	55.704524	56.97596498392522	638.152704	2914	TIMEOUT	300.874592	302.16814663261175	1535.356928	
sat_herman.yml	sat	true	true	72.647735	74.01119601912796	1038.888960	13	true	72.688823	74.11925911717117	1057.013760	8	true	71.948802	73.29731007665396	1050.140672	9	true	73.096921	74.51192598044872	1044.967424	9	true	72.759099	74.13588940352201	1053.548544	9	true	71.634325	72.87332998774946	897.605632	3	true	71.062615	72.2598512917757	898.400256	39	TIMEOUT	300.948353	302.2121538557112	2158.628864	
sat_maze.yml	sat	true	true	1.336239	2.6768788285553455	147.771392	281	true	0.977478	2.303895154967904	147.296256	96	true	0.738943	2.1347383335232735	147.124224	31	true	0.740973	2.1142753809690475	147.251200	31	true	0.753163	2.067113809287548	147.267584	30	TIMEOUT	300.760327	301.9696756117046	128.684032		TIMEOUT	300.767985	301.9802289009094	172.097536		TIMEOUT	300.764251	301.9488269351423	131.780608	
sat_network-priorities.yml	sat	true	TIMEOUT	300.779549	302.110333615914	467.423232		TIMEOUT	300.811067	302.11920025385916	710.209536		true	39.8669	41.16148766130209	294.154240	766	true	39.858179	41.161130564287305	292.388864	766	true	40.490652	41.812438890337944	292.352000	766	true	3.166162	4.361291043460369	293.101568	9	unknown	1.244773	2.4132200609892607	173.367296		unknown	1.240283	2.410673825070262	173.686784	
sat_network.yml	sat	true	true	1.037511	2.3188356701284647	146.661376	300	true	0.753222	2.0825877245515585	145.924096	71	true	1.297318	2.5704275742173195	147.476480	625	true	1.218914	2.5111590567976236	147.423232	625	true	1.528108	2.824903314933181	147.529728	625	true	0.854686	2.025100138038397	126.775296	181	true	2.606269	3.7805224899202585	138.498048	366	TIMEOUT	300.772269	301.96096352674067	163.454976	
sat_pole-res.yml	sat	true	true	2.005246	3.2845769450068474	168.710144	72	true	1.218165	2.476345846429467	168.787968	26	true	1.160868	2.4780675638467073	168.624128	37	true	1.136948	2.4390742871910334	168.665088	37	true	1.421029	2.735253481194377	168.611840	37	true	1.326591	2.4714176319539547	182.632448	12	unknown	0.72076	1.8932798635214567	132.788224		unknown	0.716236	1.8672668412327766	132.812800	
sat_pole.yml	sat	true	true	4.173302	5.425401205196977	177.348608	110	true	7.582091	8.788998587056994	178.106368	244	true	6.42678	7.642455354332924	178.262016	508	true	6.480757	7.6974533554166555	178.376704	507	true	11.60207	12.841973988339305	177.852416	371	true	1.501913	2.628548014909029	209.309696	12	unknown	0.874474	2.03330765850842	134.541312		unknown	0.87677	2.009368060156703	134.340608	
sat_refuel-06-res.yml	sat	true	true	1.713072	2.949021866545081	152.399872	167	true	3.14352	4.376578023657203	166.625280	688	true	1.591341	2.860742526128888	152.383488	174	true	1.32756	2.549580382183194	152.301568	174	true	2.779604	4.055739916861057	156.090368	396	true	0.871614	2.011587366461754	131.649536	11	TIMEOUT	300.776864	301.9185341503471	171.368448		true	1.189111	2.3210593461990356	162.553856	54
sat_samplerocks.yml	sat	true	TIMEOUT	300.802062	302.08322048187256	458.964992		TIMEOUT	300.825889	302.07412192970514	545.374208		true	9.087651	10.354918133467436	188.002304	2796	true	8.890262	10.10171115025878	188.452864	2796	TIMEOUT	300.840336	302.08252775482833	664.358912		true	34.49948	35.57951461523771	139.460608	19855	true	152.869473	154.02232344076037	153.874432	5813	TIMEOUT	300.786258	301.8854952547699	174.084096	
unsat_dpm.yml	unsat	false	false	2.776839	4.0366490092128515	240.467968	1	false	2.754572	3.990436976775527	240.037888	1	false	2.74321	3.9642050601541996	237.338624	1	false	2.689625	3.957362323999405	237.391872	1	false	2.728348	4.009710775688291	240.009216	1	false	1.40547	2.470121279358864	197.738496	1	TIMEOUT	300.780087	301.9481612481177	219.045888		false	1.714626	2.81282027810812	200.888320	1
unsat_grid-10-sl-4fsc.yml	unsat	false	false	9.446216	10.65234725549817	158.040064	1301	false	7.94109	9.120475616306067	157.450240	910	false	6.311178	7.552961593493819	157.155328	789	false	6.350117	7.535220976918936	157.380608	789	false	7.16043	8.299524053931236	157.114368	789	TIMEOUT	300.790913	301.8540445547551	184.119296		false	42.935422	44.01697743870318	152.113152	7396	TIMEOUT	300.789983	301.86965064518154	200.445952	
unsat_grid-meet-sl-2fsc.yml	unsat	false	TIMEOUT	300.845519	302.0385454632342	1014.259712		false	125.968127	127.17012328468263	1009.418240	1468	false	94.74725	95.93830271624029	1006.641152	1896	false	79.649113	80.83993724919856	1006.067712	1793	false	247.511568	248.68667504750192	1014.935552	2954	false	183.790729	184.86088401265442	2490.552320	1620	TIMEOUT	300.820833	301.92010115645826	637.480960		false	221.445641	222.4858028292656	2351.308800	4290
unsat_herman.yml	unsat	false	false	94.671442	95.88236284814775	1063.243776	880	false	89.891809	91.06793522462249	1055.313920	606	false	83.759797	84.96230549365282	1063.149568	818	false	83.135264	84.25832807458937	1063.206912	818	false	91.138709	92.25558487512171	1044.582400	818	false	149.738734	150.76638629101217	2963.951616	197	TIMEOUT	300.861493	301.9477116484195	897.417216		false	111.427805	112.46082347258925	1079.009280	806
unsat_maze.yml	unsat	false	false	1.998691	3.1501792706549168	148.033536	547	false	1.484092	2.6478835735470057	147.742720	338	false	1.194597	2.336023138836026	147.652608	407	false	1.199752	2.35156368650496	147.505152	407	false	0.994345	2.079892795532942	147.058688	138	TIMEOUT	300.786854	301.8200856670737	128.729088		TIMEOUT	300.79214	301.85293792933226	170.688512		TIMEOUT	300.788387	301.8013492897153	131.719168	
unsat_network.yml	unsat	false	false	189.577547	190.7338187713176	476.725248	143139	false	221.899018	223.0825714059174	487.448576	140926	false	171.180757	172.31612511910498	547.450880	166487	false	167.589507	168.72118285670877	547.610624	166487	false	220.64467	221.74517193250358	547.229696	166487	false	141.945078	142.9676635246724	136.466432	121217	TIMEOUT	300.792506	301.84006102383137	169.279488		false	143.400432	144.36566354334354	163.766272	122295
unsat_pole-res.yml	unsat	false	false	1.548401	2.6577773466706276	165.707776	38	false	1.192592	2.2932525016367435	165.818368	19	false	1.38804	2.4636894576251507	164.044800	69	false	1.376466	2.484945772215724	164.151296	69	false	1.434906	2.576795104891062	165.683200	30	false	0.901292	1.8819770067930222	143.138816	5	unknown	0.744657	1.770423997193575	132.919296		unknown	0.816639	1.8061853274703026	132.710400	
unsat_pole.yml	unsat	false	false	5.92791	7.07914219237864	176.504832	180	false	2.895496	3.990504764020443	175.927296	68	false	7.4271	8.512950472533703	175.386624	601	false	7.377254	8.445911977440119	175.206400	601	false	10.717539	11.831047460436821	176.705536	400	false	2.052795	3.0450861174613237	335.548416	32	unknown	0.829101	1.8022736702114344	134.328320		unknown	0.814033	1.7709103990346193	134.422528	
unsat_refuel-06-res.yml	unsat	false	false	0.959525	2.066803116351366	150.138880	1	false	0.959388	2.064358903095126	150.347776	1	false	1.024617	2.091865425929427	150.319104	1	false	0.898719	1.9465515948832035	150.302720	1	false	1.001254	2.076982459053397	150.446080	1	false	0.950351	1.9577112309634686	131.559424	1	TIMEOUT	300.803077	301.77480093203485	170.725376		false	0.877094	1.8076281119138002	135.303168	1
