tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill	30000	30000	Molehill	Paynt-AR	30000	30000	Paynt-AR
../../benchmarks/files/simple/			status	30000	30000	memUsage	status	30000	30000	memUsage
sat_dpm.yml	sat	true	true	1.871179	2.0361325569974724		true	1.020883	1.1525292770020314	
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
sat_grid-meet-sl-2fsc.yml	sat	true	true	34.871776	35.05457324600138		TIMEOUT	30000	30000	
sat_grid.yml	sat	true	true	0.553401	0.7097208469967882		true	1.013004	1.142912470997544	
sat_herman.yml	sat	true	true	30.110231	30.245195858002262		true	29.402286	29.50838819799901	
sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
sat_maze.yml	sat	true	true	2.611753	2.762534808000055		TIMEOUT	30000	30000	
sat_network-priorities.yml	sat	true	true	0.798831	0.9338884899989353		true	1.261886	1.3595806929988612	
sat_network.yml	sat	true	true	0.257913	0.395682514001237		true	0.282846	0.3749166720008361	
sat_pole-res.yml	sat	true	true	0.395214	0.5226190390021657		true	0.492748	0.5920278420016984	
sat_pole.yml	sat	true	true	0.363349	0.5403737130000081		true	0.358107	0.45649830299953464	
sat_refuel-06-res.yml	sat	true	true	0.517981	0.6544455049988755		true	0.309507	0.4076262790003966	
sat_samplerocks.yml	sat	true	TIMEOUT	30000	30000		true	13.511613	13.61459387600189	
unsat_dpm.yml	unsat	false	false	1.063474	1.2079094580003584		false	0.538661	0.6418226109999523	
unsat_grid-10-sl-4fsc.yml	unsat	false	false	2.929744	3.0564934159992845		TIMEOUT	30000	30000	
unsat_grid-meet-sl-2fsc.yml	unsat	false	false	73.33836	73.47638977899987		false	79.539827	79.64576993599985	
unsat_grid.yml	unsat	false	false	1.035311	1.1651266610024322		false	1.714609	1.8114386870001908	
unsat_herman.yml	unsat	false	false	46.569985	46.70893091100152		false	63.397902	63.50352178400135	
unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
unsat_maze.yml	unsat	false	false	2.997355	3.1291221149986086		TIMEOUT	30000	30000	
unsat_network.yml	unsat	false	false	83.052962	83.20921025999996		false	55.825178	55.928234655999404	
unsat_pole-res.yml	unsat	false	false	0.453211	0.5967277550007566		false	0.308586	0.40625843399902806	
unsat_pole.yml	unsat	false	false	1.878282	2.0158000189985614		false	0.771618	0.8696363109993399	
unsat_refuel-06-res.yml	unsat	false	false	0.372146	0.5092899770024815		false	0.29302	0.3921127899993735	
unsat_samplerocks.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
