tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill	30000	30000	Molehill	Paynt-CEGIS	30000	30000	Paynt-CEGIS
../../benchmarks/files/simple/			status	30000	30000	memUsage	status	30000	30000	memUsage
sat_dpm.yml	sat	true	true	1.871179	2.0361325569974724		true	0.638289	0.7662347320001572	
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	30000	30000		false	30000	30000	
sat_grid-meet-sl-2fsc.yml	sat	true	true	34.871776	35.05457324600138		true	23.110277	23.241390686001978	
sat_grid.yml	sat	true	true	0.553401	0.7097208469967882		true	0.415241	0.5565519189985935	
sat_herman.yml	sat	true	true	30.110231	30.245195858002262		true	29.719856	29.830654319997848	
sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
sat_maze.yml	sat	true	true	2.611753	2.762534808000055		TIMEOUT	30000	30000	
sat_network-priorities.yml	sat	true	true	0.798831	0.9338884899989353		unknown	30000	30000	
sat_network.yml	sat	true	true	0.257913	0.395682514001237		true	0.973594	1.0711208129978331	
sat_pole-res.yml	sat	true	true	0.395214	0.5226190390021657		unknown	30000	30000	
sat_pole.yml	sat	true	true	0.363349	0.5403737130000081		true	0.359391	0.45404196200252045	
sat_refuel-06-res.yml	sat	true	true	0.517981	0.6544455049988755		TIMEOUT	30000	30000	
sat_samplerocks.yml	sat	true	TIMEOUT	30000	30000		true	57.032565	57.134817753998504	
unsat_dpm.yml	unsat	false	false	1.063474	1.2079094580003584		TIMEOUT	30000	30000	
unsat_grid-10-sl-4fsc.yml	unsat	false	false	2.929744	3.0564934159992845		false	16.44289	16.544690956998238	
unsat_grid-meet-sl-2fsc.yml	unsat	false	false	73.33836	73.47638977899987		TIMEOUT	30000	30000	
unsat_grid.yml	unsat	false	false	1.035311	1.1651266610024322		false	0.366326	0.4645712790006655	
unsat_herman.yml	unsat	false	false	46.569985	46.70893091100152		TIMEOUT	30000	30000	
unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
unsat_maze.yml	unsat	false	false	2.997355	3.1291221149986086		TIMEOUT	30000	30000	
unsat_network.yml	unsat	false	false	83.052962	83.20921025999996		TIMEOUT	30000	30000	
unsat_pole-res.yml	unsat	false	false	0.453211	0.5967277550007566		unknown	30000	30000	
unsat_pole.yml	unsat	false	false	1.878282	2.0158000189985614		unknown	30000	30000	
unsat_refuel-06-res.yml	unsat	false	false	0.372146	0.5092899770024815		TIMEOUT	30000	30000	
unsat_samplerocks.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
