tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill	Molehill	Molehill	Molehill	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
../../benchmarks/files/simple/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
sat_grid-meet-sl-2fsc.yml	sat	true	true	34.871776	35.05457324600138		TIMEOUT	300.983521	301.1211166159992	
sat_herman.yml	sat	true	true	30.110231	30.245195858002262		TIMEOUT	301.018901	301.1357394350016	
sat_maze.yml	sat	true	true	2.611753	2.762534808000055		TIMEOUT	300.905372	301.01208076699913	
sat_network-priorities.yml	sat	true	true	0.798831	0.9338884899989353		unknown	0.450565	0.54220321899993	
sat_pole-res.yml	sat	true	true	0.395214	0.5226190390021657		unknown	0.253321	0.34747991599942907	
unsat_grid-10-sl-4fsc.yml	unsat	false	false	2.929744	3.0564934159992845		TIMEOUT	300.908743	301.01759400100127	
unsat_maze.yml	unsat	false	false	2.997355	3.1291221149986086		TIMEOUT	300.910524	301.0109550530033	
unsat_pole-res.yml	unsat	false	false	0.453211	0.5967277550007566		unknown	0.257427	0.35430492800151114	
unsat_pole.yml	unsat	false	false	1.878282	2.0158000189985614		unknown	0.286529	0.3788300400010485	
