tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill	Molehill	Molehill	Molehill	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
../../benchmarks/files/simple/			status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
sat_dpm.yml	sat	true	true	1.871179	2.0361325569974724		true	1.534282	1.6621033629999147	
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
sat_grid-meet-sl-2fsc.yml	sat	true	true	34.871776	35.05457324600138		TIMEOUT	30000	30000	
sat_grid.yml	sat	true	true	0.553401	0.7097208469967882		true	2.759862	2.886443570998381	
sat_herman.yml	sat	true	true	30.110231	30.245195858002262		TIMEOUT	30000	30000	
sat_maze-sl-5.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
sat_maze.yml	sat	true	true	2.611753	2.762534808000055		TIMEOUT	30000	30000	
sat_network-priorities.yml	sat	true	true	0.798831	0.9338884899989353		unknown	30000	30000	
sat_network.yml	sat	true	true	0.257913	0.395682514001237		true	167.182546	167.28907681300188	
sat_pole-res.yml	sat	true	true	0.395214	0.5226190390021657		unknown	30000	30000	
sat_pole.yml	sat	true	true	0.363349	0.5403737130000081		true	15.411708	15.512085285001376	
sat_refuel-06-res.yml	sat	true	true	0.517981	0.6544455049988755		true	0.436982	0.5368099779989279	
sat_samplerocks.yml	sat	true	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
unsat_dpm.yml	unsat	false	false	1.063474	1.2079094580003584		false	0.633383	0.725283916999615	
unsat_grid-10-sl-4fsc.yml	unsat	false	false	2.929744	3.0564934159992845		TIMEOUT	30000	30000	
unsat_grid-meet-sl-2fsc.yml	unsat	false	false	73.33836	73.47638977899987		false	92.601556	92.70322420500088	
unsat_grid.yml	unsat	false	false	1.035311	1.1651266610024322		false	0.881363	0.9801653639988217	
unsat_herman.yml	unsat	false	false	46.569985	46.70893091100152		false	42.054774	42.15843839400259	
unsat_maze-sl-5.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
unsat_maze.yml	unsat	false	false	2.997355	3.1291221149986086		TIMEOUT	30000	30000	
unsat_network.yml	unsat	false	false	83.052962	83.20921025999996		false	56.446573	56.54787424800088	
unsat_pole-res.yml	unsat	false	false	0.453211	0.5967277550007566		unknown	30000	30000	
unsat_pole.yml	unsat	false	false	1.878282	2.0158000189985614		unknown	30000	30000	
unsat_refuel-06-res.yml	unsat	false	false	0.372146	0.5092899770024815		false	0.310353	0.41004540500216535	
unsat_samplerocks.yml	unsat	false	TIMEOUT	30000	30000		TIMEOUT	30000	30000	
