tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			Molehill	Molehill	Molehill	Molehill	Molehill	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-AR	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-CEGIS	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid	Paynt-Hybrid
benchmarks/files/simple/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
sat_grid-10-sl-4fsc.yml	sat	true	TIMEOUT	300.9008	301.0646555099993	156.352512		TIMEOUT	300.898583	301.0455906700008	140.804096		false	16.492753	16.628583920999517	152.637440	7396	TIMEOUT	300.901876	301.04172041700076	160.821248	
sat_grid-meet-sl-2fsc.yml	sat	true	true	34.871776	35.05457324600138	1010.278400	1302	TIMEOUT	300.966971	301.12776196699997	2955.894784		true	23.110277	23.241390686001978	636.960768	2914	TIMEOUT	300.983521	301.1211166159992	2942.099456	
sat_herman.yml	sat	true	true	30.110231	30.245195858002262	1067.634688	6	true	29.402286	29.50838819799901	898.998272	3	true	29.719856	29.830654319997848	898.973696	39	TIMEOUT	301.018901	301.1357394350016	3319.230464	
sat_maze.yml	sat	true	true	2.611753	2.762534808000055	148.180992	19	TIMEOUT	300.905204	301.01077873100076	129.544192		TIMEOUT	300.909449	301.02471965400036	207.077376		TIMEOUT	300.905372	301.01208076699913	132.235264	
sat_network-priorities.yml	sat	true	true	0.798831	0.9338884899989353	263.565312	2	true	1.261886	1.3595806929988612	294.334464	9	unknown	0.449351	0.5557925440007239	172.621824		unknown	0.450565	0.54220321899993	173.588480	
sat_pole-res.yml	sat	true	true	0.395214	0.5226190390021657	168.636416	27	true	0.492748	0.5920278420016984	183.103488	12	unknown	0.251082	0.3464861300017219	133.332992		unknown	0.253321	0.34747991599942907	133.328896	
sat_refuel-06-res.yml	sat	true	true	0.517981	0.6544455049988755	151.494656	178	true	0.309507	0.4076262790003966	131.985408	11	TIMEOUT	300.909717	301.02030872600153	205.705216		true	0.436982	0.5368099779989279	163.037184	54
sat_samplerocks.yml	sat	true	TIMEOUT	300.935295	301.07583113099827	1038.061568		true	13.511613	13.61459387600189	140.169216	19855	true	57.032565	57.134817753998504	154.726400	5813	TIMEOUT	300.90864	301.0169512579996	187.559936	
unsat_dpm.yml	unsat	false	false	1.063474	1.2079094580003584	236.793856	1	false	0.538661	0.6418226109999523	199.045120	1	TIMEOUT	300.912288	301.0260443549996	219.652096		false	0.633383	0.725283916999615	202.059776	1
unsat_grid-10-sl-4fsc.yml	unsat	false	false	2.929744	3.0564934159992845	156.045312	1017	TIMEOUT	300.905423	301.0143794639989	187.031552		false	16.44289	16.544690956998238	152.440832	7396	TIMEOUT	300.908743	301.01759400100127	200.781824	
unsat_grid-meet-sl-2fsc.yml	unsat	false	false	73.33836	73.47638977899987	1018.818560	1749	false	79.539827	79.64576993599985	2493.181952	1620	TIMEOUT	300.924897	301.0348982579999	637.042688		false	92.601556	92.70322420500088	2652.389376	3720
unsat_herman.yml	unsat	false	false	46.569985	46.70893091100152	1063.976960	542	false	63.397902	63.50352178400135	2962.890752	197	TIMEOUT	300.939895	301.0438679660001	897.794048		false	42.054774	42.15843839400259	1084.526592	798
unsat_maze.yml	unsat	false	false	2.997355	3.1291221149986086	147.935232	788	TIMEOUT	300.906268	301.0106533750004	129.662976		TIMEOUT	300.908421	301.0150904229995	208.879616		TIMEOUT	300.910524	301.0109550530033	132.194304	
unsat_network.yml	unsat	false	false	83.052962	83.20921025999996	299.163648	179036	false	55.825178	55.928234655999404	137.596928	121217	TIMEOUT	300.911253	301.0210429559993	204.361728		false	56.446573	56.54787424800088	163.713024	122426
unsat_pole-res.yml	unsat	false	false	0.453211	0.5967277550007566	164.712448	47	false	0.308586	0.40625843399902806	143.794176	5	unknown	0.25214	0.35051431200190564	133.607424		unknown	0.257427	0.35430492800151114	133.328896	
unsat_pole.yml	unsat	false	false	1.878282	2.0158000189985614	173.875200	378	false	0.771618	0.8696363109993399	336.195584	32	unknown	0.280761	0.37651385700155515	134.615040		unknown	0.286529	0.3788300400010485	134.434816	
unsat_refuel-06-res.yml	unsat	false	false	0.372146	0.5092899770024815	151.150592	15	false	0.29302	0.3921127899993735	131.985408	1	TIMEOUT	300.908224	301.0308572549984	207.392768		false	0.310353	0.41004540500216535	135.254016	1
